Pallet: "timestamp", Extrinsic: "set", Steps: 10, Repeat: 100
N,time
46,38000
46,33000
46,30000
46,29000
46,30000
46,32000
46,32000
46,37000
46,40000
46,29000
46,37000
46,31000
46,60000
46,38000
46,38000
46,38000
46,39000
46,34000
46,38000
46,57000
46,38000
46,32000
46,31000
46,30000
46,32000
55,27000
55,28000
55,41000
55,31000
55,33000
55,28000
55,29000
55,35000
55,28000
55,30000
55,63000
55,29000
55,29000
55,30000
55,28000
55,28000
55,39000
55,45000
55,29000
55,34000
55,38000
55,30000
55,29000
55,28000
55,29000
55,37000
55,33000
55,23000
55,50000
55,24000
55,30000
55,31000
55,30000
55,28000
55,23000
55,23000
55,28000
55,24000
55,29000
55,46000
55,24000
55,28000
55,56000
55,46000
55,23000
55,36000
55,28000
55,37000
55,38000
55,39000
55,38000
55,29000
55,38000
55,38000
55,30000
55,41000
55,39000
55,30000
55,37000
55,40000
55,31000
55,30000
55,30000
55,31000
55,38000
55,39000
55,30000
55,37000
55,32000
55,31000
55,30000
55,41000
55,29000
55,28000
55,29000
55,33000
55,28000
55,43000
55,33000
55,27000
55,30000
55,24000
55,32000
55,30000
55,69000
55,29000
55,29000
55,22000
55,27000
55,22000
55,30000
55,28000
55,28000
55,28000
55,30000
55,53000
55,29000
55,37000
55,27000
55,28000
64,35000
64,60000
64,31000
64,28000
64,35000
64,24000
64,26000
64,24000
64,24000
64,27000
64,46000
64,30000
64,38000
64,38000
64,37000
64,37000
64,29000
64,30000
64,31000
64,50000
64,28000
64,38000
64,38000
64,38000
64,29000
64,31000
64,32000
64,31000
64,32000
64,33000
64,31000
64,67000
64,34000
64,38000
64,32000
64,28000
64,31000
64,26000
64,35000
64,38000
64,30000
64,44000
64,31000
64,33000
64,35000
64,40000
64,31000
64,31000
64,31000
64,54000
64,27000
64,22000
64,29000
64,30000
64,30000
64,30000
64,65000
64,49000
64,52000
64,31000
64,50000
64,33000
64,35000
64,28000
64,31000
64,43000
64,30000
64,37000
64,30000
64,50000
64,28000
64,27000
64,30000
64,29000
64,35000
64,24000
64,22000
64,29000
64,48000
64,31000
64,31000
64,30000
64,25000
64,24000
64,33000
64,28000
64,23000
64,23000
64,23000
64,25000
64,28000
64,23000
64,31000
64,34000
64,32000
64,38000
64,38000
64,39000
64,38000
64,31000
73,32000
73,27000
73,36000
73,30000
73,22000
73,23000
73,24000
73,30000
73,29000
73,27000
73,31000
73,26000
73,29000
73,29000
73,28000
73,29000
73,32000
73,24000
73,29000
73,23000
73,23000
73,29000
73,28000
73,28000
73,22000
73,23000
73,29000
73,48000
73,38000
73,38000
73,30000
73,39000
73,40000
73,33000
73,38000
73,60000
73,32000
73,27000
73,28000
73,24000
73,23000
73,31000
73,39000
73,38000
73,38000
73,30000
73,38000
73,32000
73,33000
73,39000
73,39000
73,39000
73,46000
73,38000
73,38000
73,37000
73,29000
73,40000
73,29000
73,30000
73,31000
73,37000
73,32000
73,38000
73,30000
73,39000
73,30000
73,32000
73,37000
73,38000
73,30000
73,40000
73,31000
73,31000
73,38000
73,38000
73,38000
73,37000
73,39000
73,38000
73,39000
73,37000
73,39000
73,31000
73,38000
73,38000
73,39000
73,38000
73,30000
73,38000
73,38000
73,39000
73,38000
73,28000
73,30000
73,29000
73,39000
73,30000
73,39000
73,30000
82,37000
82,30000
82,38000
82,38000
82,30000
82,39000
82,37000
82,37000
82,29000
82,37000
82,39000
82,38000
82,37000
82,35000
82,37000
82,30000
82,30000
82,37000
82,39000
82,38000
82,32000
82,39000
82,38000
82,29000
82,38000
82,38000
82,28000
82,38000
82,38000
82,33000
82,39000
82,38000
82,39000
82,38000
82,31000
82,73000
82,43000
82,26000
82,41000
82,41000
82,38000
