Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
17,50,50,683000
17,50,50,704000
17,50,50,739000
17,50,50,693000
17,50,50,672000
17,50,50,684000
17,50,50,723000
17,50,50,755000
17,50,50,692000
17,50,50,688000
17,50,50,699000
17,50,50,690000
17,50,50,678000
17,50,50,702000
17,50,50,718000
17,50,50,700000
17,50,50,1065000
17,50,50,751000
17,50,50,682000
21,50,50,683000
21,50,50,750000
21,50,50,691000
21,50,50,1043000
21,50,50,766000
21,50,50,720000
21,50,50,662000
21,50,50,926000
21,50,50,697000
21,50,50,697000
21,50,50,887000
21,50,50,750000
21,50,50,712000
21,50,50,766000
21,50,50,829000
21,50,50,1056000
21,50,50,1251000
21,50,50,800000
21,50,50,840000
21,50,50,1351000
21,50,50,685000
21,50,50,770000
21,50,50,759000
21,50,50,691000
21,50,50,694000
21,50,50,731000
21,50,50,708000
21,50,50,715000
21,50,50,719000
21,50,50,687000
21,50,50,703000
21,50,50,701000
21,50,50,1018000
21,50,50,700000
21,50,50,686000
21,50,50,687000
21,50,50,848000
21,50,50,777000
21,50,50,705000
21,50,50,842000
21,50,50,825000
21,50,50,755000
21,50,50,1085000
21,50,50,718000
21,50,50,725000
21,50,50,693000
21,50,50,691000
21,50,50,694000
21,50,50,710000
21,50,50,737000
21,50,50,675000
21,50,50,719000
21,50,50,688000
21,50,50,706000
21,50,50,691000
21,50,50,720000
21,50,50,726000
21,50,50,697000
21,50,50,706000
21,50,50,682000
21,50,50,681000
21,50,50,727000
21,50,50,695000
21,50,50,698000
21,50,50,693000
21,50,50,698000
21,50,50,703000
21,50,50,786000
21,50,50,697000
21,50,50,706000
21,50,50,696000
21,50,50,684000
21,50,50,698000
21,50,50,696000
21,50,50,675000
21,50,50,865000
21,50,50,663000
21,50,50,702000
21,50,50,702000
21,50,50,706000
21,50,50,717000
21,50,50,693000
21,50,50,700000
21,50,50,696000
21,50,50,701000
21,50,50,672000
21,50,50,680000
21,50,50,695000
21,50,50,694000
21,50,50,690000
21,50,50,677000
21,50,50,701000
21,50,50,709000
21,50,50,690000
21,50,50,696000
21,50,50,700000
21,50,50,686000
21,50,50,698000
21,50,50,723000
21,50,50,715000
25,50,50,724000
25,50,50,702000
25,50,50,762000
25,50,50,703000
25,50,50,725000
25,50,50,715000
25,50,50,739000
25,50,50,715000
25,50,50,709000
25,50,50,707000
25,50,50,721000
25,50,50,738000
25,50,50,721000
25,50,50,719000
25,50,50,702000
25,50,50,727000
25,50,50,723000
25,50,50,703000
25,50,50,715000
25,50,50,710000
25,50,50,714000
25,50,50,760000
25,50,50,699000
25,50,50,725000
25,50,50,692000
25,50,50,796000
25,50,50,906000
25,50,50,701000
25,50,50,704000
25,50,50,704000
25,50,50,775000
25,50,50,708000
25,50,50,732000
25,50,50,708000
25,50,50,945000
25,50,50,709000
25,50,50,796000
25,50,50,709000
25,50,50,715000
25,50,50,670000
25,50,50,696000
25,50,50,795000
25,50,50,792000
25,50,50,732000
25,50,50,706000
25,50,50,715000
25,50,50,715000
25,50,50,741000
25,50,50,710000
25,50,50,697000
25,50,50,703000
25,50,50,867000
25,50,50,721000
25,50,50,717000
25,50,50,715000
25,50,50,707000
25,50,50,780000
25,50,50,750000
25,50,50,773000
25,50,50,716000
25,50,50,716000
25,50,50,687000
25,50,50,716000
25,50,50,712000
25,50,50,715000
25,50,50,806000
25,50,50,736000
25,50,50,683000
25,50,50,701000
25,50,50,704000
25,50,50,694000
25,50,50,746000
25,50,50,704000
25,50,50,765000
25,50,50,718000
25,50,50,714000
25,50,50,712000
25,50,50,1109000
25,50,50,707000
25,50,50,699000
25,50,50,705000
25,50,50,718000
25,50,50,718000
25,50,50,715000
25,50,50,697000
25,50,50,709000
25,50,50,719000
25,50,50,962000
25,50,50,705000
25,50,50,690000
25,50,50,708000
25,50,50,714000
25,50,50,695000
25,50,50,704000
25,50,50,769000
25,50,50,752000
25,50,50,825000
25,50,50,744000
25,50,50,759000
25,50,50,717000
29,50,50,786000
29,50,50,701000
29,50,50,728000
29,50,50,739000
29,50,50,794000
29,50,50,715000
29,50,50,766000
29,50,50,756000
29,50,50,715000
29,50,50,761000
29,50,50,742000
29,50,50,822000
29,50,50,742000
29,50,50,750000
29,50,50,710000
