Pallet: "vesting", Extrinsic: "vest_other", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
b,l,extrinsic_time,storage_root_time
1,2,373000,80000
1,4,379000,69000
1,4,382000,70000
1,4,394000,76000
1,4,386000,72000
1,4,477000,85000
1,4,458000,85000
1,4,478000,86000
1,4,463000,84000
1,4,266000,80000
1,4,485000,73000
1,4,409000,72000
1,4,351000,72000
1,4,225000,70000
1,4,220000,69000
1,4,368000,68000
1,4,369000,69000
1,4,373000,71000
1,4,488000,73000
1,4,226000,70000
1,4,226000,72000
1,4,386000,77000
1,4,417000,73000
1,4,384000,69000
1,4,386000,74000
1,4,228000,71000
1,4,365000,73000
1,4,384000,72000
1,4,400000,72000
1,4,364000,70000
1,4,220000,71000
1,4,361000,69000
1,4,463000,83000
1,4,376000,70000
1,4,406000,74000
1,4,402000,76000
1,4,225000,71000
1,4,433000,99000
1,4,260000,72000
1,4,398000,70000
1,4,403000,72000
1,4,456000,70000
1,4,394000,76000
1,4,365000,72000
1,4,398000,71000
1,4,370000,70000
1,4,449000,70000
1,4,409000,70000
1,4,438000,81000
1,4,480000,85000
1,4,576000,90000
1,4,522000,86000
1,4,473000,78000
1,4,370000,72000
1,4,416000,79000
1,4,540000,104000
1,4,222000,70000
1,4,412000,73000
1,4,464000,79000
1,4,417000,75000
1,4,450000,72000
1,4,222000,70000
1,4,393000,75000
1,4,230000,71000
1,4,226000,72000
1,4,232000,74000
1,4,386000,73000
1,4,434000,70000
1,4,228000,72000
1,4,225000,70000
1,4,227000,69000
1,4,233000,70000
1,4,227000,69000
1,4,223000,70000
1,4,224000,69000
1,4,270000,84000
1,4,369000,70000
1,4,392000,71000
1,4,395000,74000
1,4,222000,69000
1,4,219000,69000
1,4,379000,73000
1,4,225000,70000
1,4,414000,69000
1,4,218000,71000
1,4,405000,71000
1,4,220000,71000
1,4,378000,72000
1,4,220000,68000
1,4,221000,70000
1,4,456000,81000
1,4,407000,71000
1,4,575000,210000
1,4,475000,83000
1,4,485000,86000
1,4,461000,80000
1,4,436000,69000
1,4,234000,70000
1,4,226000,69000
1,4,228000,70000
1,4,224000,71000
1,6,220000,71000
1,6,396000,70000
1,6,217000,68000
1,6,215000,68000
1,6,216000,69000
1,6,437000,72000
1,6,218000,70000
1,6,222000,71000
1,6,222000,71000
1,6,222000,70000
1,6,219000,70000
1,6,402000,69000
1,6,215000,69000
1,6,221000,72000
1,6,220000,70000
1,6,224000,72000
1,6,435000,70000
1,6,405000,70000
1,6,224000,69000
1,6,221000,69000
1,6,364000,71000
1,6,430000,70000
