Pallet: "treasury", Extrinsic: "reject_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
380,43488,2328,2,7,3,3
380,43367,2287,2,7,3,3
380,43364,2297,2,7,3,3
380,43159,2294,2,7,3,3
380,43563,2266,2,7,3,3
380,43346,2270,2,7,3,3
380,43132,2238,2,7,3,3
400,42999,2249,2,7,3,3
400,43069,2265,2,7,3,3
400,43431,2303,2,7,3,3
400,43080,2286,2,7,3,3
400,43885,2240,2,7,3,3
400,43670,2277,2,7,3,3
400,44012,2248,2,7,3,3
400,43615,2259,2,7,3,3
400,43698,2278,2,7,3,3
400,44083,2289,2,7,3,3
400,43821,2343,2,7,3,3
400,43459,2285,2,7,3,3
400,43635,2244,2,7,3,3
400,43483,2213,2,7,3,3
400,43686,2290,2,7,3,3
400,44245,2287,2,7,3,3
400,43412,2279,2,7,3,3
400,43384,2296,2,7,3,3
400,44082,2289,2,7,3,3
400,43447,2303,2,7,3,3
420,43787,2325,2,7,3,3
420,43185,2293,2,7,3,3
420,43529,2274,2,7,3,3
420,43471,2310,2,7,3,3
420,43410,2289,2,7,3,3
420,43349,2379,2,7,3,3
420,43155,2352,2,7,3,3
420,43718,2312,2,7,3,3
420,43502,2327,2,7,3,3
420,43353,2218,2,7,3,3
420,43719,2329,2,7,3,3
420,43711,2362,2,7,3,3
420,43399,2321,2,7,3,3
420,43043,2230,2,7,3,3
420,42963,2250,2,7,3,3
420,43244,2339,2,7,3,3
420,43009,2231,2,7,3,3
420,43462,2263,2,7,3,3
420,43577,2208,2,7,3,3
420,43485,2227,2,7,3,3
440,43615,2336,2,7,3,3
440,43840,2327,2,7,3,3
440,46732,2363,2,7,3,3
440,43758,2291,2,7,3,3
440,43518,2316,2,7,3,3
440,43717,2239,2,7,3,3
440,43607,2267,2,7,3,3
440,43445,2330,2,7,3,3
440,43405,2328,2,7,3,3
440,43402,2280,2,7,3,3
440,43461,2202,2,7,3,3
440,43584,2234,2,7,3,3
440,43500,2254,2,7,3,3
440,43795,2344,2,7,3,3
440,43446,2362,2,7,3,3
440,43509,2302,2,7,3,3
440,43552,2248,2,7,3,3
440,43906,2237,2,7,3,3
440,43664,2255,2,7,3,3
440,44366,2322,2,7,3,3
460,43422,2257,2,7,3,3
460,43245,2197,2,7,3,3
460,43140,2310,2,7,3,3
460,43337,2267,2,7,3,3
460,43116,2361,2,7,3,3
460,43043,2343,2,7,3,3
460,43175,2364,2,7,3,3
460,43354,2226,2,7,3,3
460,43055,2241,2,7,3,3
460,43375,2280,2,7,3,3
460,43053,2244,2,7,3,3
460,42877,2203,2,7,3,3
460,43142,2214,2,7,3,3
460,42762,2211,2,7,3,3
460,43440,2289,2,7,3,3
460,42887,2318,2,7,3,3
460,43664,2323,2,7,3,3
460,42862,2302,2,7,3,3
460,42854,2243,2,7,3,3
460,42817,2302,2,7,3,3
480,42615,2283,2,7,3,3
480,43136,2299,2,7,3,3
480,42890,2289,2,7,3,3
480,43318,2254,2,7,3,3
480,43079,2338,2,7,3,3
480,43067,2288,2,7,3,3
480,43160,2275,2,7,3,3
480,43188,2366,2,7,3,3
480,43439,2324,2,7,3,3
480,42999,2366,2,7,3,3
480,43097,2307,2,7,3,3
480,42834,2271,2,7,3,3
480,43363,2260,2,7,3,3
480,43357,2300,2,7,3,3
480,43353,2264,2,7,3,3
480,43146,2277,2,7,3,3
480,43375,2283,2,7,3,3
480,43191,2270,2,7,3,3
480,43196,2248,2,7,3,3
480,43214,2261,2,7,3,3
500,43334,2367,2,7,3,3
500,43307,2325,2,7,3,3
500,43523,2399,2,7,3,3
500,43384,2285,2,7,3,3
500,42942,2324,2,7,3,3
500,43407,2365,2,7,3,3
500,42904,2312,2,7,3,3
500,43221,2261,2,7,3,3
500,43142,2357,2,7,3,3
500,43181,2333,2,7,3,3
500,43712,2337,2,7,3,3
500,43075,2344,2,7,3,3
500,43322,2303,2,7,3,3
500,45121,2398,2,7,3,3
500,43016,2306,2,7,3,3
500,43370,2234,2,7,3,3
500,43160,2273,2,7,3,3
500,43152,2224,2,7,3,3
500,43218,2229,2,7,3,3
500,43174,2261,2,7,3,3
520,43119,2335,2,7,3,3
520,43349,2264,2,7,3,3
520,42975,2342,2,7,3,3
520,43005,2359,2,7,3,3
520,43549,2334,2,7,3,3
520,43114,2272,2,7,3,3
520,43515,2309,2,7,3,3
520,43445,2321,2,7,3,3
520,43297,2266,2,7,3,3
520,43058,2267,2,7,3,3
520,43262,2261,2,7,3,3
520,43033,2276,2,7,3,3
520,43711,2269,2,7,3,3
520,43038,2396,2,7,3,3
520,43446,2328,2,7,3,3
520,43521,2265,2,7,3,3
520,43593,2343,2,7,3,3
520,43644,2317,2,7,3,3
520,43384,2317,2,7,3,3
520,43135,2262,2,7,3,3
540,43481,2340,2,7,3,3
540,43577,2265,2,7,3,3
540,43548,2288,2,7,3,3
540,43566,2392,2,7,3,3
540,44408,2294,2,7,3,3
540,43608,2349,2,7,3,3
540,43537,2374,2,7,3,3
540,43795,2202,2,7,3,3
540,43306,2385,2,7,3,3
540,43456,2353,2,7,3,3
540,43450,2290,2,7,3,3
540,43601,2323,2,7,3,3
540,43432,2349,2,7,3,3
540,43724,2249,2,7,3,3
540,43570,2318,2,7,3,3
540,43784,2307,2,7,3,3
540,43190,2284,2,7,3,3
540,43320,2265,2,7,3,3
540,43263,2283,2,7,3,3
540,43578,2274,2,7,3,3
560,44085,2375,2,7,3,3
560,43718,2270,2,7,3,3
560,43382,2292,2,7,3,3
560,42936,2303,2,7,3,3
560,42953,2261,2,7,3,3
560,43143,2269,2,7,3,3
560,43513,2274,2,7,3,3
560,42901,2357,2,7,3,3
560,43082,2278,2,7,3,3
560,43051,2288,2,7,3,3
560,43209,2356,2,7,3,3
560,43042,2375,2,7,3,3
560,42937,2262,2,7,3,3
560,42980,2259,2,7,3,3
560,43133,2265,2,7,3,3
560,42796,2248,2,7,3,3
560,43097,2329,2,7,3,3
560,43539,2379,2,7,3,3
560,43311,2329,2,7,3,3
560,43091,2298,2,7,3,3
580,43725,2328,2,7,3,3
580,43151,2345,2,7,3,3
580,43413,2326,2,7,3,3
580,43809,2258,2,7,3,3
580,43431,2343,2,7,3,3
580,43820,2317,2,7,3,3
580,43594,2297,2,7,3,3
580,43161,2334,2,7,3,3
580,43631,2244,2,7,3,3
