Pallet: "treasury", Extrinsic: "award_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
220,27678,2203,1,5,1,2
220,27332,2254,1,5,1,2
220,27611,2246,1,5,1,2
220,27422,2316,1,5,1,2
220,27626,2319,1,5,1,2
220,27555,2228,1,5,1,2
220,27337,2227,1,5,1,2
220,27360,2292,1,5,1,2
220,27451,2315,1,5,1,2
220,27309,2198,1,5,1,2
220,27242,2179,1,5,1,2
220,27485,2310,1,5,1,2
240,27312,2256,1,5,1,2
240,27299,2110,1,5,1,2
240,27210,2199,1,5,1,2
240,27196,2236,1,5,1,2
240,27064,2344,1,5,1,2
240,27101,2300,1,5,1,2
240,27330,2241,1,5,1,2
240,27234,2174,1,5,1,2
240,27650,2221,1,5,1,2
240,27202,2228,1,5,1,2
240,27634,2340,1,5,1,2
240,27147,2211,1,5,1,2
240,27162,2128,1,5,1,2
240,27154,2169,1,5,1,2
240,27316,2217,1,5,1,2
240,27335,2194,1,5,1,2
240,27204,2169,1,5,1,2
240,27831,2202,1,5,1,2
240,27204,2263,1,5,1,2
240,27162,2158,1,5,1,2
260,27715,2294,1,5,1,2
260,27687,2253,1,5,1,2
260,27597,2253,1,5,1,2
260,27530,2269,1,5,1,2
260,27829,2314,1,5,1,2
260,27604,2362,1,5,1,2
260,27542,2311,1,5,1,2
260,27485,2244,1,5,1,2
260,27524,2291,1,5,1,2
260,27274,2245,1,5,1,2
260,27780,2286,1,5,1,2
260,27617,2386,1,5,1,2
260,27383,2330,1,5,1,2
260,27388,2277,1,5,1,2
260,27586,2292,1,5,1,2
260,27476,2274,1,5,1,2
260,27433,2226,1,5,1,2
260,27525,2205,1,5,1,2
260,27211,2299,1,5,1,2
260,27528,2398,1,5,1,2
280,27474,2308,1,5,1,2
280,27636,2348,1,5,1,2
280,27525,2282,1,5,1,2
280,27575,2349,1,5,1,2
280,27351,2258,1,5,1,2
280,27752,2372,1,5,1,2
280,27696,2449,1,5,1,2
280,27651,2249,1,5,1,2
280,27429,2298,1,5,1,2
280,27575,2314,1,5,1,2
280,27578,2285,1,5,1,2
280,27356,2359,1,5,1,2
280,27730,2271,1,5,1,2
280,27787,2302,1,5,1,2
280,27599,2280,1,5,1,2
280,27556,2333,1,5,1,2
280,27429,2233,1,5,1,2
280,27750,2267,1,5,1,2
280,27180,2299,1,5,1,2
280,27731,2288,1,5,1,2
300,27340,2281,1,5,1,2
