Pallet: "treasury", Extrinsic: "report_awesome", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
5232,60261,2178,2,8,2,3
5232,60255,2228,2,8,2,3
5232,60107,2159,2,8,2,3
5232,60394,2206,2,8,2,3
5232,59815,2170,2,8,2,3
5232,60212,2255,2,8,2,3
5232,60536,2259,2,8,2,3
5232,60167,2256,2,8,2,3
5232,63187,2169,2,8,2,3
5232,60381,2242,2,8,2,3
5232,60214,2277,2,8,2,3
5232,60742,2197,2,8,2,3
5232,60528,2178,2,8,2,3
5232,61066,2161,2,8,2,3
5232,60287,2202,2,8,2,3
5559,60754,2236,2,8,2,3
5559,60749,2177,2,8,2,3
5559,60750,2219,2,8,2,3
5559,60892,2286,2,8,2,3
5559,60844,2208,2,8,2,3
5559,60271,2263,2,8,2,3
5559,60442,2199,2,8,2,3
5559,60533,2132,2,8,2,3
5559,61144,2249,2,8,2,3
5559,60496,2161,2,8,2,3
5559,60742,2179,2,8,2,3
5559,60549,2231,2,8,2,3
5559,61116,2306,2,8,2,3
5559,60804,2175,2,8,2,3
5559,61310,2282,2,8,2,3
5559,60540,2225,2,8,2,3
5559,61166,2228,2,8,2,3
5559,60142,2165,2,8,2,3
5559,60613,2197,2,8,2,3
5559,60745,2257,2,8,2,3
5886,61165,2243,2,8,2,3
5886,61300,2183,2,8,2,3
5886,61107,2196,2,8,2,3
5886,61074,2287,2,8,2,3
5886,60991,2225,2,8,2,3
5886,61208,2268,2,8,2,3
5886,61651,2239,2,8,2,3
5886,61587,2281,2,8,2,3
5886,61776,2323,2,8,2,3
5886,61045,2199,2,8,2,3
5886,61180,2211,2,8,2,3
5886,60756,2179,2,8,2,3
5886,61032,2133,2,8,2,3
5886,61282,2149,2,8,2,3
5886,61071,2249,2,8,2,3
5886,61666,2150,2,8,2,3
5886,61082,2129,2,8,2,3
5886,61328,2270,2,8,2,3
5886,61638,2255,2,8,2,3
5886,60945,2147,2,8,2,3
6213,63111,2207,2,8,2,3
6213,62132,2208,2,8,2,3
6213,62025,2259,2,8,2,3
6213,62435,2220,2,8,2,3
6213,62453,2196,2,8,2,3
6213,61820,2237,2,8,2,3
6213,62439,2179,2,8,2,3
6213,62208,2137,2,8,2,3
6213,62111,2137,2,8,2,3
6213,61919,2154,2,8,2,3
6213,62812,2238,2,8,2,3
6213,62507,2259,2,8,2,3
6213,62676,2306,2,8,2,3
6213,61984,2190,2,8,2,3
6213,62127,2324,2,8,2,3
6213,62553,2344,2,8,2,3
6213,62660,2266,2,8,2,3
6213,62395,2282,2,8,2,3
6213,62142,2138,2,8,2,3
6213,65634,2299,2,8,2,3
6540,63331,2187,2,8,2,3
6540,63133,2209,2,8,2,3
6540,62639,2330,2,8,2,3
6540,62772,2186,2,8,2,3
6540,62725,2171,2,8,2,3
6540,62607,2262,2,8,2,3
6540,62857,2195,2,8,2,3
6540,62541,2201,2,8,2,3
6540,62634,2291,2,8,2,3
6540,63161,2180,2,8,2,3
6540,63058,2272,2,8,2,3
6540,62827,2292,2,8,2,3
6540,63421,2286,2,8,2,3
6540,62943,2235,2,8,2,3
6540,62603,2247,2,8,2,3
6540,62759,2204,2,8,2,3
6540,62591,2205,2,8,2,3
6540,62709,2170,2,8,2,3
6540,62901,2231,2,8,2,3
6540,62879,2156,2,8,2,3
6867,62974,2184,2,8,2,3
6867,63448,2339,2,8,2,3
6867,62987,2182,2,8,2,3
6867,62943,2252,2,8,2,3
6867,63052,2177,2,8,2,3
6867,62871,2318,2,8,2,3
6867,63202,2142,2,8,2,3
6867,63184,2161,2,8,2,3
6867,62966,2126,2,8,2,3
6867,62914,2207,2,8,2,3
6867,62394,2213,2,8,2,3
6867,62557,2196,2,8,2,3
6867,62686,2155,2,8,2,3
6867,63022,2250,2,8,2,3
6867,62783,2190,2,8,2,3
6867,63409,2243,2,8,2,3
6867,63436,2277,2,8,2,3
6867,62939,2285,2,8,2,3
6867,62849,2240,2,8,2,3
6867,63313,2257,2,8,2,3
7194,64354,2256,2,8,2,3
7194,63586,2204,2,8,2,3
7194,66621,2245,2,8,2,3
7194,64233,2185,2,8,2,3
7194,64121,2240,2,8,2,3
7194,63891,2210,2,8,2,3
7194,64156,2231,2,8,2,3
7194,64255,2226,2,8,2,3
7194,64618,2207,2,8,2,3
7194,64501,2182,2,8,2,3
7194,64002,2228,2,8,2,3
7194,64041,2219,2,8,2,3
7194,63673,2189,2,8,2,3
7194,64245,2235,2,8,2,3
7194,63929,2142,2,8,2,3
7194,64584,2224,2,8,2,3
7194,63784,2279,2,8,2,3
7194,63975,2162,2,8,2,3
7194,63595,2195,2,8,2,3
7194,63973,2208,2,8,2,3
7521,64824,2173,2,8,2,3
7521,64830,2260,2,8,2,3
7521,64736,2263,2,8,2,3
7521,64652,2210,2,8,2,3
7521,66511,2289,2,8,2,3
7521,65225,2233,2,8,2,3
7521,65531,2158,2,8,2,3
7521,64736,2216,2,8,2,3
7521,64891,2141,2,8,2,3
7521,64755,2123,2,8,2,3
7521,64696,2214,2,8,2,3
7521,64585,2275,2,8,2,3
7521,64804,2195,2,8,2,3
7521,64498,2166,2,8,2,3
7521,64674,2157,2,8,2,3
7521,64854,2237,2,8,2,3
7521,64966,2228,2,8,2,3
7521,65132,2302,2,8,2,3
7521,64821,2185,2,8,2,3
7521,64885,2177,2,8,2,3
7848,65068,2195,2,8,2,3
7848,65427,2311,2,8,2,3
7848,64932,2199,2,8,2,3
7848,65319,2248,2,8,2,3
7848,65216,2278,2,8,2,3
7848,65060,2177,2,8,2,3
7848,65410,2221,2,8,2,3
7848,65421,2211,2,8,2,3
7848,65788,2230,2,8,2,3
7848,65613,2177,2,8,2,3
7848,65279,2145,2,8,2,3
7848,65452,2215,2,8,2,3
7848,65625,2290,2,8,2,3
7848,65734,2301,2,8,2,3
7848,65761,2248,2,8,2,3
7848,65611,2220,2,8,2,3
7848,65363,2254,2,8,2,3
7848,65515,2216,2,8,2,3
7848,65481,2183,2,8,2,3
7848,65134,2270,2,8,2,3
8175,65980,2259,2,8,2,3
8175,66607,2246,2,8,2,3
8175,65809,2210,2,8,2,3
8175,66515,2248,2,8,2,3
8175,66572,2201,2,8,2,3
8175,66165,2231,2,8,2,3
8175,66558,2273,2,8,2,3
8175,66089,2191,2,8,2,3
8175,65625,2187,2,8,2,3
8175,65814,2182,2,8,2,3
8175,65774,2233,2,8,2,3
8175,66126,2303,2,8,2,3
8175,65946,2197,2,8,2,3
8175,66211,2256,2,8,2,3
8175,66194,2234,2,8,2,3
8175,66169,2226,2,8,2,3
8175,66029,2206,2,8,2,3
8175,66345,2196,2,8,2,3
8175,66194,2183,2,8,2,3
8175,65891,2217,2,8,2,3
8502,69590,2321,2,8,2,3
8502,67377,2151,2,8,2,3
8502,66615,2243,2,8,2,3
8502,67294,2259,2,8,2,3
8502,66781,2227,2,8,2,3
8502,66654,2245,2,8,2,3
8502,69932,2244,2,8,2,3
8502,66661,2253,2,8,2,3
8502,66805,2247,2,8,2,3
8502,66879,2190,2,8,2,3
8502,67017,2213,2,8,2,3
8502,66739,2176,2,8,2,3
8502,66851,2200,2,8,2,3
8502,66945,2170,2,8,2,3
8502,66769,2203,2,8,2,3
8502,66727,2164,2,8,2,3
8502,66369,2161,2,8,2,3
8502,66543,2180,2,8,2,3
8502,66874,2199,2,8,2,3
8502,66922,2206,2,8,2,3
8829,67211,2130,2,8,2,3
8829,67703,2298,2,8,2,3
8829,67838,2122,2,8,2,3
8829,67262,2188,2,8,2,3
8829,67379,2245,2,8,2,3
8829,67474,2260,2,8,2,3
8829,67431,2148,2,8,2,3
8829,68220,2290,2,8,2,3
8829,66864,2189,2,8,2,3
8829,67593,2123,2,8,2,3
8829,67203,2188,2,8,2,3
8829,66667,2196,2,8,2,3
8829,67023,2206,2,8,2,3
8829,67402,2193,2,8,2,3
8829,67309,2270,2,8,2,3
8829,67252,2173,2,8,2,3
8829,67621,2166,2,8,2,3
8829,67446,2200,2,8,2,3
8829,67643,2124,2,8,2,3
8829,67154,2113,2,8,2,3
9156,67992,2264,2,8,2,3
9156,68343,2289,2,8,2,3
9156,68094,2297,2,8,2,3
9156,68200,2256,2,8,2,3
9156,68032,2186,2,8,2,3
9156,68126,2168,2,8,2,3
9156,68269,2193,2,8,2,3
9156,67620,2233,2,8,2,3
9156,68482,2309,2,8,2,3
9156,67923,2215,2,8,2,3
9156,67837,2296,2,8,2,3
9156,67881,2230,2,8,2,3
9156,67462,2232,2,8,2,3
9156,67987,2240,2,8,2,3
9156,68149,2200,2,8,2,3
9156,68042,2241,2,8,2,3
9156,67652,2201,2,8,2,3
9156,68097,2265,2,8,2,3
9156,67773,2207,2,8,2,3
9156,67914,2218,2,8,2,3
9483,68451,2160,2,8,2,3
9483,68741,2223,2,8,2,3
9483,68497,2215,2,8,2,3
9483,68586,2181,2,8,2,3
9483,67962,2199,2,8,2,3
9483,68142,2149,2,8,2,3
9483,68371,2277,2,8,2,3
9483,68612,2234,2,8,2,3
9483,71912,2301,2,8,2,3
9483,67971,2288,2,8,2,3
9483,68516,2195,2,8,2,3
9483,68231,2166,2,8,2,3
9483,68289,2107,2,8,2,3
9483,68072,2239,2,8,2,3
9483,67996,2273,2,8,2,3
9483,68058,2183,2,8,2,3
9483,67598,2164,2,8,2,3
9483,68025,2213,2,8,2,3
9483,67641,2171,2,8,2,3
9483,67926,2161,2,8,2,3
