Pallet: "democracy", Extrinsic: "veto_external", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,extrinsic_time,storage_root_time
60,40795,29256
62,42115,29064
62,41690,29069
62,41828,28878
62,41895,29294
62,41646,28996
62,41680,29022
62,42166,29025
62,42014,29172
62,42000,28857
62,42142,29003
62,41600,28715
62,41339,28778
62,41311,28590
62,41591,29316
62,41567,28873
62,41600,28870
62,41451,29027
62,42025,29244
62,41686,28766
62,41671,29007
64,44136,29451
64,42538,29275
64,42070,29081
64,42229,29132
64,41997,29410
64,42106,29037
64,41646,28995
64,42124,29417
64,41565,29174
64,41819,29135
64,41570,29343
64,41948,29231
64,41547,29211
64,41526,28889
64,41695,29207
64,41882,29056
64,41977,28976
64,41900,29327
64,42043,28953
64,42018,29113
66,42815,29263
66,42223,29033
66,42547,29547
66,42537,29505
66,42657,29481
66,45019,29794
66,42685,28765
66,42030,29796
66,42241,29627
66,42111,29120
66,42427,29574
66,42078,29328
66,42184,29169
66,42066,29118
66,42022,28867
66,42155,28733
66,42092,29353
66,42283,29305
66,41770,29220
66,41882,28819
68,42636,29130
68,42303,28951
68,42494,29309
68,42258,29471
68,42750,29341
68,42652,29174
68,42700,29122
68,42471,29370
68,42957,29396
68,42535,29600
68,42759,29509
68,42081,29389
68,42705,29334
68,42752,29821
68,42656,29174
68,42558,29196
68,42156,28894
68,42323,28803
68,42522,28878
68,42485,29136
70,42855,29524
70,43461,29733
70,43224,29447
70,43130,29601
70,43138,29311
70,42993,29215
70,43211,29487
70,43123,29666
70,42860,29485
70,42693,32182
70,43020,29582
70,42881,29529
70,42835,29370
70,42730,29707
70,43159,29951
70,43245,29224
70,42802,29548
70,42831,29505
70,42878,29009
70,42791,29605
72,44017,29873
72,43894,29524
72,44086,30397
72,43799,30011
72,43845,29505
72,43817,29639
72,43857,29563
72,43921,30002
72,43697,29900
72,46004,29788
72,43690,29387
72,43788,29424
72,43966,29927
72,43619,29298
72,43649,29340
72,44102,29495
72,43865,29580
72,43608,29827
72,43880,29506
72,43824,29346
74,44185,29749
74,43958,30208
74,43863,29924
74,43621,30149
74,43548,30135
74,44198,30160
74,43985,30221
74,43796,29480
74,44249,29973
74,44099,29787
74,44092,29925
74,43692,30085
74,46487,30190
74,44247,30169
74,43983,29812
74,44645,30228
74,43936,29828
74,43796,30206
74,43959,29999
74,43772,30132
76,43933,29992
76,43912,29775
76,44382,30117
76,44000,29810
76,44000,29894
76,44017,29886
76,44017,29240
76,44123,29375
76,43805,30364
76,44389,30386
76,44057,29757
76,44212,29966
76,44104,29776
76,44719,29726
76,44543,30519
76,44118,29960
76,44371,29468
76,44021,30300
76,44275,29963
76,43729,29907
78,44550,30331
78,45356,30561
78,44699,30160
78,44729,30284
78,44946,30449
78,44514,30314
78,45232,30620
78,44855,30471
78,44660,29795
78,44686,30259
78,44845,29989
78,45086,30484
78,44762,30257
78,44652,29887
78,44806,30467
78,44712,30115
78,45001,30024
78,44661,30281
78,44692,29942
78,44691,29955
80,44592,30197
80,44695,30400
80,44640,29998
80,44967,30297
80,45230,30215
80,44301,30013
80,44510,29966
80,44806,30183
80,44730,29837
80,44741,29925
80,44653,29978
80,44543,30152
80,44720,29612
80,44664,30174
80,75771,30294
80,44721,29843
80,44616,29963
80,44577,30122
80,44662,29897
80,44945,30371
82,45744,30751
82,45193,30431
82,45606,29996
82,45630,30524
82,45407,30271
82,45149,29905
82,45486,29763
82,45375,30037
82,45271,29602
82,45389,29951
82,45405,29867
82,45303,30203
82,45156,29688
82,45176,30568
82,48379,30398
82,45207,30388
82,45178,29961
82,45597,30090
82,45464,30097
82,45375,29926
84,45556,30313
84,45779,30922
84,45288,30324
84,45203,30243
84,45767,30495
84,45533,29890
84,45702,29914
84,45670,29969
84,45006,29669
84,45162,29587
84,45281,29670
84,44956,29895
84,45409,30096
84,45080,30274
84,48622,30774
84,45206,30117
84,45699,30202
84,45186,30270
84,45207,30385
84,45230,30336
86,45961,30529
86,46228,30175
86,45896,30199
86,45893,30108
86,45583,30093
86,46267,30486
86,45552,29988
86,45670,30149
86,45771,29900
86,45749,29867
86,46061,29835
86,45909,30398
86,45785,29952
86,45801,30306
86,46211,30100
86,45382,30112
86,45855,30128
86,45975,30380
86,45910,30360
86,46228,30153
88,46602,30697
88,46047,30608
88,46200,30067
88,45944,30231
88,45936,30216
88,46008,30479
88,46215,30217
88,46101,30289
88,45985,30321
88,46169,30252
88,46186,30473
88,46146,30210
88,46069,29987
88,46068,32557
88,46605,30137
88,45675,30309
88,46057,30356
88,46077,30416
88,45742,30112
88,45824,29989
90,46671,31008
90,46782,31144
90,46482,30487
90,46597,30474
90,46241,30382
90,46348,30437
90,46136,30629
90,46173,30592
90,46238,30387
90,46211,30176
90,46084,30386
90,45847,30682
90,46455,30899
90,45689,30557
90,46061,30831
90,46161,30330
90,46290,30429
90,46184,30425
90,46507,30563
90,46465,30125
92,47224,31436
92,47190,30986
92,47005,30930
92,47253,31059
92,47043,31041
92,46939,30654
92,46907,30870
92,47126,30996
92,46894,30583
92,47007,30388
92,46915,30568
92,47054,30738
92,47245,30520
92,46981,30186
92,47129,30689
92,46816,30829
92,46852,30653
92,46763,30518
92,46949,30167
92,46510,30697
94,47709,31103
94,47284,31086
94,47268,30514
94,47312,30646
94,46805,29982
94,47307,30834
94,47004,30441
94,47010,30696
94,47284,30726
94,47204,30684
94,47841,30512
94,47568,30845
94,47152,30640
94,47398,30755
94,47429,30866
94,47568,30917
94,47107,30720
94,47278,30643
94,47117,30734
94,47061,30641
96,48063,31300
96,47759,31351
96,48181,31023
96,48415,31090
96,47958,30705
96,48299,30680
96,47685,30879
96,47596,30692
96,47780,30670
96,47874,33372
96,48150,31029
96,47368,30555
96,47446,30898
96,47859,31022
96,47944,30737
96,47666,30608
96,48034,30536
96,48019,30798
96,47945,30827
96,48083,30765
98,48193,30978
98,48015,31321
98,48507,31154
98,48203,31126
98,48016,31356
98,49786,31408
98,48170,31258
98,47926,30896
98,47951,30905
98,47638,31095
98,47964,30525
98,47998,30803
98,48235,31076
98,48107,31271
98,47924,30837
98,48099,31323
98,48168,30799
98,48096,31143
98,48133,30851
98,47936,30646
100,48351,30833
100,48156,30586
100,48069,31189
100,48297,30905
100,47893,30684
100,48001,31359
100,52159,31299
100,47648,31097
100,47943,30740
100,48064,30666
100,47891,30477
100,48524,31032
100,48450,30352
100,48464,30961
100,48225,30693
100,48090,30889
100,47952,31254
100,61206,31104
100,48003,30650
100,47605,30710

Median Slopes Analysis
========

Model:
Time ~=    29.86
    + v    0.187
              µs

Min Squares Analysis
========

Data points distribution:
    v   mean µs  sigma µs       %
    0     29.69     0.176    0.5%
    2     30.16     0.094    0.3%
    4     30.42     0.102    0.3%
    6     30.88     0.049    0.1%
    8     31.06     0.057    0.1%
   10     31.72       0.1    0.3%
   12     32.07     0.065    0.2%
   14     31.99      0.07    0.2%
   16      32.6     0.062    0.1%
   18     32.98     0.058    0.1%
   20     33.15     0.063    0.1%
   22     34.01     0.067    0.1%
   24     34.03     0.109    0.3%
   26     34.65     0.102    0.2%
   28     35.09     0.059    0.1%
   30     35.11      0.07    0.1%
   32     36.13     0.086    0.2%
   34      36.8     0.082    0.2%
   36     37.34     0.107    0.2%
   38     37.47     0.058    0.1%
   40     37.95     0.069    0.1%
   42     38.15     0.074    0.1%
   44     38.38     0.061    0.1%
   46     38.61     0.077    0.1%
   48     39.08     0.061    0.1%
   50     39.69     0.077    0.1%
   52     40.08     0.067    0.1%
   54     40.08     0.105    0.2%
   56      40.4     0.077    0.1%
   58     40.78     0.061    0.1%
   60     40.96     0.087    0.2%
   62     41.72     0.126    0.3%
   64     41.93     0.108    0.2%
   66     42.23     0.141    0.3%
   68     42.57     0.078    0.1%
   70     42.97     0.118    0.2%
   72     43.84      0.04    0.0%
   74     43.98     0.109    0.2%
   76     44.09     0.086    0.1%
   78     44.74     0.062    0.1%
   80     44.68      0.04    0.0%
   82     45.36     0.081    0.1%
   84     45.35     0.163    0.3%
   86     45.87     0.067    0.1%
   88     46.07     0.053    0.1%
   90     46.27     0.105    0.2%
   92     46.99     0.065    0.1%
   94     47.26     0.077    0.1%
   96     47.92     0.098    0.2%
   98     48.07     0.069    0.1%
  100     48.12     0.126    0.2%

Quality and confidence:
param     error
v             0

Model:
Time ~=    29.87
    + v    0.188
              µs

