Pallet: "treasury", Extrinsic: "cancel_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
260,65953,2303,2,13,3,3
260,66081,2319,2,13,3,3
260,66508,2296,2,13,3,3
260,65870,2354,2,13,3,3
260,66044,2281,2,13,3,3
260,65646,2353,2,13,3,3
260,65876,2272,2,13,3,3
260,66056,2399,2,13,3,3
260,66334,2359,2,13,3,3
260,65931,2302,2,13,3,3
260,65852,2322,2,13,3,3
260,66360,2369,2,13,3,3
260,69190,2403,2,13,3,3
260,66255,2383,2,13,3,3
260,66017,2349,2,13,3,3
260,65686,2279,2,13,3,3
260,66307,2317,2,13,3,3
280,66531,2370,2,13,3,3
280,66399,2359,2,13,3,3
280,66332,2396,2,13,3,3
280,66118,2357,2,13,3,3
280,66436,2302,2,13,3,3
280,66021,2337,2,13,3,3
280,68844,2319,2,13,3,3
280,65955,2261,2,13,3,3
280,66457,2361,2,13,3,3
280,66308,2247,2,13,3,3
280,66204,2420,2,13,3,3
280,66424,2377,2,13,3,3
280,66451,2365,2,13,3,3
280,66084,2353,2,13,3,3
280,66435,2390,2,13,3,3
280,65962,2323,2,13,3,3
280,65530,2281,2,13,3,3
280,65486,2316,2,13,3,3
280,65992,2327,2,13,3,3
280,65945,2378,2,13,3,3
300,65326,2413,2,13,3,3
300,65763,2419,2,13,3,3
300,65455,2406,2,13,3,3
300,65435,2446,2,13,3,3
300,65104,2415,2,13,3,3
300,65481,2392,2,13,3,3
300,65323,2461,2,13,3,3
300,65497,2458,2,13,3,3
300,65041,2428,2,13,3,3
300,65762,2392,2,13,3,3
300,65610,2462,2,13,3,3
300,65771,2443,2,13,3,3
300,65612,2408,2,13,3,3
300,65272,2367,2,13,3,3
300,65684,2368,2,13,3,3
300,65418,2429,2,13,3,3
300,65442,2511,2,13,3,3
300,65738,2515,2,13,3,3
300,65463,2399,2,13,3,3
300,65893,2428,2,13,3,3
320,65764,2315,2,13,3,3
320,65568,2315,2,13,3,3
320,65565,2371,2,13,3,3
320,65485,2421,2,13,3,3
320,66072,2271,2,13,3,3
320,65812,2282,2,13,3,3
320,65801,2375,2,13,3,3
320,65251,2375,2,13,3,3
320,65521,2350,2,13,3,3
320,65577,2275,2,13,3,3
320,65476,2390,2,13,3,3
320,65855,2299,2,13,3,3
320,65976,2338,2,13,3,3
320,66177,2281,2,13,3,3
320,66457,2340,2,13,3,3
320,65917,2304,2,13,3,3
320,65454,2288,2,13,3,3
320,65750,2346,2,13,3,3
320,65803,2374,2,13,3,3
320,65964,2249,2,13,3,3
340,65606,2328,2,13,3,3
340,65370,2358,2,13,3,3
340,66019,2250,2,13,3,3
340,65567,2273,2,13,3,3
340,65165,2400,2,13,3,3
340,65613,2305,2,13,3,3
340,65467,2421,2,13,3,3
340,65765,2341,2,13,3,3
340,65671,2373,2,13,3,3
340,65766,2462,2,13,3,3
340,65816,2382,2,13,3,3
340,65778,2363,2,13,3,3
340,65127,2354,2,13,3,3
340,65845,2312,2,13,3,3
340,65894,2427,2,13,3,3
340,66127,2336,2,13,3,3
340,65827,2351,2,13,3,3
340,65503,2336,2,13,3,3
340,65545,2407,2,13,3,3
340,65348,2323,2,13,3,3
360,65989,2308,2,13,3,3
360,65212,2379,2,13,3,3
360,65635,2347,2,13,3,3
360,65630,2365,2,13,3,3
360,65975,2342,2,13,3,3
360,65769,2320,2,13,3,3
360,65797,2320,2,13,3,3
360,65572,2336,2,13,3,3
360,65770,2275,2,13,3,3
360,65814,2372,2,13,3,3
360,66246,2289,2,13,3,3
360,66027,2313,2,13,3,3
