Pallet: "multisig", Extrinsic: "as_multi_threshold_1", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
z,extrinsic_time,storage_root_time
5000,42681,18106
5000,45411,18612
5000,42330,18124
5000,42589,18188
5000,43187,18175
5000,42458,18295
5000,42601,18169
5000,42261,18489
5000,45393,18432
5000,39442,17981
5200,42840,18138
5200,42897,18004
5200,42635,18287
5200,43040,18230
5200,42750,18142
5200,42644,18106
5200,42551,18038
5200,42667,18116
5200,43073,18322
5200,42925,18079
5200,42845,17968
5200,42713,17913
5200,42919,17885
5200,42911,18259
5200,42643,18061
5200,42680,18413
5200,42810,18203
5200,43462,18455
5200,42880,18022
5200,42196,18168
5400,43184,18073
5400,43318,18192
5400,43390,18365
5400,43270,18150
5400,46288,18334
5400,42990,17943
5400,43302,18395
5400,43428,18281
5400,43173,17981
5400,43190,18224
5400,42624,17773
5400,42787,18414
5400,43493,18067
5400,43403,17979
5400,40042,18244
5400,43307,17853
5400,43399,18225
5400,43037,18017
5400,43039,18374
5400,43333,18261
5600,43033,17763
5600,43333,18538
5600,43595,18098
5600,43961,18459
5600,43167,17983
5600,43345,18037
5600,43486,18318
5600,43508,18283
5600,43022,18171
5600,43874,18300
5600,46545,18576
5600,43507,18152
5600,40541,18239
5600,43510,18159
5600,43631,18318
5600,43820,18439
5600,43725,18089
5600,43523,18055
5600,43541,18365
5600,43639,18250
5800,44002,18354
5800,44056,18079
5800,43826,18511
5800,43521,18092
5800,43703,18271
5800,43916,18175
5800,43424,18015
5800,43735,18174
5800,43435,18238
5800,44182,18109
5800,44105,18310
5800,40738,18221
5800,43887,18402
5800,44130,18244
5800,44048,18276
5800,43633,18128
5800,41070,20722
5800,44217,18277
5800,43998,18210
5800,44003,18257
6000,44282,18291
6000,44300,18159
6000,41112,18287
6000,44257,18281
6000,44142,18319
6000,44118,17956
6000,44088,18351
6000,44145,18035
6000,44895,18380
6000,44167,18117
6000,44093,18288
6000,41308,18165
6000,44210,18183
6000,43684,17978
6000,44214,18066
6000,44745,18308
6000,43756,18075
6000,44122,18296
6000,43873,18158
6000,44280,18144
6200,44539,18598
6200,44526,18099
6200,47636,18310
6200,44206,18145
6200,44504,18166
6200,44600,18271
6200,44392,18063
6200,44480,18104
6200,44568,18093
6200,44452,18082
6200,44545,18389
6200,44459,18107
6200,44294,18238
6200,44280,18175
6200,44245,18305
6200,41631,18517
6200,44671,17977
6200,44688,18131
6200,41528,17853
6200,44433,18089
6400,41959,18068
6400,45531,18193
6400,41342,18165
6400,44990,18171
6400,45374,18285
6400,44814,18059
6400,44960,18176
6400,45275,18059
6400,45416,18505
6400,44591,18267
6400,44647,18334
6400,44756,18125
6400,42040,18090
6400,45185,18177
6400,44521,18313
6400,47840,18503
6400,44446,18258
6400,44966,18088
6400,45015,17914
6400,44944,17939
6600,45586,18133
6600,45236,18214
6600,42424,18425
6600,42404,18422
6600,44905,17983
6600,45300,18258
6600,45109,17765
6600,45267,18201
6600,42239,18352
6600,44977,17896
6600,45488,18171
6600,45265,17959
6600,45175,18350
6600,45265,18174
6600,45534,17981
6600,42157,18233
6600,45144,18085
6600,45300,18351
6600,44796,18125
6600,42035,18445
6800,45426,18045
6800,46084,18250
6800,42625,18323
6800,45679,18323
6800,45556,18179
6800,42774,18227
6800,46035,18334
6800,42512,18106
6800,46569,18386
6800,45457,18037
6800,45464,18242
6800,45790,18261
6800,45695,18117
6800,42318,18203
6800,42460,18248
6800,45533,18237
6800,45454,18343
6800,45569,18006
6800,45795,18199
6800,45463,18236
7000,45805,18245
7000,45363,18217
7000,45648,18135
7000,46105,18521
7000,46254,18162
7000,42890,18534
7000,45745,18038
7000,46233,18482
7000,46087,18350
7000,46111,18046
7000,42674,18311
7000,45995,18162
7000,43144,18212
7000,45614,18279
7000,46562,18223
7000,45788,18023
7000,45951,18271
7000,45731,18521
7000,42852,17802
7000,45624,18046
7200,46263,17972
7200,47152,18452
7200,46551,18246
7200,46143,18303
7200,46329,18031
7200,43140,18243
7200,46507,18577
7200,43743,18269
7200,44067,18332
7200,45952,18272
7200,46351,18303
7200,43468,18465
7200,43270,18036
7200,43344,18525
7200,43261,17989
7200,46319,18054
7200,43406,18131
7200,46308,18198
7200,46450,18501
7200,46328,18271
7400,46681,18441
7400,46446,18152
7400,46848,18353
7400,46792,18451
7400,43915,18277
7400,43708,18458
7400,43521,18275
7400,47005,18239
7400,46454,17834
7400,46801,18296
7400,46847,17992
7400,46818,17983
7400,46647,18191
7400,46271,18436
7400,47402,17851
7400,46239,18107
7400,46719,18074
7400,47226,18439
7400,46688,18273
7400,44292,18403
7600,46690,18291
7600,47511,18554
7600,46518,18175
7600,46883,18259
7600,47314,18440
7600,46766,18194
7600,46668,18364
7600,47039,18186
7600,47465,18305
7600,47100,18381
7600,46562,18160
7600,47297,18174
7600,44112,18322
7600,47287,18231
7600,47251,18260
7600,47603,18346
7600,46992,18197
7600,46747,18193
7600,46683,18100
7600,46700,18443
7800,47508,18240
7800,47475,18370
7800,47570,35742
7800,46977,18102
7800,47399,18098
7800,47513,18488
7800,47043,18210
7800,47408,18535
7800,46768,17966
7800,47176,18377
7800,47536,18242
7800,47453,18312
7800,47368,18350
7800,47194,18165
7800,47273,18339
7800,47603,18228
7800,47221,18043
7800,47348,18517
7800,46804,18047
7800,47396,18218
8000,47614,18422
8000,48374,18335
8000,47794,18038
8000,47491,18051
8000,47691,18394
8000,44822,18344
8000,47869,18634
8000,44607,18115
8000,48055,18148
8000,47965,18316
8000,44815,18346
8000,44920,18460
8000,47999,18051
8000,47852,18260
8000,47293,18062
8000,45291,18435
8000,44859,18383
8000,47775,17998
8000,44963,18153
8000,47659,18085
8200,48657,18568
8200,48116,18148
8200,49007,18236
8200,48151,18194
8200,47788,17975
8200,48121,17947
8200,48580,18157
8200,48152,18349
8200,45005,17824
8200,45690,18634
8200,45033,17959
8200,48413,18216
8200,48312,18508
8200,47805,17925
8200,48538,18155
8200,48126,18424
8200,45836,18712
8200,45193,18202
8200,47950,18187
8200,48448,18234
8400,48153,18113
8400,45779,18349
8400,45656,18202
8400,48658,18732
8400,48109,18100
8400,48414,18058
8400,45171,18180
8400,48367,18237
8400,45590,18444
8400,45257,18317
8400,49193,18558
8400,48383,17997
8400,48598,18307
8400,45309,18422
8400,45435,18270
8400,48330,18200
8400,48104,18343
8400,63609,18470
8400,45155,18079
8400,48163,18100
8600,48988,18154
8600,49352,18417
8600,45839,18197
8600,48584,18205
8600,49455,18509
8600,46093,18179
8600,48761,18154
8600,49003,18410
8600,48717,18030
8600,48746,18102
8600,45610,18239
8600,51779,18556
8600,48658,18106
8600,45496,18446
8600,45902,18378
8600,46057,18343
8600,48926,18503
8600,45595,18078
8600,45703,33624
8600,48881,18219
8800,45931,18309
8800,46094,18173
8800,46016,18210
8800,46438,18257
8800,46148,18459
8800,45935,21058
8800,46493,18483
8800,46192,18181
8800,46087,18050
8800,45935,18455
8800,46298,18461
8800,46075,17937
8800,49055,18607
8800,46357,18020
8800,49248,18140
8800,49275,18395
8800,48987,18202
8800,46367,18142
8800,49252,18152
8800,46095,21128
9000,46429,18180
9000,46179,18376
9000,49580,18358
9000,49336,18380
9000,46555,18126
9000,46651,18366
9000,46721,20822
9000,49299,18353
9000,49401,18043
