Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,14,5859815,321302
10,14,5877671,321972
10,15,6227420,336269
10,15,6223793,333754
10,15,6228009,333736
10,15,6232938,334572
10,15,6233431,332499
10,15,6248385,334635
10,15,6224528,333909
10,15,6259791,333457
10,15,6311663,332510
10,15,6246203,334161
10,15,6232919,333802
10,15,6249596,333557
10,15,6241821,334728
10,15,6245575,333857
10,15,6218537,333754
10,15,6237901,333897
10,15,6226477,333420
10,15,6237528,333448
10,15,6217500,332601
10,15,6234787,332772
10,16,6619734,343848
10,16,6577057,341170
10,16,6599409,341542
10,16,6587089,340249
10,16,6591681,341039
10,16,6577623,342272
10,16,6560840,342546
10,16,6591980,341705
10,16,6587054,340947
10,16,6597068,340350
10,16,6579949,341985
10,16,6587779,341934
10,16,6599138,341328
10,16,6580305,341975
10,16,6584969,342261
10,16,6640647,340458
10,16,6592841,341017
10,16,6611491,341712
10,16,6590063,342153
10,16,6580601,341231
10,17,6929142,349671
10,17,6959697,346805
10,17,6921193,350617
10,17,6951807,347614
10,17,6954392,349722
10,17,6956785,348710
10,17,6946813,352528
10,17,6979963,348326
10,17,6932142,347180
10,17,6966048,348232
10,17,6922048,350564
10,17,6932694,349070
10,17,6942067,346545
10,17,6964463,349504
10,17,6917317,377176
10,17,6978813,347987
10,17,6917029,348105
10,17,6927393,346483
10,17,6926180,350408
10,17,6953224,349230
10,18,7315972,355831
10,18,7320480,357222
10,18,7258029,356784
10,18,7335189,356631
10,18,7284726,356736
10,18,7304275,357616
10,18,7346551,356739
10,18,7312940,357436
10,18,7285005,358657
10,18,7273057,357738
10,18,7322231,356609
10,18,7280943,356243
10,18,7303494,356745
10,18,7314821,356788
10,18,7280259,356831
10,18,7268218,358045
10,18,7344376,358477
10,18,7269054,359720
10,18,7277229,357350
10,18,7261212,358022
10,19,7631410,364598
10,19,7665529,365279
10,19,7626948,365906
10,19,7658438,364821
10,19,7689600,365827
10,19,7643849,365711
10,19,7620791,369189
10,19,7635604,364976
10,19,7633805,365289
10,19,7624933,364869
10,19,7628833,364420
