Pallet: "elections", Extrinsic: "phragmen", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,e,extrinsic_time,storage_root_time
21,500,16,73806432,68728
21,500,16,73826641,69255
21,500,16,73853200,69230
21,500,16,73970468,68154
21,500,16,73968327,70241
21,500,16,74006929,69278
22,500,16,75815919,77308
22,500,16,75733898,77635
22,500,16,75591831,76123
22,500,16,75761734,76896
22,500,16,75703095,76193
22,500,16,75869145,77506
22,500,16,75651291,75628
22,500,16,75689205,75382
22,500,16,75532091,75316
22,500,16,75833338,76817
22,500,16,75844406,76709
22,500,16,75813292,77015
22,500,16,75695658,78645
22,500,16,75824990,76376
22,500,16,75711507,77320
22,500,16,76067537,77485
22,500,16,75675775,76961
22,500,16,75849759,78892
22,500,16,75656200,77715
22,500,16,75779964,76606
23,500,16,77639300,84924
23,500,16,77706725,84619
23,500,16,77611614,84713
23,500,16,77667173,86327
23,500,16,77584414,84931
23,500,16,77626331,85371
23,500,16,77697705,85842
23,500,16,77702062,85250
23,500,16,77638389,85487
23,500,16,77721772,84921
23,500,16,77707412,85224
23,500,16,77612845,84794
23,500,16,77585635,84602
23,500,16,77679053,85455
23,500,16,77589533,83424
23,500,16,77656829,84921
23,500,16,77515856,84016
23,500,16,77650958,84411
23,500,16,77422994,84193
23,500,16,77643441,85505
24,500,16,79372145,97485
24,500,16,79411692,98604
24,500,16,79241184,97691
24,500,16,79360284,98572
24,500,16,79299521,99022
24,500,16,79231381,97813
24,500,16,79470074,99671
24,500,16,79267225,98380
24,500,16,79291051,99430
24,500,16,79563504,97619
24,500,16,79273371,99426
24,500,16,79321747,97492
24,500,16,79351591,98674
24,500,16,79503991,99527
24,500,16,79283624,98634
24,500,16,79359892,98006
24,500,16,79401138,98081
24,500,16,79290051,98053
24,500,16,79561526,100987
24,500,16,79372329,98492
25,500,16,81037283,103301
25,500,16,81020507,103449
25,500,16,80962094,101766
25,500,16,81695935,105163
25,500,16,80930106,103133
25,500,16,80884876,102223
25,500,16,81025030,104314
25,500,16,80837133,101678
25,500,16,80756437,101629
25,500,16,80976200,103299
25,500,16,80800832,102604
25,500,16,80965567,101740
25,500,16,80825543,102466
25,500,16,80865952,101591
25,500,16,80789738,101620
25,500,16,80909045,104039
25,500,16,80806447,102317
25,500,16,81000854,102002
25,500,16,80875037,102612
25,500,16,80836634,102218
26,500,16,81927625,107003
26,500,16,82023460,106307
26,500,16,81954525,108193
26,500,16,81994257,107319
26,500,16,81962093,108005
26,500,16,82215566,107704
26,500,16,82003898,108381
26,500,16,82085251,106216
26,500,16,82101854,107668
26,500,16,82100267,107853
26,500,16,82072605,108233
26,500,16,82060868,106814
26,500,16,81970920,106593
26,500,16,82088171,107776
26,500,16,81819860,106423
26,500,16,82051430,108188
26,500,16,81896788,106645
26,500,16,81974467,108975
26,500,16,81902849,105630
26,500,16,82231891,106164
27,500,16,83382078,118800
27,500,16,83322896,119031
27,500,16,83365071,119994
27,500,16,83430233,120127
27,500,16,83536110,121368
27,500,16,83517800,120581
27,500,16,83425288,132173
27,500,16,83251409,119234
27,500,16,83323883,118811
27,500,16,83370827,118535
27,500,16,83336241,119329
27,500,16,83402040,119837
27,500,16,83163253,119672
27,500,16,83658051,121214
27,500,16,83255841,122388
27,500,16,83446812,119819
27,500,16,83265196,122014
27,500,16,83422688,119657
27,500,16,83341417,120333
27,500,16,83465745,118482
28,500,16,84567503,117007
28,500,16,84688015,117413
28,500,16,84674431,119080
28,500,16,84673059,119180
28,500,16,84399582,117197
28,500,16,84732715,118645
28,500,16,84491099,118145
28,500,16,84717863,118580
28,500,16,84543647,118193
28,500,16,84668316,118870
28,500,16,84583511,118379
28,500,16,84620109,118065
28,500,16,84413889,118420
28,500,16,84615082,118244
28,500,16,84513043,117011
28,500,16,84617528,119287
