Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
23,16,266375,80174
23,16,248689,66488
23,16,248044,66328
23,16,245262,68298
23,16,246961,66325
23,16,248390,66717
23,16,248931,66505
23,16,248134,66724
23,16,246413,68071
23,16,246023,69545
23,16,248029,66269
23,16,247711,66508
23,16,247418,67118
23,16,248086,66292
24,16,249944,66291
24,16,248738,67439
24,16,249515,66490
24,16,249875,67122
24,16,369124,70510
24,16,256833,68347
24,16,256200,69369
24,16,254848,67807
24,16,254885,68186
24,16,255731,63440
24,16,255982,68123
24,16,249763,66514
24,16,249649,66266
24,16,249666,67151
24,16,249930,66464
24,16,248408,66535
24,16,248463,66238
24,16,250461,66531
24,16,249191,66408
24,16,249888,75671
25,16,254871,66598
25,16,251589,66728
25,16,251980,66865
25,16,250725,65881
25,16,255206,67443
25,16,252168,67700
25,16,252114,66844
25,16,249842,68247
25,16,255080,66815
25,16,252165,66625
25,16,251564,66916
25,16,250968,66714
25,16,254350,66904
25,16,250682,68010
25,16,252786,67953
25,16,249906,68985
25,16,286731,66858
25,16,251487,66763
25,16,251066,66772
25,16,251726,66210
26,16,251605,68764
26,16,251388,69204
26,16,252262,67888
26,16,253489,66123
26,16,254496,62592
26,16,252827,62691
26,16,251536,67731
26,16,250486,68486
26,16,252378,67015
26,16,251869,67433
26,16,252957,67723
26,16,252648,66738
26,16,251207,68166
26,16,252606,66656
26,16,252571,66984
26,16,253909,68404
26,16,251392,67946
26,16,252047,68392
26,16,252510,66856
26,16,252410,66397
27,16,254879,63184
27,16,253899,68715
27,16,252437,68835
27,16,254164,68432
27,16,253248,68119
27,16,254343,68535
27,16,254540,67975
27,16,254209,66362
27,16,253317,66721
27,16,252379,67960
27,16,255195,66981
27,16,253224,68190
27,16,253859,66410
27,16,258611,67482
27,16,253812,66265
27,16,253577,65895
27,16,253827,66980
27,16,254546,67137
27,16,252556,69231
27,16,255364,66677
28,16,259999,67627
28,16,256610,67706
28,16,255474,69222
28,16,255386,66756
28,16,255954,62550
28,16,256415,66498
28,16,256452,67446
28,16,256209,67421
28,16,256494,67310
28,16,257544,67221
28,16,257683,67328
28,16,256727,62723
28,16,254226,68245
28,16,257416,62872
28,16,255892,68059
28,16,256681,62650
28,16,257114,62678
28,16,259251,68828
28,16,256581,62403
28,16,254659,69476
29,16,255588,68983
29,16,255303,69479
29,16,256547,69518
29,16,259942,63224
29,16,259335,66851
29,16,258933,66946
29,16,258293,67133
29,16,258101,67136
29,16,258832,66956
29,16,258494,67040
29,16,261163,67665
29,16,257380,67755
29,16,258571,67241
29,16,257016,68889
29,16,255681,68964
29,16,258014,66662
29,16,256471,68547
29,16,259557,67341
29,16,259054,63151
29,16,258618,62992
30,16,261059,62824
30,16,260658,62726
30,16,259707,67277
30,16,271960,67416
30,16,258926,68304
30,16,258668,68911
30,16,292709,67786
30,16,257652,68488
30,16,259499,68264
30,16,291199,67543
30,16,259417,67428
30,16,259991,67474
30,16,263867,62645
30,16,258704,67981
30,16,261373,62686
30,16,258090,69828
30,16,258739,69368
30,16,257548,69818
30,16,256621,69378
30,16,257838,69960
31,16,259246,69704
31,16,261017,67931
31,16,260247,67996
31,16,258858,68531
31,16,261039,67255
31,16,261800,62710
31,16,261357,62658
31,16,261004,69439
31,16,259746,69867
31,16,259804,69122
31,16,260218,69055
31,16,259176,69741
31,16,259309,69172
31,16,259693,68971
31,16,259486,69219
31,16,260022,69379
31,16,259398,72223
31,16,258578,69884
31,16,259403,69428
31,16,259580,72448
32,16,268119,62386
32,16,268388,63072
32,16,271494,62521
32,16,268860,62715
32,16,268751,62117
32,16,268456,62653
32,16,268257,63008
32,16,268731,62367
32,16,268953,62258
32,16,268034,63243
32,16,267735,62626
32,16,269501,61985
32,16,268145,62931
32,16,268436,62418
32,16,267859,63367
32,16,268044,62553
32,16,272140,63460
32,16,268778,63010
32,16,269106,62887
32,16,269607,62826
33,16,274757,62721
33,16,275447,62749
33,16,274694,62653
33,16,274577,62869
33,16,273875,63011
33,16,275911,62711
33,16,273104,63193
33,16,278841,63384
33,16,276279,63107
33,16,275115,63153
33,16,273568,62779
33,16,274312,63043
33,16,275286,63482
33,16,275073,62681
33,16,275132,62245
33,16,278079,62576
33,16,273514,62690
33,16,273085,62471
33,16,275277,62317
33,16,273173,62678
34,16,276478,62755
34,16,275995,63127
34,16,275426,62861
34,16,275213,62836
34,16,275545,63610
34,16,274449,63153
34,16,274811,62594
34,16,275294,62701
34,16,274617,63317
34,16,274706,63348
34,16,276297,63196
34,16,274388,62965
34,16,273983,63006
34,16,277842,62367
34,16,275716,62884
34,16,275570,63040
34,16,276256,63184
34,16,274059,62341
34,16,275221,66359
34,16,275689,63255
35,16,278334,62496
35,16,277930,63327
35,16,276969,63306
35,16,309698,63005
35,16,277304,63061
35,16,278245,63148
35,16,276706,63219
35,16,277276,62893
35,16,279688,63737
35,16,278068,62862
35,16,277722,63046
35,16,276755,63053
35,16,276198,62723
35,16,276594,62616
35,16,277659,62764
35,16,278151,63414
35,16,276170,62983
35,16,278332,62745
35,16,278801,63218
35,16,278517,63152
36,16,279146,63034
36,16,278461,62672
36,16,277523,63409
36,16,281397,62956
36,16,279398,62699
36,16,283668,62773
36,16,279922,62817
36,16,279324,62963
36,16,278198,62597
36,16,279475,62995
36,16,279921,63328
36,16,279662,62460
36,16,279956,62801
36,16,280560,62753
36,16,280990,62333
36,16,279742,63344
36,16,279322,62851
36,16,282699,62955
36,16,280985,63126
36,16,280041,62944
37,16,280947,62281
37,16,282329,63184
37,16,282977,62718
37,16,280709,62303
37,16,283670,63099
37,16,282140,62801
37,16,280606,61904
37,16,281731,62845
37,16,281192,62635
37,16,282318,62413
37,16,282014,62768
37,16,282787,62937
37,16,281489,62411
37,16,285208,63363
37,16,282197,62094
37,16,282957,62680
37,16,281961,62907
37,16,281193,62915
37,16,281101,62813
37,16,282687,62497
38,16,282837,62503
38,16,282610,62818
38,16,284725,66006
38,16,283253,62567
38,16,282909,62595
38,16,283167,62743
38,16,282949,62558
38,16,281287,62632
38,16,282494,63130
38,16,285237,63046
38,16,282892,63020
38,16,288138,62624
38,16,284082,63109
38,16,282991,62366
38,16,284756,62904
38,16,283459,62655
38,16,284179,62416
38,16,284071,62129
38,16,282646,62984
38,16,284042,63064
39,16,284572,62967
39,16,285257,62834
39,16,288325,63300
39,16,286597,62919
39,16,284866,62693
39,16,284647,63058
39,16,285357,62304
39,16,284723,62779
39,16,285270,62510
39,16,284921,62865
39,16,284863,62644
39,16,286263,62912
39,16,285618,63386
39,16,283512,62603
39,16,284620,63239
39,16,284547,62674
39,16,284577,62712
39,16,288348,63049
39,16,286269,63321
39,16,286288,63063
40,16,287387,62511
40,16,285958,63155
40,16,287131,62816
40,16,286311,62851
40,16,285110,62797
40,16,287106,63449
40,16,286763,63102
40,16,286342,63047
40,16,286869,62100
40,16,286167,62716
40,16,286816,62718
40,16,286310,62752
40,16,286498,63138
40,16,287213,63154
40,16,284490,63098
40,16,285616,62848
40,16,286344,62811
40,16,286708,62811
40,16,286610,63105
40,16,285518,62447
41,16,289018,63146
41,16,287833,62832
41,16,289596,62477
41,16,287056,62992
41,16,288800,62722
41,16,288543,62431
41,16,288929,63096
