Pallet: "offences", Extrinsic: "report_offence_grandpa", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,n,extrinsic_time,storage_root_time
23,16,587830,160071
23,16,597193,160035
23,16,596769,159456
23,16,589424,160279
23,16,594035,159828
23,16,620734,162543
23,16,592657,157927
23,16,591346,158472
23,16,623200,158997
23,16,592012,158753
23,16,587418,159804
24,16,590929,158504
24,16,593102,159701
24,16,594358,160020
24,16,622967,159649
24,16,593532,160123
24,16,593592,159084
24,16,591117,159757
24,16,592821,158631
24,16,589527,158581
24,16,592742,159630
24,16,591921,159887
24,16,595631,159173
24,16,598125,159741
24,16,590718,162231
24,16,592825,158662
24,16,603012,160952
24,16,596298,159587
24,16,593449,159295
24,16,597057,159308
24,16,591814,161278
25,16,593913,159709
25,16,596952,160571
25,16,594754,161139
25,16,593718,161206
25,16,628570,161444
25,16,592578,159855
25,16,593322,159070
25,16,596824,160123
25,16,593666,159538
25,16,591148,160210
25,16,598492,160233
25,16,590435,159840
25,16,591688,160736
25,16,622519,160927
25,16,590447,161952
25,16,591963,159446
25,16,591544,161070
25,16,593904,160184
25,16,594171,160116
25,16,589103,161053
26,16,591694,160231
26,16,590883,161274
26,16,593065,160412
26,16,591297,159915
26,16,592246,160314
26,16,593056,158793
26,16,591653,159729
26,16,592528,160995
26,16,593592,160631
26,16,587731,160056
26,16,594076,158985
26,16,595670,159499
26,16,592529,159316
26,16,595082,159013
26,16,592316,159713
26,16,593622,160117
26,16,591497,160630
26,16,594807,161009
26,16,597158,159343
26,16,592441,160652
27,16,594596,161158
27,16,593193,159779
27,16,592335,160645
27,16,595113,159384
27,16,595026,161191
27,16,595721,159174
27,16,595321,159877
27,16,593894,164227
27,16,591686,160560
27,16,592456,159299
27,16,591617,163876
27,16,592187,160287
27,16,592553,161126
27,16,592390,189467
27,16,594172,160345
27,16,588914,159162
27,16,597709,162185
27,16,595978,159448
27,16,593314,159533
27,16,599615,161204
28,16,592525,160049
28,16,596424,159450
28,16,594730,159351
28,16,593367,159543
28,16,596013,159603
28,16,596765,158986
28,16,593454,160045
28,16,598536,160464
28,16,596291,160509
28,16,592982,159124
28,16,593171,159403
28,16,596282,159084
28,16,595892,159664
28,16,593730,158917
28,16,599628,160012
28,16,593691,159782
28,16,592865,160259
28,16,596933,159746
28,16,592967,160833
28,16,596462,159828
29,16,625893,162640
29,16,595111,160242
29,16,596870,160413
29,16,594668,159434
29,16,594380,159845
29,16,589021,160841
29,16,595841,160456
29,16,594000,161037
29,16,594807,159952
29,16,595050,160242
29,16,593878,160197
29,16,591172,160177
29,16,592366,158963
29,16,595901,160266
29,16,592060,159199
29,16,593162,160775
29,16,592790,160451
29,16,596179,160439
29,16,594305,159936
29,16,596097,160757
30,16,598086,159341
30,16,596475,159946
30,16,595855,159338
30,16,593881,159358
30,16,596151,159587
30,16,620642,159427
30,16,592552,160320
30,16,591170,158576
30,16,593510,160240
30,16,592577,159197
30,16,590947,159639
30,16,594329,159911
30,16,593287,159887
30,16,594964,160214
30,16,590531,161694
30,16,590590,160220
30,16,596249,160904
30,16,593281,165056
30,16,590245,161450
30,16,593624,160001
31,16,595422,162785
31,16,596265,160592
31,16,595582,160882
31,16,594530,162938
31,16,594593,158614
31,16,593095,159209
31,16,596404,160226
31,16,592011,159129
31,16,594887,162710
31,16,627190,160000
31,16,590926,159672
31,16,594926,162258
31,16,598064,161807
31,16,595742,160113
31,16,594013,161057
31,16,599145,160102
31,16,594291,160824
31,16,594879,160693
31,16,599149,159842
31,16,593261,161298
32,16,592754,161432
32,16,597138,159799
32,16,597305,159828
32,16,594065,159531
32,16,595836,161463
32,16,593405,160209
32,16,592749,160249
32,16,602165,159308
32,16,591627,160341
32,16,595381,159731
32,16,596586,160748
32,16,590829,160634
32,16,595738,160606
32,16,593639,160745
32,16,594123,162283
32,16,593079,159927
32,16,589880,159780
32,16,594967,161200
32,16,591991,160752
32,16,593014,160585
33,16,595273,160182
33,16,595950,161874
33,16,592363,160742
33,16,587695,160279
33,16,593774,160290
33,16,595749,160895
33,16,598237,160419
33,16,596036,160432
33,16,595879,159569
33,16,596654,160135
33,16,597221,159689
33,16,594066,160593
33,16,595088,160494
33,16,594162,159347
33,16,592261,160180
33,16,596734,159505
33,16,593227,160255
33,16,597314,160303
33,16,592765,159893
33,16,591330,160080
34,16,594695,160124
34,16,590668,164050
34,16,592501,160073
34,16,592052,161245
34,16,592949,191122
34,16,595350,160818
34,16,595580,160361
34,16,595378,161390
34,16,593720,160025
34,16,592326,159249
34,16,597295,160558
34,16,595680,159978
34,16,597290,160330
34,16,594170,160045
34,16,590865,160409
34,16,595991,161112
34,16,596294,161059
34,16,592320,160770
34,16,595644,159764
34,16,600926,161429
35,16,594943,159923
35,16,594587,160691
35,16,596230,159914
35,16,593230,161393
35,16,595067,160981
35,16,626314,160661
35,16,594996,161523
35,16,592621,161024
35,16,596108,160578
35,16,594745,160902
35,16,595650,161902
35,16,596030,161720
35,16,597125,160351
35,16,599165,160309
35,16,594532,160804
35,16,595952,159819
35,16,596651,159716
35,16,597770,160765
35,16,593874,161067
35,16,594758,160285
36,16,595737,158988
36,16,595516,160967
36,16,594695,160020
36,16,593229,160515
36,16,598673,159189
36,16,592635,159717
36,16,594946,160237
36,16,596075,161199
36,16,594559,159494
36,16,590725,159912
36,16,591366,160273
36,16,597113,159926
36,16,598906,161957
36,16,594160,164146
36,16,595492,160100
36,16,594167,161815
36,16,595921,162846
36,16,593260,160305
36,16,592853,159926
36,16,601197,159999
37,16,592691,160556
37,16,594384,160748
37,16,598086,159681
37,16,592584,161082
37,16,591155,161751
37,16,599075,160818
37,16,593792,160242
37,16,598870,161997
37,16,599420,159771
37,16,598678,160085
37,16,592890,160269
37,16,602584,161526
37,16,595832,160134
37,16,596415,160527
37,16,596591,160258
37,16,594409,160113
37,16,597627,160662
37,16,602379,160537
37,16,591455,160061
37,16,593911,160994
38,16,599268,160548
38,16,594673,161322
38,16,596150,160599
38,16,591937,160439
38,16,597147,160750
38,16,591233,160888
38,16,597396,160040
38,16,594882,160280
38,16,595311,159860
38,16,595528,161048
38,16,597451,161282
38,16,596723,161842
38,16,594571,159867
38,16,591494,160725
38,16,597738,160933
38,16,595798,160345
38,16,598668,160547
38,16,597225,160315
38,16,597661,161402
38,16,592127,160005
39,16,598033,160171
39,16,595408,160009
39,16,597633,164575
39,16,595969,159914
39,16,596874,160910
39,16,593720,160456
39,16,596881,159958
39,16,595886,160782
39,16,600712,161088
39,16,592883,160252
39,16,599529,162188
39,16,603041,161079
39,16,596857,159711
39,16,595471,160261
39,16,595670,160444
39,16,591866,162530
39,16,597554,160283
39,16,601011,160485
39,16,596993,161197
39,16,598713,158941
40,16,599453,161376
40,16,591701,161546
40,16,597957,160983
40,16,598243,160152
40,16,596166,160293
40,16,593726,161653
40,16,592844,161588
40,16,597789,160731
40,16,593101,162294
40,16,597152,160558
40,16,595301,160500
40,16,595367,160231
40,16,594602,161127
40,16,593468,160294
40,16,593392,160214
40,16,591145,160566
40,16,594593,161541
40,16,596678,160932
40,16,592696,160309
40,16,596943,178507
41,16,593364,161375
41,16,595218,160628
41,16,595233,163639
41,16,597063,160511
41,16,596030,160339
41,16,607860,162822
41,16,590490,160919
41,16,594740,160821
41,16,601140,161184
41,16,592420,160181
41,16,595201,159342
41,16,599920,162503
41,16,602150,160733
41,16,595923,160989
41,16,603447,160558
41,16,595531,161125
41,16,592782,162751
41,16,599532,161566
41,16,596662,160818
41,16,598696,161003
42,16,597961,161166
42,16,604235,160435
42,16,594623,161576
42,16,600668,160799
42,16,596757,161133
42,16,600253,161190
42,16,594916,161835
42,16,600257,161283
42,16,599679,161359
42,16,596951,160727
42,16,597191,160120
42,16,600588,160444
42,16,594904,160822
42,16,593303,160680
42,16,600392,160546
42,16,596356,160200
42,16,597196,180008
42,16,593116,161727
42,16,600971,161975
42,16,596537,163937
43,16,598131,161305
43,16,601343,160516
43,16,602096,161779
43,16,595468,162799
43,16,596936,161509
43,16,602859,160935
43,16,594284,161273
43,16,599806,160672
43,16,598666,161426
43,16,598496,160833
43,16,598208,159874
43,16,600847,161247
43,16,601239,161310
43,16,601414,160026
43,16,600364,160705
43,16,600950,162140
43,16,596991,161222
43,16,601007,160075
43,16,597313,159367
43,16,600488,162891
44,16,596172,160268
44,16,598099,162552
44,16,596455,161251
44,16,599214,161112
44,16,595865,162351
44,16,596120,160735
44,16,595285,163046
44,16,600933,162643
44,16,596394,162056
44,16,597294,161046
44,16,597355,164157
44,16,598640,160341
44,16,598935,161259
44,16,600639,165368
44,16,598485,161300
44,16,597256,161598
44,16,634190,161719
44,16,599381,161242
44,16,600669,161366
44,16,632955,161018
45,16,600159,161249
45,16,596632,161101
45,16,603087,161898
45,16,597325,160239
45,16,599624,161591
45,16,605385,160508
45,16,602101,161415
45,16,599917,161437
45,16,604939,160992
45,16,599977,161686
45,16,596445,162861
45,16,593036,162941
45,16,598310,161805
45,16,599855,159992
45,16,601316,162409
45,16,601527,160849
45,16,597677,160896
45,16,601621,161465
45,16,602135,161211
45,16,598521,160162
46,16,602219,162113
46,16,598861,159573
46,16,600135,160927
46,16,596113,160977
46,16,600786,164450
46,16,600444,160287
46,16,597013,162358
46,16,602774,162723
