Pallet: "timestamp", Extrinsic: "on_finalize", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
60,4895,8561
60,4854,8600
60,4857,8645
60,5127,8853
60,4921,8755
60,4922,8909
60,4907,8654
60,4913,8547
60,4933,8665
60,4949,8657
60,4880,8620
60,5013,8740
60,4942,8612
60,4923,8621
60,4949,8571
60,4968,8633
61,5004,8816
61,5114,8590
61,4932,8686
61,4953,8599
61,4910,8628
61,4844,8667
61,4919,8526
61,4836,8550
61,4847,8669
61,4902,8694
61,4852,8653
61,4832,8644
61,4876,8721
61,4794,8659
61,4985,8693
61,4956,8698
61,4735,8767
61,4884,8665
61,4860,8616
61,4855,8715
62,5059,8734
62,4903,8687
62,4909,8706
62,4924,8730
62,4787,8655
62,4799,8723
62,5004,8757
62,4925,8775
62,4911,8749
62,4944,8766
62,4900,8691
62,4892,8710
62,4920,8610
62,4938,8614
62,4934,8664
62,4822,8656
62,4980,8550
62,4833,8679
62,4917,8643
62,4897,8693
63,4946,8746
63,4910,8785
63,4959,8555
63,4917,8755
63,4881,8701
63,4984,8712
63,4903,8796
63,4855,8719
63,4858,8639
63,4867,8773
63,4907,8786
63,4926,8773
63,4876,8744
63,4923,8611
63,4878,8657
63,4837,8630
63,4886,8554
63,4866,9027
63,4933,8559
63,4881,8742
64,4882,8570
64,4914,8632
64,4755,8714
64,4883,8718
64,4784,8544
64,4811,8754
64,4894,8541
64,4919,8669
64,4866,8679
64,4821,8681
64,5000,8705
64,4790,8669
64,4833,8644
64,4915,8732
64,4890,8636
64,4926,8673
64,4904,8801
64,4781,8706
64,4874,8713
64,4802,8714
65,4990,8750
65,4940,8756
65,4903,8892
65,4883,8718
65,4813,8747
65,4870,8577
65,4854,8624
65,4892,8703
65,4936,8803
65,4905,8763
65,4832,8609
65,4897,8604
65,4926,8643
65,4863,8639
65,4896,8623
65,4895,8772
65,4926,8758
65,4883,8723
65,4855,8618
65,4979,8709
66,4994,8816
66,4938,8733
66,4942,8782
66,5003,8670
66,4964,8736
66,4775,8555
66,4862,8713
66,4979,8723
66,4884,8746
66,4868,8687
