Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,29,38671460,1247109
10,29,38934611,1284290
10,29,40167414,1265422
10,33,44907596,1317512
10,33,45259540,1393519
10,33,44861168,1415344
10,33,45079144,1323207
10,33,45362834,1350770
10,33,46142650,1474298
10,33,44939913,1368437
10,33,45136004,1370441
10,33,45241209,1332758
10,33,46070367,1325368
10,33,44926230,1306674
10,33,45768948,1332146
10,33,44722742,1317310
10,33,45453755,1522223
10,33,45211606,1460214
10,33,45549640,1477310
10,33,45408487,1429898
10,33,45411054,1374496
10,33,45184953,1326142
10,33,45033817,1407288
10,37,51537320,1473039
10,37,51992951,1473814
10,37,51746633,1480606
10,37,52509984,1431421
10,37,52275684,1524282
10,37,53779888,1580751
10,37,52547000,1517804
10,37,52339908,1432901
10,37,52068250,1425010
10,37,52050092,1455927
10,37,52483792,1531254
10,37,53554394,1476875
10,37,52595579,1430434
10,37,52962827,1537093
10,37,52037798,1435925
10,37,51651658,1501053
10,37,52295018,1413497
10,37,53531348,1525948
10,37,52374280,1491217
10,37,52430992,1492353
10,41,60160230,1756421
10,41,59360956,1615892
10,41,60333938,1594826
10,41,63869445,1754020
10,41,60938299,1669454
10,41,59690526,1654043
10,41,61589699,1693915
10,41,60684393,1640982
10,41,61121976,1719410
10,41,60485937,1735350
10,41,60675485,2108116
10,41,60501899,1660820
10,41,60836369,1860067
10,41,60659134,1688602
10,41,60754821,1699455
10,41,61573015,1771374
10,41,60482046,1711639
10,41,59856793,1687674
10,41,61053022,1817969
10,41,60064206,1628599
10,45,67724954,1735290
10,45,69052404,1740108
10,45,67906697,1839507
10,45,67819984,2269739
10,45,68165045,1941204
10,45,69638187,1862862
10,45,69640748,1731404
10,45,70640413,1881261
10,45,69186523,1732475
10,45,70269771,2312555
10,45,68408670,1748789
10,45,68006297,1857114
10,45,66960453,1789838
10,45,67604774,1755442
10,45,70068611,1791213
10,45,67391918,1721359
10,45,67310244,1817974
10,45,67259838,1798115
10,45,67337551,1750386
10,45,68268685,1790782
10,49,76532485,1910958
10,49,76425452,1859059
10,49,75186943,1915891
10,49,81947188,2334083
10,49,80377997,2112139
10,49,78079435,1907740
10,49,76161023,2255776
10,49,76644808,1982323
10,49,76016433,1930593
10,49,74879067,1953992
10,49,75244298,1941700
10,49,75341240,1910801
10,49,76687092,1913120
10,49,78154907,1912430
10,49,75307120,1862076
10,49,77209114,1974333
10,49,75983968,1881824
10,49,75048441,1908989
10,49,74549715,1978891
10,49,74144253,1910734
10,53,83366695,1979414
10,53,83289739,2006712
10,53,86066795,2046629
10,53,82904054,2000416
10,53,84975787,2048648
10,53,83887152,1953452
10,53,86968698,2101796
10,53,84885912,1984324
10,53,84157255,2078497
