Pallet: "democracy", Extrinsic: "on_initialize_public", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time_ns,storage_root_time_ns
48,1548209,172736
48,1556294,171756
48,1550613,172277
48,1544254,173250
48,1553592,172069
48,1556416,172436
48,1563063,172332
48,1556498,171224
49,1574934,181670
49,1582626,183614
49,1573602,181976
49,1572110,182819
49,1584118,181153
49,1574512,181356
49,1587502,182415
49,1573010,180714
49,1588394,183421
49,1584420,184211
49,1583073,182284
49,1574440,180680
49,1584397,181518
49,1579004,181806
49,1577581,181228
49,1575104,183289
49,1579980,183528
49,1575858,181706
49,1577632,181940
49,1569941,181610
50,1613862,186590
50,1605943,186716
50,1614514,184063
50,1603960,185563
50,1611788,185752
50,1607648,186925
50,1606371,185668
50,1608461,186186
50,1610608,186403
50,1644021,186104
50,1610437,186262
50,1604716,185562
50,1611098,185976
50,1619058,186598
50,1608869,188845
50,1611277,185367
50,1602306,186506
50,1609592,184500
50,1610148,185188
50,1608040,186400
51,1642216,192183
51,1642870,191642
51,1640585,191288
51,1637234,191882
51,1632404,192434
51,1635678,191181
51,1631273,191863
51,1645175,191654
51,1649642,191397
51,1648380,190900
51,1650450,192181
51,1647330,191329
51,1644870,191519
51,1638699,191010
51,1642647,191619
51,1635738,191043
51,1634526,191523
51,1642408,192609
51,1643934,191787
51,1646435,190718
52,1679079,194268
52,1666965,193970
52,1684268,193826
52,1677925,195887
52,1678315,194272
52,1681016,195103
52,1678751,194449
52,1683980,194356
52,1673482,193555
52,1718452,194652
52,1680028,194265
52,1676896,194960
52,1680875,194434
52,1680824,195268
52,1709052,194710
52,1668862,194375
52,1707318,194336
52,1683670,193324
52,1679456,194802
52,1677515,193875
53,1712211,196657
53,1715913,193597
53,1714526,192224
53,1707694,192042
53,1711458,194316
53,1715009,193469
53,1715412,192732
53,1715369,194634
53,1706252,192689
53,1711728,194346
53,1708691,194096
53,1738837,194098
53,1706884,192271
53,1712276,193849
53,1710077,192701
53,1714663,193481
53,1722524,194452
53,1718666,194433
