Pallet: "system", Extrinsic: "set_changes_trie_config", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
d,extrinsic_time,storage_root_time
160,7521,3000042
160,7426,3033371
160,7100,2996599
160,7232,2998738
160,7559,3002579
160,7546,3003174
160,7302,3002391
160,7280,3003382
160,7242,3001555
160,7240,3005948
160,7096,3002293
160,7202,2996682
160,7365,3003503
160,7463,2993994
160,12271,2997162
160,7107,3003317
180,7224,2994986
180,7118,3002980
180,7170,3004795
180,7526,2993028
180,7067,2999366
180,7210,3000498
180,7236,3000042
180,7301,2997931
180,7105,2994750
180,7400,2992808
180,7210,3000381
180,7114,3002012
180,7180,3026562
180,7473,2998800
180,7025,3002330
180,7103,3046274
180,7000,3004726
180,7304,3007447
180,7817,3005401
180,7297,3001997
200,11286,2995907
200,7510,3006989
200,7300,3002873
200,7415,2997579
200,7365,3036584
200,7129,2998553
200,7157,3004735
200,7176,3001089
200,7124,3001024
200,7192,3002546
200,7239,3002962
200,7087,2992836
200,7007,3003976
200,7299,2997104
200,7147,3038251
200,7502,3001113
200,7456,3008424
200,7361,2999594
200,7135,3004171
200,7179,2999582
220,7188,3000212
220,7059,3006975
220,7276,3002059
220,7569,2997147
220,7527,3003050
220,7539,3032395
220,7414,3005237
220,7513,3005568
220,7204,2997579
220,7255,2996556
220,7404,3006176
220,7232,3003511
220,7042,2999454
220,7010,2998808
220,7008,2999826
220,7106,2993730
220,7317,3019469
220,7520,2992674
220,7529,2993321
220,7057,2991170
240,7323,2995091
240,7137,2987119
240,7313,2994510
240,7024,3033061
240,7115,3001209
240,7344,2999171
240,7157,3034341
240,6993,2996219
240,7025,3003167
240,7152,3005619
240,7183,3001009
240,7224,2997867
240,7665,3001898
240,7213,2998535
240,7129,2997858
240,7118,2998339
240,7350,3003118
240,8793,2998725
240,7124,3002477
240,6991,3002871
260,7618,2994345
260,7363,3000905
260,7534,3008117
260,7506,3000219
260,7197,3004798
260,7601,3028872
260,7701,2999193
260,7117,2997662
260,7315,3003794
260,7287,3003209
260,7886,3005724
260,7026,3028803
260,7283,3004995
260,6985,2998209
260,7343,3002081
260,7710,3000334
260,7636,2997583
260,7379,3031355
260,7474,3001976
260,7295,3000292
280,7303,2995253
280,7302,3006865
280,7387,3003282
280,7648,3002742
280,7329,3003248
280,7425,3006435
280,7191,2997664
280,7753,2994582
280,7493,3002511
280,7346,2996735
280,7216,2998596
280,7501,2999699
280,7396,2996270
280,7552,2994184
280,7423,2993662
280,7256,3000854
280,7271,3000355
280,7335,2995682
280,7417,3006342
280,7535,3002042
300,7476,2993566
300,7519,3002904
300,7038,3009496
300,7469,3002328
300,7664,3002674
300,7263,2999613
300,7254,2998203
300,7391,2997177
300,7205,2996112
300,7009,3004657
300,7445,3001434
300,7286,3001274
300,7248,3001420
300,7403,3001823
300,7129,2993485
300,7788,2996112
300,7255,2998492
300,7632,2997848
300,7373,3003751
300,7321,3000491
320,7319,2999017
320,7413,2987981
320,7827,2994775
320,7433,2998574
320,7233,2994925
320,7306,3020141
320,7144,3025252
320,7222,2996140
320,7489,2999389
320,7192,2994453
320,7103,2995338
320,7755,2995581
320,7434,2999765
320,7336,2994837
320,7375,2996101
320,7094,2997569
320,7410,2991326
320,7501,2993611
320,7375,3000110
320,7356,3002489
340,7453,2996214
340,7230,2999048
340,7712,3001343
340,7214,2997853
340,7507,2993153
340,7371,2993412
340,7289,2995006
340,7317,2995294
340,7141,2993586
340,7542,2995049
340,7241,3000364
340,7300,2988020
340,7165,2993194
340,7525,2998767
340,7259,2995042
340,7151,2999597
340,7122,2996345
340,7216,2992883
340,7168,2994412
340,7272,2989758
360,7195,2988918
360,7179,2997449
360,7379,2999476
360,7843,2992659
360,7519,2996176
360,7356,2994954
360,7271,2993197
360,7404,3022292
360,7388,2988184
360,7545,2994555
360,7290,2988353
360,7391,2984030
360,7013,2988902
360,7229,3004981
360,7587,3001218
360,7881,2993399
360,7318,2995629
360,7500,3033334
360,7742,2994845
360,7817,3003922
380,7723,2997287
380,7643,2999687
380,7614,3000283
380,7741,3027275
380,7265,2994361
380,7618,2995764
380,7271,3003389
380,7425,3025252
380,7301,2995351
380,7893,2999528
380,7342,2999891
380,7972,3002246
380,7362,3051198
380,7610,3061834
380,7518,3010037
380,7147,3015413
380,7386,3011097
380,7368,3031277
380,7190,3000066
380,7698,3002284
400,7507,2998567
400,7692,2996723
400,7379,2988731
400,7649,2993748
400,7486,2997516
400,7615,2997205
400,7491,3000652
400,7446,3026958
400,7215,2994211
400,7881,2998391
400,7519,2998411
400,7557,2990935
400,7857,2993889
400,7643,2991488
400,7662,2995426
400,7721,2993423
400,7899,2991989
400,7537,3024223
400,7537,3026798
400,7414,2994112
420,7656,2996090
420,7888,3007317
420,7793,2991948
420,7577,2997143
420,7331,2998863
420,7600,2997897
420,7772,2996655
420,7734,3027653
420,7520,2996253
420,7462,3002596
420,7375,2989984
420,7448,2991224
420,7290,2988685
420,7193,2993498
420,7781,2994154
420,7628,2994106
420,7823,2997022
420,7553,2995458
420,7402,2993602
420,7745,3000590
440,7672,2989935
440,7581,2996641
440,7358,2992051
440,7337,2998064
440,8124,3004555
440,7546,2997714
440,7524,2998353
440,7507,2999453
440,7440,2992832
440,7583,2995350
440,7588,3001423
440,7650,2992289
440,7562,2988414
440,7469,2999474
440,7639,2995036
440,12680,2997333
440,7424,2994979
440,7652,3021155
440,7225,3028029
440,7197,2994369
460,7624,2999657
460,7447,2996245
460,7559,2988354
460,7313,2989445
460,7349,2993829
460,8216,2994938
460,7750,2992758
460,7566,2998887
460,7559,2995309
460,7585,2993703
460,7587,2998115
460,7572,2995319
460,7534,2995133
460,7601,2988991
460,7426,2993101
460,7553,2995021
460,7745,2999474
460,7492,2991872
460,7423,2999326
460,7845,2997478
480,7518,3024029
480,7416,3000300
480,7304,2996343
480,7418,2995055
480,7619,2995943
480,7473,2989083
480,7493,2993943
480,7177,2996625
480,7410,2991094
480,7658,3021095
480,7443,3026881
480,7237,3001082
480,7414,2997873
480,7995,2998219
480,7652,2998826
480,7661,2997614
480,7741,3021809
480,7661,2985363
480,7407,2984024
480,7219,2983644
500,7765,3024891
500,11770,2988436
500,7326,2989558
500,7509,2984256
500,7958,2989863
500,7283,2984958
500,8422,2992736
500,7455,2984512
500,7753,2988059
500,7458,2976917
500,7509,2984474
500,7416,2983354
500,7459,2985068
500,9224,2991338
500,7751,2990754
500,7841,2989305
500,7537,2984509
500,7873,2985014
500,7672,2986701
500,7345,2985136
520,8086,2991907
520,7890,2988109
520,8075,2987845
520,8052,2983757
520,7699,2995010
520,7398,2996427
520,7423,3001009
520,7704,3002062
520,7807,2994149
520,7618,2995681
520,7859,2995682
520,7632,2992233
520,7876,2996794
520,7645,2996648
520,7602,2995740
520,7542,2998080
520,7623,2996201
520,7602,2985043
520,7509,2991458
520,7607,2987844
540,7855,2989155
540,7660,2998313
540,7764,3029889
540,7642,2998823
540,7578,2996592
540,7664,2992120
540,8193,2994312
540,7917,2995324
540,7566,2999239
540,7564,2996120
540,7563,2991739
540,7380,3029347
540,7541,2999610
540,7519,3001505
540,8049,3000207
540,7857,2990369
540,7704,2994025
540,7892,3000227
540,7530,3001296
540,7772,2993042
560,7661,2998214
560,7962,3020576
560,7227,2995150
560,7862,3002699
560,7875,3002631
560,7403,2997371
560,7428,2999604
560,7552,2992675
560,7777,2995930
560,7547,2994854
560,7496,2996856
560,7585,2989288
560,7343,2991146
560,7544,2996627
560,7517,2989033
560,7628,3023711
560,7611,3019741
560,7481,2988813
560,7513,2992487
560,7333,2991635
580,7588,2986478
580,7630,2987455
580,7625,2990795
580,7354,2985874
580,7185,2988822
580,7543,2985992
580,7615,2986397
580,7423,2988602
580,7703,2986798
580,7578,2986532
580,7454,2983655
580,7793,2983133
580,7495,2979866
580,7693,2979318
580,7043,2985763
580,7507,2986092
580,7679,2986996
580,7396,2990017
580,7237,2984496
580,7321,2986196
600,7405,2990118
600,7227,2986087
600,7485,2984135
600,7441,2983325
600,7238,2987075
600,7087,3020782
600,7379,3029627
600,7232,2999314
600,7922,2999265
600,7580,2997676
600,7473,2987346
600,7526,2989351
600,7665,2995428
600,7448,2993474
600,7595,2989857
600,7719,2991652
600,7380,2992984
600,7409,3163543
600,7649,2988404
600,7727,2989960
620,8241,2991875
620,7615,2988055
620,7572,2987408
620,7472,2987698
620,7552,2985556
620,7571,3006190
620,7912,3030760
620,7348,2999587
620,7522,3001521
620,7404,2999548
620,8028,2998462
620,7635,2995017
620,7651,2995355
620,7781,3003316
620,7611,2997485
620,7767,2993510
620,7453,2993451
620,7442,2989174
620,7645,3007303
620,7839,2998984
640,8049,2991161
640,7833,2994101
640,7993,2994195
640,7561,2991882
640,7680,2992241
640,7563,2997282
640,8119,2995241
640,8202,3016595
640,7466,2986120
640,7443,2990686
640,7731,3058487
640,7438,3003336
640,7613,3003790
640,7807,3005230
640,7539,2997314
640,7470,2992893
640,7803,3026710
640,7575,2996132
640,7584,3028687
640,7668,2997504
660,7935,2999266
660,7532,3001083
660,7950,2993304
660,7924,3002844
660,7839,2999617
660,7589,3026188
660,7525,3000518
660,7494,2998889
660,7424,3001329
660,7345,2994393
660,7797,2996311
660,7479,2999918
660,7687,2995142
660,8014,2996593
660,7503,2984980
660,7622,2991311
660,7567,2993943
660,7891,2990079
660,7506,2996184
660,7630,2992768
680,7541,2986318
680,7904,2992265
680,7657,2990908
680,8073,3002484
680,7616,2993136
680,7543,2994420
680,8287,2995850
680,7525,2992457
680,7624,2995737
680,7749,2995868
680,7489,2995870
680,7537,2999805
680,7408,3025889
680,7141,2994734
680,7575,3003654
680,7726,2998120
680,7647,2999020
680,7604,2993283
680,7462,2994980
680,7599,3028724
700,7584,2999177
700,8020,3031104
700,7722,2998986
700,7520,3001523
700,7831,2998489
700,7646,2995813
700,7921,2993523
700,7570,2995020
700,7774,2995076
700,7734,2999396
700,7737,3025075
700,15268,3028148
700,7651,2996405
700,7781,3000220
700,7905,2997977
700,7946,3001931
700,7764,2994398
700,7592,2997667
700,7527,2995990
700,8007,2997093
720,7695,2998562
720,7778,2997502
720,7635,2997443
720,7582,2992768
720,7907,2995486
720,7503,2993737
720,7665,2995169
720,7727,2991596
720,7485,2999412
720,7573,2998865
720,7804,2996645
720,7613,2998056
720,7491,2999516
720,7912,2998793
720,7832,2995453
720,7895,2997766
720,7498,2994206
720,7687,2996577
720,7636,2998470
720,7734,2999668
740,7753,2999575
740,7447,3023393
740,7732,3005927
740,7776,2996505
740,7811,2999611
740,7865,2997598
740,7628,2996600
740,7439,2995701
740,7712,2995072
740,7584,2995058
740,7996,2994266
740,7521,2994016
740,7522,2995635
740,7885,2998559
740,7609,2995875
740,7483,3030571
740,7270,3028314
740,7358,2993916
740,7660,2999676
740,7721,3003008
760,7940,2993238
760,7754,3025458
760,7644,2999591
760,7608,3017077
760,7866,3001778
760,7934,3028630
760,7387,2996967
760,7748,2997398
760,8030,3001226
760,7822,3002214
760,7671,2996050
760,7489,2999877
760,7988,2995411
760,7843,2991584
760,7879,2992974
760,7515,2996485
760,7549,2995445
760,7746,2999759
760,7735,2999561
760,7945,2994047
780,8072,2992888
780,7479,2993924
780,7513,2999676
780,7761,2997258
780,7398,2992350
780,7399,2995302
780,7617,2992788
780,7900,3021177
780,7920,3020608
780,7619,2987037
780,7574,2995819
780,7603,2987804
780,7614,2987464
780,8038,2977041
780,7825,2983228
780,7809,2985399
780,7561,2988814
780,7638,2985260
780,7762,2983665
780,7292,2981627
800,7834,2979813
800,7927,2981926
800,7524,2985974
800,7809,2983285
800,7667,2983258
800,7476,2988289
800,7724,2989496
800,7583,2989149
800,7399,2985506
800,7486,2985236
800,7706,3021892
800,7611,3034902
800,7724,3001750
800,7695,3000457
800,8045,3000953
800,7422,3001135
800,7396,2995954
800,7447,2993579
800,7605,2992792
800,7268,2993116
820,7599,3033258
820,7649,2999150
820,7380,3002212
820,7689,3005554
820,7680,2997645
820,7650,2994040
820,7322,2999874
820,7687,2995047
820,7548,2995687
820,7472,2997286
820,7702,2998204
820,7637,2996617
820,7775,2997378
820,7554,2986369
820,7341,2993326
820,7557,2993575
820,7455,2987852
820,7385,2996059
820,7559,2995558
820,7508,2989715
840,7800,2994965
840,7823,3017432
840,8594,3120793
840,8321,3021500
840,7776,3016105
840,7839,3007025
840,7649,3000968
840,7673,2999216
840,7587,2995614
840,7818,2998148
840,8065,3027206
840,7372,2997742
840,7407,2998003
840,7640,2994449
840,7642,2997296
840,7811,2995946
840,7628,2997163
840,7336,2998697
840,7270,2994928
840,7421,2989653
860,7675,2998003
860,7641,3063512
860,7777,3061892
860,7669,3064894
860,7784,3070712
860,7881,3065742
860,7844,3070311
860,7530,3056433
860,7282,2995443
860,7701,3005363
860,7673,2998662
860,7863,2996789
860,7820,2996456
860,7558,2993019
860,7549,2994053
860,7557,3001801
860,7577,3021780
860,7386,2995888
860,7912,2992896
860,7501,2993383
880,7823,2997560
880,7560,2995607
880,7736,2996278
880,7726,2994041
880,7439,3023631
880,7063,2998519
880,7590,3029524
880,7503,3004542
880,7479,3001784
880,7517,3000248
880,7667,2996331
880,7512,3002072
880,7352,2995990
880,7741,3025672
880,7417,2997599
880,7749,2993113
880,7499,2998543
880,7511,2999916
880,7755,3003277
880,7442,2992842
900,7637,2993781
900,7847,2988415
900,7357,2994321
900,7998,3031404
900,7782,2998581
900,7708,3000253
900,7894,3002814
900,7701,2998552
900,7478,2996883
900,7696,3029159
900,7802,3007500
900,7555,3032790
900,7440,3004397
900,7886,3030455
900,7430,3010691
900,8246,3031559
900,7622,3000550
900,8243,3002972
900,8166,2995717
900,7873,2996929
920,7505,2999556
920,7562,3000476
920,7567,3003774
920,7616,3008547
920,7817,2999215
920,7558,2997240
920,7407,2998019
920,7759,2996675
920,7506,2992579
920,7382,2998029
920,7918,2999668
920,7573,2998519
920,7706,2994089
920,7385,2997996
920,7518,2992334
920,7430,2994515
920,7924,2998342
920,7293,2991802
920,7838,2992098
920,7544,2998188
940,7769,2998900
940,7805,2998591
940,7529,2999502
940,7663,3002740
940,7707,2999882
940,8019,2997176
940,7638,3001355
940,7480,2993501
940,7615,2994431
940,7437,2994841
940,7681,2991822
940,7928,3002975
940,7458,2999014
940,7683,2999311
940,7841,2995781
940,7710,2994748
940,7496,2995681
940,7919,3024742
940,7493,3029762
940,7641,2999020
960,7554,3006120
960,11139,2999458
960,8107,2995810
960,7346,2995053
960,7740,2989807
960,7968,3000868
960,7420,3000121
960,12440,2997346
960,7712,2998145
960,7749,2997440
960,7992,3004685
960,7417,2998132
960,7441,2998599
960,7458,2993452
960,7593,2994730
960,7608,2991299
960,7762,2993550
960,7537,2991223
960,7634,2999111
960,7586,2997475
980,7596,2993905
980,7467,3026930
980,7413,2999144
980,7622,2997596
980,7418,2999063
980,7536,3004307
980,7547,2997293
980,7721,2996642
980,7408,2999136
980,7662,2998465
980,7511,3004976
980,7699,2999249
980,7627,3001436
980,7658,2996297
980,7519,2999539
980,7876,3002770
980,7522,2999839
980,7401,2996809
980,7634,2999458
980,7550,2988666
1000,7921,2997646
1000,7805,2995495
1000,7590,3001043
1000,7627,2997889
1000,7482,3030465
1000,7687,3000756
1000,7639,3002902
1000,7687,3003896
1000,7689,2999521
1000,7953,3021900
1000,7590,2986075
1000,7913,2989133
1000,7512,2989853
1000,8072,2997865
1000,7935,3005995
1000,7830,3003701
1000,7667,2996494
1000,7513,2997792
1000,7804,2997486
1000,7396,2995329

Median Slopes Analysis
========

Model:
Time ~=    7.217
    + d        0
              µs

Min Squares Analysis
========

Data points distribution:
    d   mean µs  sigma µs       %
    0     7.421     0.104    1.4%
   20     7.166     0.058    0.8%
   40     7.128     0.092    1.2%
   60      7.09     0.058    0.8%
   80     7.155      0.06    0.8%
  100     7.266     0.105    1.4%
  120     7.269     0.096    1.3%
  140     7.248     0.101    1.3%
  160     7.348     0.081    1.1%
  180     7.206      0.06    0.8%
  200     7.241     0.079    1.0%
  220      7.29     0.116    1.5%
  240     7.175     0.057    0.7%
  260     7.409     0.104    1.4%
  280     7.385     0.054    0.7%
  300     7.346     0.076    1.0%
  320     7.355     0.056    0.7%
  340      7.27     0.047    0.6%
  360     7.409     0.081    1.0%
  380     7.488     0.117    1.5%
  400     7.571      0.06    0.7%
  420     7.592     0.096    1.2%
  440     7.543     0.056    0.7%
  460      7.56     0.029    0.3%
  480     7.485     0.082    1.0%
  500     7.625     0.138    1.8%
  520     7.679     0.084    1.0%
  540     7.676     0.092    1.1%
  560     7.547     0.045    0.5%
  580     7.522     0.076    1.0%
  600     7.474     0.069    0.9%
  620     7.614     0.064    0.8%
  640     7.658      0.09    1.1%
  660     7.629     0.107    1.4%
  680     7.594     0.041    0.5%
  700     7.754     0.073    0.9%
  720     7.675     0.057    0.7%
  740     7.644      0.08    1.0%
  760      7.77     0.075    0.9%
  780     7.655     0.083    1.0%
  800     7.607     0.086    1.1%
  820     7.573     0.056    0.7%
  840     7.702     0.083    1.0%
  860     7.661     0.077    1.0%
  880     7.556     0.077    1.0%
  900     7.755      0.09    1.1%
  920     7.565     0.056    0.7%
  940     7.663     0.061    0.7%
  960     7.647      0.08    1.0%
  980     7.566     0.045    0.5%
 1000     7.702     0.078    1.0%

Quality and confidence:
param     error
d             0

Model:
Time ~=    7.218
    + d    0.001
              µs

