Pallet: "elections", Extrinsic: "renounce_candidacy_member_runner_up", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,m,extrinsic_time,storage_root_time
40,20,45996,50762
40,20,46100,52044
40,20,45637,51752
40,20,46884,51481
40,20,46941,51414
40,20,45674,52219
40,20,45811,52037
40,20,46574,51172
40,20,45814,51662
40,20,46693,51281
41,20,46243,51231
41,20,46485,52046
41,20,46605,51612
41,20,46574,51290
41,20,45857,51322
41,20,46310,51484
41,20,46913,51261
41,20,46307,51291
41,20,46233,51164
41,20,46688,51026
41,20,45659,51826
41,20,46259,51244
41,20,46007,51379
41,20,46601,51030
41,20,46872,51685
41,20,46078,51897
41,20,45974,51727
41,20,45943,51741
41,20,45954,52433
41,20,46194,51158
42,20,46071,51256
42,20,45032,52150
42,20,46027,52218
42,20,45550,51513
42,20,46446,51411
42,20,45884,51043
42,20,46371,51722
42,20,45901,51793
42,20,46514,51640
42,20,49579,51701
42,20,46386,51363
42,20,46086,51369
42,20,46577,51154
42,20,46331,51096
42,20,45827,51264
42,20,45497,52528
42,20,46200,51671
42,20,46401,50997
42,20,46659,51179
42,20,46317,51463
43,20,47201,50075
43,20,47319,50232
43,20,48572,45873
43,20,46278,51467
43,20,47085,49371
43,20,46567,51329
43,20,45194,52136
43,20,44922,51787
43,20,46199,51562
43,20,46927,49783
43,20,46237,51339
43,20,47745,49868
43,20,47515,49270
43,20,46428,51056
43,20,45615,51682
43,20,47132,49512
43,20,47016,49013
43,20,47115,49991
43,20,47444,50109
43,20,47720,49881
44,20,47580,46201
44,20,46195,51305
44,20,46429,51451
44,20,45128,52861
44,20,45592,51946
44,20,46248,51588
44,20,46301,50920
44,20,46156,51082
44,20,45596,51248
44,20,45731,51181
44,20,46195,51429
44,20,46521,50119
44,20,45413,52519
44,20,47348,50264
44,20,45965,51915
44,20,45792,52521
44,20,45393,52560
44,20,45130,52217
44,20,48345,45277
44,20,46455,51665
45,20,48809,46204
45,20,46781,50951
45,20,47644,49645
45,20,47831,49553
45,20,47296,49909
45,20,46592,51888
45,20,47579,49062
45,20,46680,51617
45,20,47858,49730
45,20,46582,51709
45,20,47313,49723
45,20,45801,52190
45,20,49979,52035
45,20,48253,49586
45,20,48024,50176
45,20,47557,50077
45,20,50753,50134
45,20,46480,51194
45,20,46492,51329
45,20,48959,45551
46,20,46449,51953
46,20,46749,51707
46,20,46692,51020
46,20,48524,45669
46,20,46617,51077
46,20,49263,45691
46,20,46812,51718
46,20,46942,51268
46,20,47131,50854
46,20,46462,51129
46,20,46502,51650
46,20,47803,49535
46,20,47894,49443
46,20,46945,51411
46,20,49597,52842
46,20,46860,51760
46,20,46474,51834
46,20,46052,51403
46,20,46677,50943
46,20,47485,50003
47,20,46893,52087
47,20,46923,49909
47,20,47008,49835
47,20,47194,49238
47,20,47516,49897
47,20,45330,51669
47,20,47839,49690
47,20,46059,51733
47,20,48579,45839
47,20,45019,48789
47,20,46617,51476
47,20,47300,50254
47,20,47386,50013
47,20,45349,52295
47,20,47197,49666
47,20,45652,51438
47,20,47375,49793
47,20,46335,51536
47,20,45157,50803
47,20,46136,51458
48,20,46288,51314
48,20,45933,51712
48,20,45501,55654
48,20,45844,52565
48,20,45972,51670
48,20,45414,51440
48,20,45880,52102
48,20,47348,49137
48,20,47812,50246
48,20,47345,50284
48,20,47552,49605
48,20,48075,50101
48,20,47466,49889
48,20,45817,52235
48,20,45494,52254
48,20,46159,51439
48,20,46019,52761
48,20,46684,52137
48,20,47974,50199
48,20,47475,49488
49,20,47646,49569
49,20,47196,49924
49,20,47560,50046
49,20,47277,49837
49,20,47190,49924
49,20,47484,50113
49,20,47122,50328
49,20,47738,49905
49,20,47341,49861
49,20,47524,50186
49,20,47804,50324
49,20,47421,49430
49,20,48283,45512
49,20,48115,45960
49,20,47708,50527
49,20,47574,50681
49,20,48173,50060
49,20,47654,49610
49,20,47291,50452
49,20,47728,50017
50,20,47896,50058
50,20,47952,50219
50,20,46133,52155
50,20,45752,52680
50,20,45842,52942
50,20,46070,52012
50,20,45998,52538
50,20,46205,51515
50,20,46427,52186
50,20,46405,51685
50,20,46985,51945
50,20,46237,51519
50,20,46864,52018
50,20,46548,51905
50,20,46599,52019
50,20,46346,52296
50,20,46152,52656
50,20,46336,51921
50,20,47003,52115
50,20,46598,51960
51,20,49368,45882
51,20,48445,45373
51,20,45528,52845
51,20,45897,52266
51,20,45930,52392
51,20,46245,52726
51,20,47339,50273
51,20,46258,51251
51,20,46737,51929
51,20,46404,52222
51,20,46095,52685
51,20,45411,52145
51,20,45193,52929
51,20,47901,50236
51,20,47976,49706
51,20,47374,50212
51,20,46476,51777
51,20,46443,52048
51,20,46600,52063
51,20,46859,52299
52,20,48290,50290
52,20,47553,49987
52,20,46560,52460
52,20,46413,52890
52,20,45863,53129
52,20,45546,53162
52,20,46441,52376
52,20,45909,52595
52,20,46455,52514
52,20,45903,52649
52,20,45841,53504
52,20,45423,55261
52,20,45990,53012
52,20,48981,45912
52,20,48501,46053
52,20,47266,49975
52,20,48122,50205
52,20,46258,52198
52,20,46351,51542
52,20,45436,52714
53,20,45684,52709
53,20,46243,52424
53,20,46633,52002
53,20,45633,52151
53,20,46651,51930
53,20,48522,45955
53,20,49230,45562
53,20,47269,52192
53,20,49441,45454
53,20,48777,45483
53,20,47756,50274
53,20,47342,50087
53,20,45974,52286
53,20,45948,49242
53,20,46566,52159
53,20,47442,50140
53,20,46824,51588
53,20,47057,52128
53,20,47493,50000
53,20,45972,53120
54,20,45721,53288
54,20,45181,52007
54,20,48127,50145
54,20,45726,53567
54,20,45349,52642
54,20,47337,50444
54,20,45255,52229
54,20,47964,49821
54,20,47814,50181
54,20,47610,50292
54,20,47752,50347
54,20,45685,53371
54,20,45887,51633
54,20,45859,53222
54,20,45321,53161
54,20,46145,52717
54,20,45613,52564
54,20,45868,52947
54,20,47787,49607
54,20,45956,53059
55,20,46716,52605
55,20,46836,51780
55,20,47281,51891
55,20,46325,53521
55,20,47907,50758
55,20,45381,53095
55,20,46739,52058
55,20,46444,51518
55,20,45780,53156
55,20,46287,51904
55,20,46114,53005
55,20,46564,52084
55,20,46156,52729
55,20,46776,52164
55,20,47712,50274
55,20,45684,53343
55,20,45930,52690
55,20,48838,53069
55,20,46674,52258
55,20,47036,52502
56,20,46323,51613
56,20,46726,52496
56,20,46748,52290
56,20,46246,52131
56,20,47001,52242
56,20,46046,51850
56,20,46513,52229
56,20,45915,53172
56,20,45385,52647
56,20,46336,52260
56,20,45741,53287
56,20,45508,53017
56,20,46438,52011
56,20,45973,52391
56,20,46816,52043
56,20,45900,53320
56,20,45462,51970
56,20,45496,52889
56,20,45335,52504
56,20,45936,52776
57,20,45893,52882
57,20,48269,45793
57,20,46220,52576
57,20,46270,52031
57,20,46117,53547
57,20,45859,51985
57,20,45519,53168
57,20,48114,46085
57,20,46245,52008
57,20,45522,53460
57,20,46684,52117
57,20,45541,52764
57,20,45954,52883
57,20,45855,52439
57,20,46473,52429
57,20,46594,52692
57,20,45902,53110
57,20,46620,52051
57,20,46405,52033
57,20,46573,52533
58,20,46817,52237
58,20,45983,52239
