Pallet: "claims", Extrinsic: "keccak256", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
4200,2987393,2406
4200,2992640,2445
4200,2988307,2488
4200,2989516,2423
4200,2990497,2534
4200,2992919,2413
4400,3126494,2487
4400,3131597,2459
4400,3122263,2341
4400,3132300,2435
4400,3129052,2459
4400,3126496,2503
4400,3134711,2548
4400,3130150,2283
4400,3134316,2586
4400,3129029,2582
4400,3125424,2480
4400,3131038,2340
4400,3131235,2435
4400,3131113,2449
4400,3124862,2546
4400,3135030,2422
4400,3139821,3110
4400,3131980,2444
4400,3134732,2479
4400,3130477,2484
4600,3271241,2474
4600,3259798,2378
4600,3277181,2506
4600,3269220,2435
4600,3268604,2484
4600,3266558,2483
4600,3285551,2541
4600,3274375,2317
4600,3271723,2509
4600,3273056,2442
4600,3270483,2479
4600,3273655,2475
4600,3268937,2418
4600,3273702,2384
4600,3276394,2546
4600,3280295,2470
4600,3277566,2463
4600,3262984,2457
4600,3273993,2400
4600,3273300,2472
4800,3415290,2482
4800,3416564,2437
4800,3411845,2473
4800,3437669,2522
4800,3412390,2464
4800,3411579,2397
4800,3421344,3064
4800,3420504,2610
4800,3418006,2514
4800,3415556,2478
4800,3410808,2461
4800,3411786,2460
4800,3412325,2357
4800,3414601,2400
4800,3432312,2455
4800,3414019,2410
4800,3414609,2443
4800,3409324,2509
4800,3413265,2510
4800,3419024,2412
5000,3559135,2504
5000,3558539,2417
5000,3560986,2473
5000,3553258,2509
5000,3557886,2508
5000,3555352,2401
5000,3549263,2414
5000,3557954,2413
5000,3550645,2484
5000,3552485,2381
5000,3554926,2473
5000,3557654,2425
5000,3557290,2420
5000,3556178,2581
5000,3551553,2566
5000,3554275,2524
5000,3557050,2428
5000,3556414,2451
5000,3553032,2498
5000,3552659,2352
5200,3696450,2440
5200,3701128,2428
5200,3703653,2544
5200,3702739,2515
5200,3699449,2446
5200,3699129,2407
5200,3695423,2539
5200,3698060,2472
5200,3697249,2502
5200,3690215,2431
5200,3697774,2580
5200,3693376,2400
5200,3696467,2472
5200,3695426,2390
5200,3701341,2472
5200,3696895,2434
5200,3698666,2433
5200,3696969,2419
5200,3705793,2489
5200,3702890,2474
5400,3832107,2436
5400,3842911,2487
5400,3840045,2801
5400,3861042,2572
5400,3835350,2575
5400,3832706,2500
5400,3838574,2514
5400,3844032,2617
5400,3838368,2473
5400,3836367,2469
5400,3839418,2495
5400,3844003,2576
5400,3843982,2572
5400,3837769,2485
5400,3843665,2522
5400,3836575,2301
5400,3858417,2471
5400,3845171,2468
5400,3837179,2388
5400,3844994,2484
5600,3975488,2536
5600,3971909,2569
5600,3986058,2539
5600,3987575,2504
5600,3988155,2435
5600,3988753,2448
5600,3980788,2464
5600,3985423,2438
5600,3986459,2490
5600,3979508,2431
5600,3982248,2465
5600,3986940,2502
5600,3987661,2484
5600,3983933,2436
5600,3988343,2392
5600,3986486,2468
5600,3986048,2434
5600,3987061,2382
5600,3981620,2468
5600,3979451,2412
5800,4130269,2338
5800,4130033,2389
5800,4112420,2498
5800,4123655,2444
5800,4114796,2473
5800,4126817,2495
5800,4126243,2491
5800,4121146,2521
5800,4121570,2494
5800,4124358,2434
5800,4121926,2443
5800,4120127,2544
5800,4120809,2471
5800,4124989,2817
5800,4147722,2466
5800,4128164,2336
5800,4122241,2477
5800,4125879,2452
5800,4124864,2424
5800,4122706,2507
6000,4264764,2443
6000,4266266,2380
6000,4259620,2445
6000,4270744,2363
6000,4266292,2415
6000,4264042,2432
6000,4286626,2523
6000,4261908,2433
6000,4267082,2416
6000,4258256,2426
6000,4256506,2428
6000,4261024,2482
6000,4257538,2446
6000,4257762,2514
6000,4269161,2482
6000,4261281,2497
6000,4270267,2516
6000,4273607,2506
6000,4271784,2508
6000,4264624,2561
6200,4409608,2470
6200,4408584,2549
6200,4405549,2447
6200,4404990,2445
6200,4407161,2429
6200,4404527,2475
6200,4400299,2540
6200,4412971,2448
6200,4406158,2454
6200,4403460,2447
6200,4408657,2483
6200,4403240,2409
6200,4403955,2538
6200,4398464,2417
6200,4398098,2397
6200,4410878,2421
6200,4407903,2541
6200,4395966,2470
6200,4409276,2552
6200,4407637,2650
6400,4553708,3011
6400,4571762,2546
6400,4553387,2472
6400,4544863,2511
6400,4552403,2493
6400,4550991,2488
6400,4561407,2945
6400,4544309,2499
6400,4547108,2486
6400,4578526,2496
6400,4557185,2471
6400,4557316,2542
6400,4547322,2570
6400,4544672,2479
6400,4547622,2439
6400,4543736,2423
6400,4552155,2480
6400,4557208,2460
6400,4541690,2467
6400,4544747,2461
6600,4689690,2510
6600,4679913,2492
6600,4691076,2479
6600,4689676,2445
6600,4699047,2478
6600,4689909,2454
6600,4681753,2591
6600,4725968,2474
6600,4720388,2566
6600,4699745,2479
6600,4692232,2607
6600,4691539,2413
6600,4681210,2511
6600,4688394,2399
6600,4702914,2500
6600,4693261,2542
6600,4693643,2426
6600,4681883,2403
6600,4681202,2501
6600,4692396,2462
6800,4843038,2533
6800,4832486,2382
6800,4833619,2472
6800,4822916,2437
6800,4827978,2735
6800,4864388,2547
6800,4828607,2402
6800,4833004,2407
6800,4821302,2457
6800,4821277,2459
6800,4835890,2476
6800,4835262,2520
6800,4830904,2533
6800,4833746,2420
6800,4839717,2431
6800,4821303,2497
6800,4831799,2510
6800,4827410,2469
6800,4843378,2462
6800,4820251,2436
7000,4975793,2892
7000,4996493,2607
7000,4976830,2525
7000,4980044,2461
7000,4969118,2480
7000,4971869,2481
7000,4974419,2575
7000,4971195,2493
7000,4966934,2539
7000,4968729,2537
7000,4971490,2514
7000,4966187,2548
7000,4965072,2470
7000,5008494,2489
7000,5001992,2466
7000,4983948,2467
7000,4974328,2500
7000,4971975,2380
7000,4976611,2461
7000,5034035,2688
7200,5119237,2547
7200,5110668,2509
7200,5114855,2451
7200,5119080,2539
7200,5112637,2459
7200,5113333,2775
7200,5154720,2601
7200,5116203,2557
7200,5126628,2480
7200,5117695,2525
7200,5114633,2536
7200,5114308,2409
7200,5120121,2505
7200,5118399,2455
7200,5117511,2477
7200,5114535,2492
7200,5120042,2537
7200,5113254,2430
7200,5109825,2544
7200,5116461,2514
7400,5263343,2485
7400,5254026,2504
7400,5249983,2547
7400,5269217,2527
7400,5257534,2434
7400,5247622,2402
7400,5266359,2496
7400,5256452,2524
7400,5253182,2552
7400,5271023,2443
7400,5257514,2595
7400,5256772,2410
7400,5251945,2471
7400,5260172,2523
7400,5256593,2464
7400,5262380,2490
7400,5257327,2523
7400,5253114,2393
7400,5255352,2419
7400,5257129,2508
7600,5397782,2458
7600,5405980,2438
7600,5401975,2439
7600,5394438,2456
7600,5443215,2982
7600,5401496,2506
7600,5392882,2407
7600,5405408,2469
7600,5430294,2613
7600,5407961,2565
7600,5406263,2512
7600,5423879,2467
7600,5386879,2478
7600,5393879,3238
7600,5398882,2469
7600,5406006,2461
7600,5400470,2396
7600,5390888,2369
7600,5402890,2455
7600,5396015,2429
7800,5567275,2481
7800,5570146,2465
7800,5540436,2462
7800,5545284,2427
7800,5542959,2415
7800,5530859,2583
7800,5548290,2484
7800,5537113,2420
7800,5532525,2517
7800,5544099,2421
7800,5536760,2495
7800,5537826,2428
7800,5540919,2482
7800,5532694,2445
7800,5544511,2421
7800,5538014,2400
7800,5604403,2504
7800,5543120,2475
7800,5548752,2529
7800,5533551,2426
8000,5678429,2468
8000,5700322,2861
8000,5674612,2628
8000,5702734,2502
8000,5684909,2482
8000,5676341,2453
8000,5692082,2556
8000,5706973,2502
8000,5691054,2463
8000,5686251,2399
8000,5690165,2522
8000,5686100,2463
8000,5679699,2399
8000,5686198,2465
8000,5680541,2436
8000,5743267,2506
8000,5676645,2479
8000,5680546,2460
8000,5687040,2559
8000,5677949,2429
8200,5888708,2569
8200,5818647,2502
8200,5832183,2423
8200,5824182,2395
8200,5826875,2423
8200,5820124,2365
8200,5828612,2423
8200,5818493,2400
8200,5814047,2458
8200,5822820,2359
8200,5814080,2391
8200,5817882,2424
8200,5819450,2553
8200,5822289,2423
8200,5817081,2439
8200,5832266,2502
8200,5845693,2879
8200,5826881,2425
8200,5823408,2449
8200,5817183,2452
8400,5958450,2548
8400,5974823,2838
8400,5967477,2611
8400,5963247,2524
8400,5967318,2493
8400,5972918,2497
8400,5965163,2424
8400,6002412,2512
8400,5965962,2452
8400,5956036,2470
8400,5969862,2446
8400,5975652,2502
8400,6022787,2873
8400,6004588,2525
8400,5959991,2446
8400,5959687,2480
8400,5958236,2564
8400,5973199,2619
8400,5962539,2468
8400,5990066,2535
8600,6103727,2421
8600,6107789,2609
8600,6105886,2468
8600,6115776,2534
8600,6103650,2490
8600,6114040,2520
8600,6101307,2488
8600,6116012,2478
8600,6099545,2485
8600,6110981,2355
8600,6105125,2859
8600,6121488,2529
8600,6115452,2511
8600,6099764,2429
8600,6111236,2486
8600,6109187,2467
8600,6115502,2473
8600,6100010,2396
8600,6108250,2491
8600,6103755,2486
8800,6244569,2550
8800,6237663,2451
8800,6250297,2559
8800,6245879,2471
8800,6252178,2503
8800,6251802,2424
8800,6244885,2438
8800,6259957,2406
8800,6234142,2491
8800,6235581,2462
8800,6243847,2466
8800,6247675,2399
8800,6256962,2489
8800,6243559,2463
8800,6238447,2652
8800,6273789,2480
8800,6253615,2483
8800,6241240,2467
8800,6243009,2502
8800,6253924,2523
9000,6387694,2444
9000,6415458,2553
9000,6407303,3707
9000,6390278,2474
9000,6393806,2561
9000,6384955,2509
9000,6422394,2553
9000,6383338,2463
9000,6388924,2543
9000,6395864,2493
9000,6388117,2445
9000,6394525,2531
9000,6391875,2553
9000,6386824,2487
9000,6383248,2499
9000,6388366,2529
9000,6393773,2540
9000,6403237,2485
9000,6388645,2474
9000,6393109,2489
9200,6531894,2529
9200,6518957,2415
9200,6541853,2523
9200,6529966,2441
9200,6531353,2470
9200,6543303,2442
9200,6521484,2492
9200,6538902,2455
9200,6522928,2470
9200,6531233,2429
9200,6540744,2593
9200,6527412,2463
9200,6531603,2454
9200,6550824,2493
9200,6535983,2857
9200,6537845,2440
9200,6543247,2435
9200,6527373,2440
9200,6521802,2538
9200,6551681,2461
9400,6668529,2487
9400,6685612,2379
9400,6675395,2503
9400,6662364,2457
9400,6685120,2466
9400,6683766,2458
9400,6669377,2504
9400,6680501,2513
9400,6662712,2393
9400,6670090,2392
9400,6681119,2536
9400,6676970,2472
9400,6672420,2526
9400,6675826,2420
9400,6674821,2516
9400,6671784,2493
9400,6677241,2466
9400,6679433,2439
9400,6670814,2555
9400,6679063,2440
9600,6819198,2460
9600,6811748,2420
9600,6809715,2418
9600,6823471,2449
9600,6816212,2971
9600,6839140,2533
9600,6820500,2470
9600,6851045,2458
9600,6810959,2508
9600,6801397,2385
9600,6821357,2456
9600,6803694,2405
9600,6816910,2444
9600,6815266,2453
9600,6802700,2495
9600,6805490,2443
9600,6817703,2574
