Pallet: "staking", Extrinsic: "do_slash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
571,100196,69874
571,100360,70430
571,100391,69914
571,103211,70810
571,99997,70320
571,100686,70297
571,100388,71048
571,100157,70017
590,101727,70275
590,101884,69730
590,101543,70708
590,101552,70545
590,101728,71152
590,101596,70484
590,101335,70085
590,101615,70006
590,101836,70580
590,101740,70541
590,104988,71163
590,101637,70116
590,102122,70142
590,101824,70537
590,101847,70511
590,101956,70835
590,101966,70251
590,101365,70566
590,102359,70410
590,101144,70374
609,102738,70194
609,103027,70624
609,103377,71095
609,102678,70531
609,102114,70332
609,105868,70550
609,102727,70927
609,103668,71337
609,102669,70431
609,103024,70709
609,102810,70561
609,102703,70581
609,102539,70465
609,103280,70820
609,103155,70911
609,102676,70479
609,103145,70321
609,102214,70366
609,102918,70837
609,102680,70821
628,110994,71273
628,104703,70720
628,104016,70464
628,103946,70910
628,104303,70822
628,104603,70552
628,104893,71375
628,104567,70619
628,104215,70873
628,104149,70733
628,104373,71334
628,104453,71299
628,104366,70492
628,104143,70341
628,104406,70541
628,117153,70704
628,103616,71011
628,104545,71080
628,104770,71149
628,104049,70718
647,104769,70436
647,105199,70220
647,104994,70313
647,105272,71215
647,105810,70473
647,105503,70021
647,104602,69852
647,105133,70523
647,104799,70831
647,104633,70460
647,106032,71371
647,104902,70515
647,105584,70542
647,105040,70579
647,104673,70956
647,105542,71269
647,104928,70658
647,104660,73443
647,105146,70874
647,105311,70296
666,106651,70443
666,106451,70555
666,107232,71264
666,106090,70066
666,106452,70820
666,106771,70538
666,106651,70908
666,106761,70943
666,106752,70469
666,107144,70220
666,106772,70474
666,106349,70553
666,109618,70656
666,106480,70792
666,107138,71945
666,106440,70756
666,106168,71210
666,105720,70782
666,106123,71112
666,106413,71766
685,108710,70621
685,108947,70473
685,108027,70600
685,108119,70963
685,108442,71151
685,108561,70795
685,109051,71094
685,109117,71027
685,108116,71211
685,108080,70905
685,108732,70641
685,108880,71203
685,108474,70717
685,108350,70925
685,112519,70848
685,108837,71091
685,108863,70730
685,107703,70980
685,108322,70900
685,108604,71366
704,108965,70824
704,108962,70565
704,109473,71483
704,108991,71396
704,108787,70738
704,109262,71205
704,108224,70732
704,108729,71348
704,108963,71378
704,109425,71064
704,109329,71542
704,109041,70399
704,109378,70817
704,110053,70810
704,109569,70819
704,109362,71067
704,112324,71478
704,109383,70719
704,108955,70851
704,109162,71008
723,110466,70752
723,110421,70724
723,110397,71536
723,110099,73290
723,110239,71065
723,109668,70586
723,110022,70725
723,110734,70805
723,110047,70693
723,110170,70774
723,110244,70334
723,110532,70928
723,110028,71121
723,110064,70452
723,110259,70297
723,110191,70531
723,110249,70485
723,109430,70698
723,113997,71289
723,110296,71460
742,112096,71662
742,111875,71067
742,111241,71231
742,111946,71097
742,111738,71475
742,111332,74517
742,110724,71246
742,112036,71040
742,111602,71418
742,111217,70879
742,111381,71029
742,111896,71150
742,111762,70685
742,112110,71098
742,111431,70773
742,111605,70787
742,111789,71275
742,111908,71104
742,111839,70865
742,111486,70833
761,114422,71696
761,112013,70050
761,113466,70864
761,112903,71871
761,112089,70992
761,112402,70940
761,112837,70883
761,116050,71623
761,113258,71360
761,112355,70908
761,112758,71324
761,112881,70732
761,113295,70861
761,113168,70926
761,112714,70773
761,113224,71542
761,112771,71168
761,112723,70921
761,112217,71221
761,112824,70979
780,114098,71826
780,113445,70334
780,114431,70777
780,113924,70345
780,114165,70864
780,114021,71225
780,113743,71184
780,114209,71342
780,114361,70915
780,115066,71245
780,113868,70428
780,114292,71037
780,113601,72013
780,114289,70538
780,113869,70809
780,113780,70125
780,117023,70535
780,113939,71026
780,114093,71104
780,114174,70815
799,115709,71099
799,115748,71084
799,114769,71324
799,116093,74016
799,115665,71137
799,115598,70669
799,114769,70599
799,115422,71376
799,115343,71241
799,115243,71583
799,115660,70952
799,115385,71968
799,115021,71452
799,115111,71263
799,115249,71309
799,114871,71241
799,116051,71535
799,115362,70636
799,116654,71238
799,115522,71061
