Pallet: "treasury", Extrinsic: "tip_new", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,t,extrinsic_time,storage_root_time
7848,100,70233,58265
7848,100,70033,57187
7848,100,68757,58822
7848,100,70387,58328
7848,100,69746,57108
7848,100,69236,58271
7848,100,69499,58120
7848,100,68630,57364
7848,100,68996,58097
7848,100,69630,57089
7848,100,68118,57590
7848,100,70200,58830
7848,100,69794,56904
7848,100,69046,60678
7848,100,71337,59036
7848,100,69886,57239
7848,100,69357,58094
7848,100,70476,58476
8175,100,69710,59339
8175,100,70216,56128
8175,100,70124,56074
8175,100,69297,55066
8175,100,70702,56817
8175,100,70206,55597
8175,100,70047,56302
8175,100,70388,56863
8175,100,70590,55648
8175,100,69259,56125
8175,100,70107,56304
8175,100,68703,57320
8175,100,69823,56303
8175,100,69879,55839
8175,100,68141,55594
8175,100,70097,57096
8175,100,69103,55503
8175,100,69857,56079
8175,100,70219,56677
8175,100,69898,55726
8502,100,73508,59536
8502,100,71920,56021
8502,100,70249,55224
8502,100,70705,57429
8502,100,70523,55070
8502,100,69727,56066
8502,100,71492,57564
8502,100,70093,55103
8502,100,70957,56208
8502,100,70801,57068
8502,100,71210,56445
8502,100,71176,57325
8502,100,71622,56016
8502,100,70232,55194
8502,100,71684,56525
8502,100,71088,54904
8502,100,70206,56611
8502,100,71910,56449
8502,100,70688,55077
8502,100,70808,56964
8829,100,74313,59442
8829,100,71723,57167
8829,100,71983,59627
8829,100,72796,59204
8829,100,70492,58130
8829,100,73557,59792
8829,100,72153,57754
8829,100,71009,59070
8829,100,72825,59394
8829,100,71564,57987
8829,100,71939,59000
8829,100,72510,59697
8829,100,72298,57453
8829,100,71370,59112
8829,100,72472,59264
8829,100,71168,57439
8829,100,71941,59456
8829,100,71946,58582
8829,100,70680,58255
8829,100,72839,59236
9156,100,72941,59069
9156,100,71661,59063
9156,100,72838,59312
9156,100,72070,58219
9156,100,71780,60438
9156,100,73172,59549
9156,100,71396,57620
9156,100,72279,59664
9156,100,72549,58841
9156,100,71238,57712
9156,100,73371,59370
9156,100,72417,58248
9156,100,70896,58865
9156,100,73180,59722
9156,100,72158,57965
9156,100,72404,59571
9156,100,72891,59348
9156,100,71435,58035
9156,100,71401,59311
9156,100,72753,59177
9483,100,72750,56161
9483,100,72757,57366
9483,100,73306,56545
9483,100,71991,56809
9483,100,73823,57413
9483,100,73464,56194
9483,100,73245,57412
9483,100,73103,57197
9483,100,72284,55642
9483,100,72601,57498
9483,100,73607,57047
9483,100,72616,56126
9483,100,72817,57284
9483,100,72930,56151
9483,100,71986,57028
9483,100,73872,57118
9483,100,72899,56283
9483,100,73818,60045
9483,100,73888,57165
9483,100,72348,56405
9810,100,74658,60978
9810,100,73984,59916
9810,100,73131,58927
9810,100,74808,60067
9810,100,74373,59177
9810,100,73394,59729
9810,100,74398,59880
9810,100,72975,58416
9810,100,73194,59921
9810,100,74455,59970
9810,100,73692,59061
9810,100,73351,60306
9810,100,74161,59789
9810,100,73261,58992
9810,100,76055,61068
9810,100,73520,59279
9810,100,72239,59295
9810,100,74260,60251
9810,100,73432,58762
9810,100,73029,60139
10137,100,77611,58894
10137,100,73856,57158
10137,100,73253,59279
10137,100,74069,58803
10137,100,73049,57095
10137,100,74108,58956
10137,100,73898,57461
10137,100,73096,56827
10137,100,75088,58929
10137,100,73456,57391
10137,100,73486,58622
10137,100,74803,58139
10137,100,73464,57542
10137,100,73416,59001
10137,100,74004,57982
10137,100,72236,57135
10137,100,73875,58359
10137,100,73956,57428
10137,100,73458,57203
10137,100,74514,58831
10464,100,75300,60379
10464,100,74291,60885
10464,100,75285,60721
10464,100,74821,59572
10464,100,76752,61970
10464,100,76274,60631
10464,100,73644,58806
10464,100,74605,60954
10464,100,75502,60259
10464,100,73762,59135
10464,100,76005,60866
10464,100,77212,60114
10464,100,74385,59884
10464,100,76034,60385
10464,100,74534,59150
10464,100,74553,61207
10464,100,75892,60763
10464,100,73684,59859
10464,100,74395,60326
10464,100,75672,60265
10791,100,75221,61206
10791,100,75952,62072
10791,100,75275,60290
10791,100,73910,4092949
10791,100,85149,64954
10791,100,75675,60428
10791,100,75615,61650
10791,100,76171,61624
10791,100,74777,60832
10791,100,75007,62486
10791,100,75958,61500
10791,100,79659,60586
10791,100,76365,61632
10791,100,75959,61262
10791,100,74185,60641
10791,100,76135,61900
10791,100,75043,60812
10791,100,73736,61146
10791,100,76035,61225
10791,100,75484,60776
11118,100,76866,63499
11118,100,76448,61204
11118,100,75032,59908
11118,100,75461,61760
11118,100,77047,61107
11118,100,75122,59804
11118,100,76707,61753
11118,100,75936,60115
11118,100,75390,61130
11118,100,77102,61753
11118,100,75626,59850
11118,100,75212,61516
11118,100,76131,61220
11118,100,74902,60601
11118,100,76080,61668
11118,100,76890,61949
11118,100,74364,60197
11118,100,76334,61702
11118,100,75604,60599
11118,100,74549,61148
11445,100,78500,62927
11445,100,76202,60680
11445,100,77005,62140
11445,100,76528,62626
11445,100,75609,61223
11445,100,76728,62526
11445,100,77492,61811
11445,100,75126,60639
11445,100,79712,62792
11445,100,77082,61934
11445,100,75882,60988
11445,100,77387,62582
11445,100,76679,60908
11445,100,75732,61791
11445,100,77545,62460
11445,100,77318,61105
11445,100,75709,62891
11445,100,76749,62306
11445,100,75522,60817
11445,100,76409,62087
11772,100,77515,63747
11772,100,75525,61170
11772,100,77730,62874
11772,100,75537,60927
11772,100,76302,62457
11772,100,77233,62296
11772,100,76618,60930
11772,100,76779,62947
11772,100,77174,66462
11772,100,76292,61425
11772,100,77154,62451
11772,100,76932,61724
11772,100,75681,60886
11772,100,76922,62399
11772,100,76502,60612
11772,100,75817,61661
11772,100,77797,62532
11772,100,75868,60583
11772,100,77143,62331
11772,100,77639,62725
12099,100,76944,63473
12099,100,76600,62663
12099,100,78124,62621
12099,100,76621,60833
12099,100,77840,63383
12099,100,78632,61889
12099,100,76784,61637
12099,100,78169,62785
12099,100,77423,61259
12099,100,77446,62595
12099,100,78553,62269
12099,100,77970,61615
12099,100,77093,63095
12099,100,78116,63025
12099,100,75974,60645
12099,100,77711,62869
12099,100,78442,62297
12099,100,76432,61069
12099,100,78474,63149
12099,100,77822,62014
12426,100,79722,62586
12426,100,78810,61632
12426,100,79435,59940
12426,100,77146,61591
12426,100,78380,60808
12426,100,80597,59599
12426,100,77462,60495
12426,100,77564,60777
12426,100,76723,59348
12426,100,78191,61496
12426,100,78592,59926
12426,100,76773,59832
12426,100,78830,61542
12426,100,78953,60027
12426,100,77467,60743
12426,100,78533,60659
12426,100,77016,58866
12426,100,77464,60813
12426,100,77833,60481
12426,100,76905,59053
12753,100,80336,62099
12753,100,78853,60295
12753,100,77840,60494
12753,100,79927,60817
12753,100,79079,60272
12753,100,77734,64214
12753,100,79640,60822
12753,100,77705,59326
12753,100,78314,61495
12753,100,78631,60120
12753,100,76570,59174
12753,100,78830,60998
12753,100,79005,59591
12753,100,77921,59944
12753,100,78042,60882
12753,100,78172,59936
12753,100,77792,61399
12753,100,78894,60661
12753,100,77834,58783
12753,100,79137,61195
13080,100,80958,62030
13080,100,78543,60201
13080,100,79636,62088
13080,100,79378,60822
13080,100,78564,60823
13080,100,79995,64309
13080,100,79009,59636
13080,100,78897,61690
13080,100,80023,61359
13080,100,78530,59893
13080,100,80273,62071
13080,100,78898,60935
13080,100,78192,60247
13080,100,80012,61702
13080,100,78773,60664
13080,100,78103,61315
13080,100,80217,61790
13080,100,78277,59933
13080,100,79237,60861
13080,100,78926,61757
13407,100,79121,64595
13407,100,80773,64304
13407,100,80904,63356
13407,100,78874,62897
13407,100,79713,64230
13407,100,79774,63215
13407,100,79943,64052
13407,100,80429,64230
13407,100,78430,62436
13407,100,79656,64845
13407,100,79956,64078
13407,100,78618,62429
13407,100,80148,64840
13407,100,79984,64025
13407,100,78865,62515
13407,100,81202,64719
13407,100,79970,62783
13407,100,78897,63499
13407,100,80315,64563
13407,100,79316,63220
13734,100,81157,63181
13734,100,81318,62246
13734,100,79502,60698
13734,100,79925,61842
13734,100,81771,62031
13734,100,79536,63302
13734,100,81718,62637
13734,100,80800,60955
13734,100,79503,60908
13734,100,80941,62225
13734,100,81208,61131
13734,100,80072,61916
13734,100,81801,61803
13734,100,79148,60546
13734,100,80516,61553
13734,100,81213,61203
13734,100,79073,60488
13734,100,81450,62353
13734,100,80472,60896
13734,100,79645,61515
14061,100,83850,63008
14061,100,81009,61669
14061,100,80723,62509
14061,100,81554,61842
14061,100,79664,60347
14061,100,80548,66868
14061,100,81904,61836
14061,100,80151,61028
14061,100,81876,62543
14061,100,80521,61064
14061,100,80365,61639
14061,100,81780,62296
14061,100,80028,60171
14061,100,80251,62313
14061,100,81625,61762
14061,100,80533,60142
14061,100,81405,62581
14061,100,81079,61563
14061,100,79792,61123
14061,100,82424,62925
14388,100,83062,62555
14388,100,81212,62324
14388,100,83027,63315
14388,100,80890,62099
14388,100,81585,62782
14388,100,85433,63387
14388,100,81035,60673
14388,100,82700,63227
14388,100,82333,61878
14388,100,80794,61268
14388,100,83051,63089
14388,100,81632,61306
14388,100,81596,62045
14388,100,82407,62892
14388,100,80446,61034
14388,100,81821,62341
14388,100,82376,62644
14388,100,80568,61377
14388,100,82557,63223
14388,100,81074,62024
14715,100,82609,63855
14715,100,82967,63650
14715,100,82523,62340
14715,100,81998,62649
14715,100,82744,62999
14715,100,81544,61705
14715,100,82055,63279
14715,100,83733,63083
14715,100,84377,62516
14715,100,83355,63124
14715,100,82488,62195
14715,100,81041,62160
14715,100,83512,63427
14715,100,83205,62612
14715,100,82827,63109
14715,100,82967,63630
14715,100,81628,61472
14715,100,81551,63475
14715,100,83200,63256
14715,100,81452,61279
15042,100,84710,68706
15042,100,83445,65281
15042,100,82301,65484
15042,100,84474,66913
15042,100,83937,64997
15042,100,83217,66111
15042,100,84183,66623
15042,100,82617,64284
15042,100,82921,65987
15042,100,83612,65706
15042,100,82411,64179
15042,100,87125,66843
15042,100,83524,65282
15042,100,82181,65425
15042,100,83869,66127
15042,100,83599,64535
15042,100,83205,65751
15042,100,83958,65867
15042,100,83616,64714
15042,100,83122,66821
15369,100,84967,64604
15369,100,82592,62585
15369,100,84441,64750
15369,100,83705,63627
15369,100,82833,62861
15369,100,84875,64390
15369,100,83804,63242
15369,100,83256,63922
15369,100,83878,64338
15369,100,83197,62816
15369,100,83191,64275
15369,100,83911,64203
15369,100,82599,62244
15369,100,84409,64606
15369,100,83808,63520
15369,100,82579,63012
15369,100,84431,64641
15369,100,83357,65819
15369,100,82687,63393
15369,100,84709,63985
15696,100,84035,63692
15696,100,85031,65278
15696,100,85031,64156
15696,100,83048,62958
15696,100,85183,64478
15696,100,83928,63720
15696,100,82845,63021
15696,100,84197,64441
15696,100,84194,63325
15696,100,83218,63414
15696,100,84511,64336
15696,100,83264,63602
15696,100,83649,64639
15696,100,84521,63899
15696,100,83553,62637
15696,100,84751,64754
15696,100,84278,63945
15696,100,83227,63279
15696,100,84850,64242
15696,100,84605,63208
16023,100,84895,67468
16023,100,85677,64784
16023,100,83324,63117
16023,100,83849,64341
16023,100,85625,64190
16023,100,83678,62712
16023,100,85837,65387
16023,100,85171,63491
16023,100,84120,63645
16023,100,85774,65021
16023,100,85000,63669
16023,100,85115,64078
16023,100,85136,64536
16023,100,83595,62800
16023,100,84193,64227
16023,100,85588,64170
16023,100,84159,62735
16023,100,85539,64701
16023,100,84789,63560
16023,100,83358,63503
16350,100,86750,70668
16350,100,87584,64756
16350,100,85046,64716
16350,100,88306,66045
16350,100,84473,63942
16350,100,85139,66241
16350,100,85179,66028
16350,100,83967,64029
16350,100,85788,66551
16350,100,85288,65374
16350,100,84518,64910
16350,100,85598,66240
16350,100,85565,65010
16350,100,84800,66400
16350,100,85973,66319
16350,100,83767,63771
16350,100,86392,66431
16350,100,86149,65054
16350,100,84227,63843
16350,100,86330,66486
16384,1,70014,65666
16384,1,68721,62154
16384,1,67869,61337
16384,1,68036,61889
