Pallet: "system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
13080,689,1770
13080,693,1796
13080,664,1745
13080,718,1800
13080,694,1801
13080,714,1806
13080,684,1776
13080,706,1740
13080,687,1760
13080,678,1795
13080,704,1796
13080,696,1747
13080,700,1751
13080,689,1771
13080,660,1805
13080,700,1804
13080,674,1780
13080,686,1700
13080,743,1851
13080,720,1806
13407,690,1766
13407,704,1807
13407,711,1714
13407,723,1793
13407,738,1726
13407,716,1744
13407,736,1709
13407,693,1696
13407,694,1731
13407,687,1772
13407,713,1744
13407,716,1776
13407,702,1705
13407,714,1842
13407,693,1754
13407,728,1790
13407,693,1772
13407,675,1693
13407,708,1735
13407,707,1764
13734,707,1757
13734,707,1810
13734,724,1767
13734,695,1844
13734,703,1797
13734,717,1784
13734,689,1765
13734,724,1719
13734,718,1799
13734,704,1765
13734,714,1762
13734,727,1721
13734,682,1755
13734,715,1790
13734,735,1817
13734,705,1779
13734,696,1722
13734,738,1808
13734,710,1773
13734,698,1738
14061,697,1785
14061,691,1723
14061,717,1745
14061,730,1820
14061,670,1765
14061,678,1835
14061,707,1750
14061,700,1812
14061,682,1829
14061,728,1772
14061,723,1844
14061,699,1742
14061,725,1838
14061,712,1757
14061,684,1764
14061,691,1778
14061,748,1735
14061,733,1818
14061,706,1743
14061,690,1777
14388,711,1785
14388,727,1718
14388,720,1798
14388,705,1800
14388,693,1780
14388,715,1770
14388,696,1764
14388,723,1769
14388,692,1839
14388,727,1812
14388,697,1782
14388,705,1745
14388,739,1811
14388,688,1811
14388,721,1814
14388,699,1742
14388,685,1734
14388,712,1799
14388,695,1785
14388,712,1788
14715,730,1723
14715,704,1733
14715,722,1781
14715,753,1724
14715,709,1783
14715,702,1759
14715,707,1743
14715,719,1778
14715,687,1738
14715,721,1780
14715,697,1745
14715,702,1769
14715,716,1810
14715,703,1729
14715,724,1807
14715,704,1701
14715,692,1799
14715,706,1779
14715,683,1806
14715,723,1777
15042,730,1767
15042,742,1811
15042,707,1802
15042,725,1785
15042,716,1813
15042,670,1686
15042,719,1806
15042,717,1776
15042,693,1845
15042,656,1760
15042,688,1794
15042,705,1761
15042,695,1783
15042,698,1738
15042,696,1829
15042,695,1753
15042,698,1801
15042,739,1813
15042,682,1785
15042,691,1737
15369,693,1731
15369,697,1782
15369,684,1806
15369,703,1754
15369,700,1758
15369,723,1721
15369,699,1803
15369,698,1740
15369,699,1752
15369,686,1765
15369,726,1773
15369,696,1810
15369,722,1794
15369,690,1778
15369,687,1800
15369,683,1708
15369,676,1823
15369,705,1804
15369,695,1817
15369,708,1724
15696,698,1744
15696,772,1824
15696,699,1831
15696,712,1782
15696,705,1732
15696,672,1737
15696,697,1812
15696,672,1743
15696,719,1759
15696,698,1745
15696,724,1765
15696,688,1795
15696,687,1741
15696,695,1826
15696,724,1710
15696,687,1814
15696,708,1760
15696,724,1809
15696,701,1753
15696,688,1758
16023,703,1749
16023,711,1824
16023,694,1822
16023,690,1737
16023,693,1824
16023,717,1775
16023,699,1849
16023,711,1783
16023,714,1777
16023,729,1707
16023,728,1819
16023,740,1791
16023,729,1789
16023,696,1843
16023,753,1753
16023,719,1787
16023,710,1801
16023,707,1833
16023,698,1784
16023,736,1776
16350,725,1808
16350,760,1820
16350,701,1817
16350,735,1798
16350,683,1745
16350,722,1777
16350,730,1792
16350,715,1807
16350,751,1794
16350,717,1701
16350,703,1767
16350,711,1794
16350,703,1873
16350,694,1791
16350,719,1724
