Pallet: "offences", Extrinsic: "report_offence", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,o,n,extrinsic_time,storage_root_time
100,61,100,712828958,99224745
100,61,100,712101011,104589354
100,61,100,715445242,101365940
100,65,100,775056693,110222943
100,65,100,764830568,108571440
100,65,100,765257272,107433409
100,65,100,763165946,107318109
100,65,100,757456725,107211724
100,65,100,768364620,107383546
100,65,100,776878488,107239436
100,65,100,757862293,109764330
100,65,100,769258753,107923693
100,65,100,764128843,109849540
100,65,100,784281004,109887942
100,65,100,769879392,108068361
100,65,100,761656677,108268218
100,65,100,766315951,110530824
100,65,100,765256082,108821127
100,65,100,781367522,109241095
100,65,100,805003775,111037448
100,65,100,777005543,110089602
100,65,100,772290211,110450679
100,65,100,758786154,108829191
100,69,100,839413029,114789085
100,69,100,850639819,114866012
100,69,100,830013505,112328430
100,69,100,810526399,113320705
100,69,100,843918128,119069572
100,69,100,834014300,114824981
100,69,100,826451941,113694718
100,69,100,835789799,121546060
100,69,100,819499348,115292026
100,69,100,835381724,116466612
100,69,100,838690956,114025230
100,69,100,876607129,134696104
100,69,100,825279006,115476180
100,69,100,852595182,116057540
100,69,100,869271745,122069739
100,69,100,852054370,118415250
100,69,100,855996742,116841254
100,69,100,852597666,117142874
100,69,100,844007894,117258462
100,69,100,884725928,123091377
100,73,100,965207719,141184675
100,73,100,957580253,137911794
100,73,100,955528307,137489173
100,73,100,929543441,138292547
100,73,100,928133408,132951574
100,73,100,910072339,131307510
100,73,100,914892084,132945336
100,73,100,926528156,140037443
100,73,100,965614298,137981581
100,73,100,950745954,137753423
100,73,100,947597103,138278686
100,73,100,966148411,139408951
100,73,100,926313596,148470678
100,73,100,908295613,131111017
100,73,100,922959693,134703032
100,73,100,942744470,141601277
100,73,100,974811490,141704403
100,73,100,977122599,141475537
100,73,100,955228759,145118489
100,73,100,958654830,137888915
100,77,100,994527650,141443174
100,77,100,977826023,139850454
100,77,100,975647805,139735852
100,77,100,970239887,145476806
100,77,100,1035601099,147458289
100,77,100,1028616981,148420213
100,77,100,1023148116,145056035
100,77,100,1002825149,140364095
100,77,100,975325803,142803536
100,77,100,975242891,137265916
100,77,100,977865979,149612207
100,77,100,965863742,139311279
100,77,100,978248774,148743011
100,77,100,991379863,147374439
100,77,100,994811457,138939449
100,77,100,971535867,140663189
100,77,100,981473837,136247911
100,77,100,961890083,133858790
100,77,100,979374160,138430809
100,77,100,967537226,140368592
100,81,100,1024715520,149868370
100,81,100,1017409620,144250157
100,81,100,1022635247,143724382
100,81,100,1052652214,146574958
100,81,100,1045056690,143317825
100,81,100,1036632231,147926968
100,81,100,1027533372,145706210
100,81,100,1049237068,146365343
100,81,100,1021620737,142722691
100,81,100,1038274163,148870853
100,81,100,1050582381,144093501
100,81,100,1045818855,144029804
100,81,100,1032449336,141447535
100,81,100,1050381711,147113920
100,81,100,1047244495,144236724
100,81,100,1029317748,144387499
100,81,100,1020607842,142949276
100,81,100,1027630860,147387376
100,81,100,1037433923,146005514
100,81,100,1055591299,147913987
100,85,100,1126220312,156832665
100,85,100,1122576888,153658656
100,85,100,1085196270,153342558
100,85,100,1087049059,150759947
100,85,100,1097747996,148080334
100,85,100,1106007294,152971159
100,85,100,1096649715,154140242
100,85,100,1105505967,156103739
100,85,100,1121762662,150913608
100,85,100,1097402911,154745691
100,85,100,1102114494,152191951
100,85,100,1098631038,152378379
100,85,100,1126907517,155017433
100,85,100,1138705852,153331758
100,85,100,1144781601,154030673
100,85,100,1114280951,159448370
100,85,100,1196902171,165547216
100,85,100,1180185292,166135789
100,85,100,1162562106,165383902
100,85,100,1161373219,156405433
100,89,100,1197468104,158636765
100,89,100,1195737656,161047968
100,89,100,1186969211,166503369
100,89,100,1262549580,175394762
100,89,100,1260831572,167155780
100,89,100,1240781503,170431324
100,89,100,1207405243,164609484
