Pallet: "treasury", Extrinsic: "retract_tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
4251,43775,2226,1,7,2,3
4251,43978,2217,1,7,2,3
4251,43950,2143,1,7,2,3
4251,43861,2111,1,7,2,3
4578,43277,2065,1,7,2,3
4578,43388,2131,1,7,2,3
4578,43417,2079,1,7,2,3
4578,43569,2214,1,7,2,3
4578,43881,2190,1,7,2,3
4578,43554,2208,1,7,2,3
4578,43711,2091,1,7,2,3
4578,43681,2171,1,7,2,3
4578,43204,2061,1,7,2,3
4578,43231,2224,1,7,2,3
4578,43524,2162,1,7,2,3
4578,43475,2168,1,7,2,3
4578,43355,2040,1,7,2,3
4578,43639,2136,1,7,2,3
4578,43087,2153,1,7,2,3
4578,43420,2192,1,7,2,3
4578,43558,2180,1,7,2,3
4578,43713,2223,1,7,2,3
4578,43322,2181,1,7,2,3
4578,43190,2152,1,7,2,3
4905,43541,2209,1,7,2,3
4905,43791,2294,1,7,2,3
4905,43616,2106,1,7,2,3
4905,43824,2261,1,7,2,3
4905,43586,2202,1,7,2,3
4905,43774,2231,1,7,2,3
4905,43515,2216,1,7,2,3
4905,43663,2115,1,7,2,3
4905,43443,2170,1,7,2,3
4905,43835,2178,1,7,2,3
4905,43451,2204,1,7,2,3
4905,43281,2167,1,7,2,3
4905,43318,2174,1,7,2,3
4905,43115,2113,1,7,2,3
4905,43898,2118,1,7,2,3
4905,43384,2148,1,7,2,3
4905,43775,2155,1,7,2,3
4905,43093,2123,1,7,2,3
4905,43176,2112,1,7,2,3
4905,43434,2165,1,7,2,3
5232,43823,2286,1,7,2,3
5232,43618,2190,1,7,2,3
5232,43134,2174,1,7,2,3
5232,43393,2232,1,7,2,3
5232,43404,2265,1,7,2,3
5232,43559,2147,1,7,2,3
5232,43418,2167,1,7,2,3
5232,43512,2100,1,7,2,3
5232,43468,2144,1,7,2,3
5232,43318,2192,1,7,2,3
5232,43318,2229,1,7,2,3
5232,43555,2190,1,7,2,3
5232,42998,2117,1,7,2,3
5232,43301,2130,1,7,2,3
5232,42994,2150,1,7,2,3
5232,43317,2186,1,7,2,3
5232,43288,2145,1,7,2,3
5232,43209,2165,1,7,2,3
5232,44277,2248,1,7,2,3
5232,43175,2197,1,7,2,3
5559,43557,2104,1,7,2,3
5559,43715,2132,1,7,2,3
5559,43309,2129,1,7,2,3
5559,43333,2195,1,7,2,3
5559,43517,2121,1,7,2,3
5559,44123,2113,1,7,2,3
5559,43567,2093,1,7,2,3
5559,43713,2225,1,7,2,3
5559,43570,2170,1,7,2,3
5559,43596,2090,1,7,2,3
5559,43761,2206,1,7,2,3
5559,43479,2107,1,7,2,3
5559,43806,2280,1,7,2,3
5559,43547,2203,1,7,2,3
5559,43722,2137,1,7,2,3
5559,43641,2143,1,7,2,3
5559,58108,2236,1,7,2,3
5559,43632,2137,1,7,2,3
5559,43597,2153,1,7,2,3
5559,43600,2103,1,7,2,3
5886,43858,2130,1,7,2,3
5886,43427,2210,1,7,2,3
5886,43667,2266,1,7,2,3
5886,43391,2217,1,7,2,3
5886,43707,2101,1,7,2,3
5886,43360,2087,1,7,2,3
5886,43625,2231,1,7,2,3
5886,43420,2204,1,7,2,3
5886,44091,2140,1,7,2,3
5886,43898,2231,1,7,2,3
5886,44112,2181,1,7,2,3
5886,43676,2168,1,7,2,3
5886,43669,2115,1,7,2,3
5886,43369,2114,1,7,2,3
5886,44132,2263,1,7,2,3
5886,44121,2202,1,7,2,3
5886,44096,2262,1,7,2,3
5886,43515,2095,1,7,2,3
5886,43611,2147,1,7,2,3
5886,43785,2100,1,7,2,3
6213,43437,2124,1,7,2,3
6213,44114,2261,1,7,2,3
6213,43363,2163,1,7,2,3
6213,43937,2123,1,7,2,3
6213,43610,2199,1,7,2,3
6213,43385,2147,1,7,2,3
6213,43422,2129,1,7,2,3
6213,43594,2073,1,7,2,3
6213,43457,2137,1,7,2,3
6213,43221,2176,1,7,2,3
6213,43314,2142,1,7,2,3
6213,43605,2163,1,7,2,3
6213,44129,2216,1,7,2,3
6213,43698,2225,1,7,2,3
6213,43268,2108,1,7,2,3
6213,43944,2121,1,7,2,3
6213,43503,2147,1,7,2,3
6213,43615,2158,1,7,2,3
6213,43677,2120,1,7,2,3
6213,43773,2157,1,7,2,3
6540,43460,2288,1,7,2,3
6540,43765,2183,1,7,2,3
6540,43919,2268,1,7,2,3
6540,43836,2238,1,7,2,3
6540,43759,2161,1,7,2,3
6540,44034,2313,1,7,2,3
6540,43856,2199,1,7,2,3
6540,43779,2383,1,7,2,3
6540,44194,2274,1,7,2,3
6540,46942,2236,1,7,2,3
6540,43517,2161,1,7,2,3
6540,43985,2242,1,7,2,3
6540,43875,2213,1,7,2,3
6540,44107,2253,1,7,2,3
6540,44000,2232,1,7,2,3
6540,44080,2200,1,7,2,3
6540,43815,2302,1,7,2,3
6540,43713,2201,1,7,2,3
6540,43855,2194,1,7,2,3
6540,44310,2145,1,7,2,3
6867,43376,2197,1,7,2,3
6867,43998,2346,1,7,2,3
6867,44025,2199,1,7,2,3
6867,43779,2187,1,7,2,3
6867,43770,2122,1,7,2,3
6867,43828,2206,1,7,2,3
6867,44203,2178,1,7,2,3
6867,44114,2216,1,7,2,3
6867,43231,2173,1,7,2,3
6867,43472,2194,1,7,2,3
6867,43248,2158,1,7,2,3
6867,44083,2137,1,7,2,3
6867,43823,2136,1,7,2,3
6867,43836,2122,1,7,2,3
6867,43525,2190,1,7,2,3
6867,43645,2138,1,7,2,3
6867,43574,2204,1,7,2,3
6867,43320,2164,1,7,2,3
6867,43479,2137,1,7,2,3
6867,43421,2086,1,7,2,3
7194,43556,2196,1,7,2,3
7194,43224,2217,1,7,2,3
7194,43191,2214,1,7,2,3
7194,43369,2306,1,7,2,3
7194,44097,2393,1,7,2,3
7194,43922,2310,1,7,2,3
7194,43812,2183,1,7,2,3
7194,43323,2258,1,7,2,3
7194,43347,2286,1,7,2,3
7194,43582,2318,1,7,2,3
7194,43042,2222,1,7,2,3
7194,43375,2149,1,7,2,3
7194,43666,2238,1,7,2,3
7194,43363,2238,1,7,2,3
7194,43875,2274,1,7,2,3
7194,43922,2243,1,7,2,3
7194,43677,2185,1,7,2,3
7194,43431,2245,1,7,2,3
7194,43629,2156,1,7,2,3
7194,43547,2203,1,7,2,3
7521,43588,2113,1,7,2,3
7521,43566,2315,1,7,2,3
7521,44010,2115,1,7,2,3
7521,43504,2317,1,7,2,3
7521,43412,2238,1,7,2,3
7521,43703,2218,1,7,2,3
7521,43296,2176,1,7,2,3
7521,43221,2185,1,7,2,3
7521,43371,2219,1,7,2,3
7521,43775,2211,1,7,2,3
7521,43612,2134,1,7,2,3
7521,43233,2157,1,7,2,3
7521,43199,2199,1,7,2,3
7521,43337,2217,1,7,2,3
7521,43156,2168,1,7,2,3
7521,43338,2136,1,7,2,3
7521,43500,2188,1,7,2,3
7521,43437,2159,1,7,2,3
7521,43174,2215,1,7,2,3
7521,44086,2242,1,7,2,3
7848,42938,2193,1,7,2,3
7848,43544,2131,1,7,2,3
7848,43681,2192,1,7,2,3
7848,43595,2164,1,7,2,3
7848,43661,2213,1,7,2,3
7848,44050,2191,1,7,2,3
7848,43662,2186,1,7,2,3
7848,43801,2183,1,7,2,3
7848,43653,2154,1,7,2,3
7848,43866,2202,1,7,2,3
7848,43602,2143,1,7,2,3
7848,43293,2144,1,7,2,3
7848,43276,2074,1,7,2,3
7848,43294,2194,1,7,2,3
7848,43439,2154,1,7,2,3
7848,43862,2178,1,7,2,3
7848,43454,2357,1,7,2,3
7848,43374,2175,1,7,2,3
7848,43521,2284,1,7,2,3
7848,43658,2170,1,7,2,3
8175,43763,2139,1,7,2,3
8175,44053,2104,1,7,2,3
8175,43566,2113,1,7,2,3
8175,43665,2178,1,7,2,3
8175,43274,2105,1,7,2,3
8175,43388,2141,1,7,2,3
8175,43251,2072,1,7,2,3
8175,43861,2124,1,7,2,3
8175,43707,2112,1,7,2,3
8175,43871,2158,1,7,2,3
8175,44120,2103,1,7,2,3
8175,43993,2052,1,7,2,3
8175,43873,2096,1,7,2,3
8175,43892,2205,1,7,2,3
8175,43860,2118,1,7,2,3
8175,43880,2140,1,7,2,3
8175,43770,2148,1,7,2,3
8175,44263,2125,1,7,2,3
8175,43830,2140,1,7,2,3
8175,43806,2131,1,7,2,3
8502,44372,2207,1,7,2,3
8502,44183,2182,1,7,2,3
8502,43726,2119,1,7,2,3
8502,43668,2017,1,7,2,3
8502,43768,2097,1,7,2,3
8502,43232,2202,1,7,2,3
8502,43622,2251,1,7,2,3
8502,43685,2237,1,7,2,3
8502,43670,2071,1,7,2,3
8502,47188,2177,1,7,2,3
8502,43551,2119,1,7,2,3
8502,43448,2142,1,7,2,3
8502,43386,2100,1,7,2,3
8502,44006,2203,1,7,2,3
8502,43864,2089,1,7,2,3
8502,44182,2080,1,7,2,3
8502,43920,2217,1,7,2,3
8502,43726,2176,1,7,2,3
8502,43910,2191,1,7,2,3
8502,43579,2162,1,7,2,3
8829,43385,2240,1,7,2,3
8829,43326,2160,1,7,2,3
8829,43737,2163,1,7,2,3
8829,43058,2187,1,7,2,3
8829,43430,2153,1,7,2,3
8829,43272,2150,1,7,2,3
8829,46493,2235,1,7,2,3
8829,43461,2161,1,7,2,3
8829,43662,2218,1,7,2,3
8829,43043,2245,1,7,2,3
8829,43640,2173,1,7,2,3
8829,43516,2179,1,7,2,3
8829,43354,2209,1,7,2,3
8829,43792,2223,1,7,2,3
8829,44046,2272,1,7,2,3
8829,43725,2276,1,7,2,3
8829,43685,2231,1,7,2,3
8829,43203,2203,1,7,2,3
8829,43290,2197,1,7,2,3
8829,43282,2276,1,7,2,3
9156,43782,2171,1,7,2,3
9156,43827,2195,1,7,2,3
9156,44027,2164,1,7,2,3
9156,43700,2246,1,7,2,3
9156,43537,2189,1,7,2,3
9156,43877,2099,1,7,2,3
9156,43828,2114,1,7,2,3
9156,43469,2148,1,7,2,3
9156,43393,2062,1,7,2,3
9156,43365,2032,1,7,2,3
9156,43703,2113,1,7,2,3
9156,43387,2082,1,7,2,3
9156,44201,2181,1,7,2,3
9156,43912,2225,1,7,2,3
9156,43920,2194,1,7,2,3
9156,43990,2206,1,7,2,3
9156,44014,2260,1,7,2,3
9156,43948,2168,1,7,2,3
9156,43578,2182,1,7,2,3
9156,43663,2198,1,7,2,3
9483,44232,2178,1,7,2,3
9483,43860,2196,1,7,2,3
9483,44057,2200,1,7,2,3
9483,43769,2136,1,7,2,3
9483,43978,2149,1,7,2,3
9483,43816,2238,1,7,2,3
9483,43534,2129,1,7,2,3
9483,43524,2147,1,7,2,3
9483,44017,2190,1,7,2,3
9483,44011,2165,1,7,2,3
9483,43735,2172,1,7,2,3
9483,43457,2132,1,7,2,3
9483,43930,2148,1,7,2,3
9483,43625,2114,1,7,2,3
9483,43550,2147,1,7,2,3
9483,43452,2124,1,7,2,3
9483,44127,2298,1,7,2,3
9483,43777,2204,1,7,2,3
9483,43368,2290,1,7,2,3
9483,44199,2137,1,7,2,3
9810,43577,2194,1,7,2,3
9810,43928,2230,1,7,2,3
9810,43345,2220,1,7,2,3
9810,43374,2190,1,7,2,3
9810,43165,2158,1,7,2,3
9810,43206,2248,1,7,2,3
9810,43448,2206,1,7,2,3
9810,43473,2183,1,7,2,3
9810,43385,2143,1,7,2,3
