2020-05-05 19:13:04.370 main TRACE benchmark  Start Benchmark: m 1
2020-05-05 19:13:04.371 main TRACE state  1cbd: Get e2e62dd81c48a88f73b6f6463555fd8eba7fb8745735dc3be2a2c61a72c39e78=Some(0447e3cf5f26748ab0e0ae48883b93e386381d5e3c55682ddd2d63dafd863cd21fd47e62175ed158000000000000000000)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Get e2e62dd81c48a88f73b6f6463555fd8e40982df579bdf1315224f41e5f482063=Some(00)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Get e2e62dd81c48a88f73b6f6463555fd8e948ece45793d7f15c9c0b9574ddbc665=Some(00)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Get 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da946c154ffd9992e395af90b5b13cc6f295c77033fce8a9045824a6690bbf99c6db269502f0a8d1d2a008542d5690a0749=Some(00000000010040e8066b765800000000000000000000407a10f35a00000000000000000000008062175ed15800000000000000000000000000000000000000000000000000)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Get 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da9adfb3c1195dc209f8deaf3621f5bb4fcaa1f65774ec6d3176fc5f03ac32eb186048adbc71d59dcf43c4dbbbea8bfc767=Some(00000000010040e8066b765800000000000000000000407a10f35a00000000000000000000008062175ed15800000000000000000000000000000000000000000000000000)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Put 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da9adfb3c1195dc209f8deaf3621f5bb4fcaa1f65774ec6d3176fc5f03ac32eb186048adbc71d59dcf43c4dbbbea8bfc767=Some(00000000010040e8066b765800000000000000000000000000000000000000000000000000008062175ed15800000000000000000000000000000000000000000000000000)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Put 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da946c154ffd9992e395af90b5b13cc6f295c77033fce8a9045824a6690bbf99c6db269502f0a8d1d2a008542d5690a0749=Some(0000000001008062175ed15800000000000000000000407a10f35a00000000000000000000008062175ed15800000000000000000000000000000000000000000000000000)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Put e2e62dd81c48a88f73b6f6463555fd8e71cd3068e6118bfb392b798317f63a89e8e13ca95b2fd44faa1f65774ec6d3176fc5f03ac32eb186048adbc71d59dcf43c4dbbbea8bfc767=None
2020-05-05 19:13:04.371 main TRACE state  1cbd: Get c2261276cc9d1f8598ea4b6a74b15c2f218f26c73add634897550b4003b26bc6adfb3c1195dc209f8deaf3621f5bb4fcaa1f65774ec6d3176fc5f03ac32eb186048adbc71d59dcf43c4dbbbea8bfc767=Some(04706872656c656374008062175ed15800000000000000000001)
2020-05-05 19:13:04.371 main TRACE state  1cbd: Get 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da9adfb3c1195dc209f8deaf3621f5bb4fcaa1f65774ec6d3176fc5f03ac32eb186048adbc71d59dcf43c4dbbbea8bfc767=Some(00000000010040e8066b765800000000000000000000000000000000000000000000000000008062175ed15800000000000000000000000000000000000000000000000000)
