Pallet: "elections", Extrinsic: "vote", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
x,l,extrinsic_time,storage_root_time
16,8,49763,45632
16,8,49655,44985
16,8,49543,45773
16,8,49691,45416
16,8,49386,45343
16,8,49096,45358
16,8,49455,45428
16,8,49729,45093
16,8,49444,44896
16,8,49571,44710
16,9,49901,45376
16,9,50113,45073
16,9,49677,45222
16,9,49790,45614
16,9,49585,45690
16,9,50333,45528
16,9,49577,45760
16,9,49579,44656
16,9,49769,44838
16,9,49831,45245
16,9,50048,45646
16,9,49512,45172
16,9,49941,45362
16,9,49982,44966
16,9,49930,45159
16,9,49804,45166
16,9,50804,45502
16,9,49678,45296
16,9,49699,48450
16,9,50207,45139
16,10,50035,45729
16,10,49960,45247
16,10,50255,45541
16,10,49935,45689
16,10,50189,45368
16,10,50256,45057
16,10,50154,45583
16,10,50621,45193
16,10,49818,44791
16,10,50058,45588
16,10,49843,45071
16,10,50223,45357
16,10,50544,45101
16,10,50201,44975
16,10,50163,45698
16,10,50213,45340
16,10,50211,45316
16,10,50331,45764
16,10,50095,45323
16,10,50438,45761
16,11,51049,45516
16,11,50121,45652
16,11,50240,45485
16,11,50493,45468
16,11,50470,45420
16,11,50100,45329
16,11,50003,45151
16,11,50148,45306
16,11,51172,45450
16,11,50559,45153
16,11,50828,45207
16,11,50225,45073
16,11,50298,45522
16,11,50182,44939
16,11,50502,45460
16,11,50094,45097
16,11,50309,44776
16,11,50478,48268
16,11,50222,45397
16,11,50420,45553
16,12,50628,45338
16,12,50611,45379
16,12,50482,45274
16,12,50332,45430
16,12,50230,45160
16,12,50252,44724
16,12,50373,45301
16,12,49980,45312
16,12,50284,45436
16,12,50437,45411
16,12,50455,45752
16,12,50646,45504
16,12,50531,45089
16,12,49965,45169
16,12,53417,45702
16,12,50202,45573
16,12,50347,45063
16,12,49910,44922
16,12,50200,44928
16,12,50635,45573
16,13,50303,45141
16,13,50322,45514
16,13,50215,44996
16,13,50372,45105
16,13,49604,45421
16,13,50294,45296
16,13,50408,45375
16,13,50182,44990
16,13,50275,45216
16,13,50291,45476
16,13,50321,45287
16,13,50543,45212
16,13,50530,45599
16,13,49930,45676
16,13,50004,45532
16,13,50580,45266
16,13,50304,45166
16,13,50191,45310
16,13,50312,45385
16,13,50501,45550
16,14,50572,45807
16,14,50873,44987
16,14,50352,46061
16,14,50937,45150
16,14,50593,45947
16,14,50311,45831
16,14,50446,45811
16,14,50931,46332
16,14,50418,45908
16,14,51275,45405
16,14,50521,45537
16,14,50643,45749
16,14,50758,45735
16,14,50966,45487
16,14,50523,44994
16,14,50877,45244
16,14,50220,45717
16,14,50730,45334
16,14,50219,45466
16,14,51051,45595
16,15,50372,45311
16,15,50517,45314
16,15,50894,45525
16,15,51052,45761
16,15,50846,45826
16,15,50434,45381
16,15,50566,45729
16,15,50339,45456
16,15,50886,45475
16,15,50893,45642
16,15,50769,45782
16,15,50802,45615
16,15,50771,45661
16,15,50823,45538
16,15,50536,45680
16,15,50556,45661
16,15,50961,45280
16,15,50421,45378
16,15,50787,45040
16,15,50651,45070
16,16,51531,46010
16,16,51585,45592
16,16,51168,45086
16,16,51595,45160
16,16,51445,45674
16,16,51294,45080
16,16,51213,45241
16,16,51095,45274
16,16,51800,45702
16,16,51194,45248
16,16,51272,45483
16,16,51482,45481
16,16,51050,45699
16,16,51925,45445
16,16,51147,45171
16,16,52214,45625
16,16,51408,45088
16,16,51700,45448
16,16,51604,44996
16,16,52052,45328
16,17,51231,45566
16,17,51144,45234
16,17,51466,44800
16,17,51356,45376
16,17,51573,45877
16,17,51776,45225
16,17,51448,45170
16,17,51260,45300
16,17,51617,45409
16,17,51700,45826
16,17,51218,45304
16,17,51312,45323
16,17,51491,45464
16,17,51184,45459
16,17,51302,45366
16,17,51205,45533
16,17,51344,45626
16,17,51154,45241
16,17,51407,45526
16,17,51311,45194
16,18,51112,45409
16,18,51709,45532
16,18,51815,45894
16,18,54428,45888
16,18,51777,46020
16,18,51491,45819
16,18,52337,45489
16,18,51491,45306
16,18,51633,45891
16,18,51404,45284
16,18,51750,45564
16,18,52029,45783
16,18,51575,45559
16,18,51891,46006
16,18,51636,45214
16,18,51461,45711
16,18,51631,46051
16,18,51584,45600
16,18,51742,45893
16,18,51501,46030
16,19,51895,45462
16,19,51654,45105
16,19,51738,45978
16,19,51777,45780
16,19,51838,45725
16,19,52050,45994
16,19,54995,46218
16,19,52105,45566
16,19,51909,45788
16,19,52029,45326
16,19,51734,45319
16,19,52139,45362
16,19,51649,45703
16,19,51897,45417
16,19,51648,45502
16,19,51249,45387
16,19,51801,45295
16,19,52033,45797
16,19,51653,45596
16,19,51456,45626
16,20,51856,45494
16,20,51846,45834
16,20,52698,45818
16,20,51968,45763
16,20,52001,45501
16,20,52108,45154
16,20,51609,45161
16,20,52038,45467
16,20,51789,45266
16,20,52042,45568
16,20,52131,45486
16,20,51898,45655
16,20,52065,45641
16,20,52346,45780
16,20,52150,45485
16,20,51791,45969
16,20,51798,45448
16,20,52023,45703
16,20,52272,45790
16,20,52026,45722

Median Slopes Analysis
========

Model:
Time ~=    47.37
    + x        0
    + l    0.231
              µs

Min Squares Analysis
========

Data points distribution:
    x     l   mean µs  sigma µs       %
    1    20     51.91     0.126    0.2%
    2    20     52.05     0.124    0.2%
    3    20     52.42     0.141    0.2%
    4    20     51.92     0.117    0.2%
