Pallet: "democracy", Extrinsic: "note_imminent_preimage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
9156,61566,35064
9156,61576,34529
9483,64134,37555
9483,63606,37288
9483,63757,37591
9483,63597,37188
9483,63921,37147
9483,63314,37085
9483,63522,37020
9483,63603,37064
9483,64067,37132
9483,63400,36690
9483,63688,37286
9483,63730,37505
9483,64031,37215
9483,63436,36946
9483,63600,37101
9483,63430,37097
9483,63572,37390
9483,63221,37241
9483,63549,37219
9483,63528,37162
9810,63928,35822
9810,63927,35716
9810,64319,35992
9810,63336,35649
9810,63625,35390
9810,63664,35917
9810,63851,35649
9810,63662,35590
9810,63265,36235
9810,63488,35496
9810,63844,35674
9810,63668,35543
9810,63675,35522
9810,63584,35199
9810,63713,35428
9810,63891,35824
9810,63749,35606
9810,63504,35515
9810,63520,35624
9810,63545,35468
10137,65781,38462
10137,65231,37661
10137,65586,37900
10137,65618,37680
10137,65433,37705
10137,65385,37715
10137,65492,37930
10137,65503,37936
10137,65508,37719
10137,65082,37824
10137,65563,37760
10137,65205,37673
10137,65174,37687
10137,65336,37854
10137,65859,38055
10137,65457,37570
10137,65395,37689
10137,65581,37657
10137,65534,37594
10137,65546,37803
10464,71338,40710
10464,67324,40272
10464,66989,40097
10464,67340,40783
10464,67156,40192
10464,67484,40105
10464,68196,40016
10464,67356,40263
10464,67370,40283
10464,67369,40407
10464,67596,40157
10464,67469,40320
10464,67169,40322
10464,67320,40216
10464,67602,40068
10464,67109,40058
10464,67958,40194
10464,67550,40119
10464,67202,40227
10464,67419,39983
10791,67524,37058
10791,68025,37197
10791,66985,36586
10791,67483,36691
10791,67497,36770
10791,67535,36636
10791,67676,36736
10791,67376,36590
10791,67247,36676
10791,67705,36567
10791,67716,36628
10791,67329,36480
10791,67519,36470
10791,67161,36507
10791,67545,36727
10791,67389,36454
10791,67872,37027
10791,67469,36626
10791,67230,36509
10791,67412,36607
11118,68464,37372
11118,68427,37056
11118,67936,36984
11118,68262,36791
11118,67568,36766
11118,68018,36954
11118,67836,36803
11118,67971,36577
11118,67930,36760
11118,68224,36714
11118,68069,37595
11118,68141,36929
11118,81352,37126
11118,68262,37063
11118,68390,36985
11118,68473,37232
11118,68024,37023
11118,68156,36443
11118,68118,37009
11118,68202,36562
11445,70933,39986
11445,70075,39391
11445,70080,39189
11445,69784,39332
11445,70391,39493
11445,70036,38998
11445,69703,39111
11445,70307,39336
11445,70019,39321
11445,69749,42476
11445,69999,38984
11445,69995,39088
11445,69935,39037
11445,69970,38997
11445,70584,39119
11445,70039,39174
11445,69693,39139
11445,70296,39194
11445,70163,39603
11445,69947,39044
11772,70988,39332
11772,70896,39362
11772,70893,39564
11772,70823,39469
11772,71145,39056
11772,70839,39191
11772,70376,39285
11772,71053,39514
11772,70984,39915
11772,70691,39645
11772,70577,39372
11772,70562,39161
11772,70954,39651
11772,70487,39475
11772,70600,39480
11772,70970,39177
11772,70751,39117
11772,71035,39321
11772,70282,39284
11772,70720,39238
12099,72369,40257
12099,72463,39884
12099,72608,40156
12099,72432,39776
12099,72400,41056
12099,72335,39948
12099,72704,40360
12099,72691,39969
12099,72336,39923
12099,72399,39918
12099,72328,39865
12099,72759,40176
12099,72290,39762
12099,72286,39686
12099,72536,40013
12099,72807,39976
12099,72336,39753
12099,72370,39819
12099,72648,40143
12099,72258,39768
12426,75563,41238
12426,73310,38672
12426,72813,38457
12426,73010,38470
12426,73041,38150
12426,73136,38902
12426,72517,38363
12426,72616,38227
12426,72485,38363
12426,72480,38264
12426,73089,38588
12426,72877,38535
12426,72350,38211
12426,72707,38294
12426,73214,38162
12426,73206,38520
12426,73021,38120
12426,72881,38452
12426,73480,38562
12426,72852,38359
12753,75065,41311
12753,74490,40636
12753,74397,40637
12753,74542,40467
12753,74474,40524
12753,74496,40809
12753,74552,40520
12753,74730,40436
12753,74401,40838
12753,74238,40707
12753,74393,40504
12753,74262,40640
12753,74485,40273
12753,74432,40555
12753,74398,40587
12753,74464,40713
12753,74697,40382
12753,74729,40317
12753,74521,40691
12753,74300,40543
13080,75570,40723
13080,75360,40666
13080,75276,40688
13080,75674,40931
13080,75531,40976
13080,75471,40970
13080,74850,40804
13080,75123,40603
13080,75353,40797
13080,75266,40549
13080,75375,40920
13080,78260,41004
13080,75208,41287
13080,75078,40895
13080,75588,40956
13080,75182,40449
13080,75228,40612
13080,75440,41046
13080,75483,40990
13080,75563,41103
13407,77304,41645
13407,77080,41711
13407,76651,41624
13407,76845,41394
13407,76715,41182
13407,77063,41169
13407,77173,41698
13407,76931,41150
13407,77065,41387
13407,76730,41011
13407,76750,41095
13407,77084,41167
13407,77102,41539
13407,77009,41080
13407,76604,40838
13407,77159,41483
13407,76922,41216
13407,76934,41418
13407,76425,41213
13407,76636,41220
13734,77757,40236
13734,77520,40102
13734,77257,40115
13734,76921,39809
13734,90752,40010
13734,77608,40016
13734,77222,40077
13734,77208,39570
13734,77007,39858
13734,77577,39723
13734,77371,39879
13734,77560,39649
13734,77351,39572
13734,77199,39724
13734,77275,39768
13734,77297,40099
13734,77450,39888
13734,77048,39590
13734,77117,39666
13734,77072,40048
14061,79133,40190
14061,78699,40490
14061,78558,40018
14061,78547,40162
14061,78625,40326
14061,78836,40244
14061,78110,40095
14061,78629,39889
14061,78199,39602
14061,78510,40303
14061,78743,40236
14061,78357,40303
14061,78408,40224
14061,78483,39937
14061,79041,40527
14061,78694,40088
14061,78224,40089
14061,81640,40247
14061,78496,40317
14061,78488,39968
14388,82062,43881
14388,80221,42437
14388,80266,42444
14388,80251,42901
14388,80400,42448
14388,80109,42306
14388,80421,42139
14388,80534,42244
14388,80511,42675
14388,80089,42334
14388,80276,42530
14388,79952,42363
14388,80214,42558
14388,83487,43101
14388,80255,42513
14388,80278,42361
14388,80643,42345
14388,80564,42720
14388,80176,42248
14388,80450,42025
14715,80968,42372
14715,81116,42850
14715,81422,42948
14715,80969,42958
14715,81475,42707
14715,80608,42544
14715,81548,42749
14715,81333,43042
14715,81294,42664
14715,94827,43137
14715,81405,42605
14715,80719,43132
14715,81159,42566
14715,80863,42427
14715,80854,42370
14715,80816,42478
14715,81304,42748
14715,81014,42391
14715,81091,42591
14715,81186,42406
15042,82248,42981
15042,82185,43015
15042,82160,42959
15042,82137,42836
15042,81881,45566
15042,82083,43242
15042,82441,42754
15042,82112,42955
15042,82560,42815
15042,82241,42512
15042,82667,43085
15042,82142,43155
15042,82562,43085
15042,82370,42979
15042,82410,43106
15042,82366,42815
15042,82406,42976
15042,82056,42937
15042,82403,42875
15042,81932,42997
15369,86848,44041
15369,83157,43579
15369,83072,43112
15369,82962,43154
15369,83762,43479
15369,83406,43327
15369,82980,43412
15369,83381,43279
15369,83478,43455
15369,83231,43299
15369,83434,43112
15369,83254,43202
15369,83518,43024
15369,83345,43472
15369,83428,43163
15369,82985,43468
15369,83531,43469
15369,82697,43132
15369,83069,43350
15369,83245,43417
15696,84381,43765
15696,84429,43565
15696,84595,43847
15696,84187,43609
15696,84377,43631
15696,84117,43577
15696,84374,43717
15696,84269,43744
15696,83931,43688
15696,84183,43581
15696,84416,43706
15696,87492,43973
15696,84432,43852
15696,83983,43782
15696,84172,43473
15696,84375,43618
15696,84623,44112
15696,84413,43696
15696,84410,43493
15696,84112,43806
16023,86161,44441
16023,85887,44251
16023,85647,44026
16023,85553,43926
16023,85715,44011
16023,85528,43852
16023,86013,63771
16023,85672,44117
16023,86356,44092
16023,85409,43690
16023,86507,44293
16023,85855,44081
16023,85934,44158
16023,85722,43741
16023,86066,43820
16023,85990,44120
16023,86137,43906
16023,85503,44184
16023,85750,43901
16023,85902,43891
16350,94145,45907
16350,86796,44540
16350,87001,44706
16350,86889,44572
16350,87079,45004
16350,86710,44444
16350,87504,44568
16350,87092,44257
16350,87190,44672
16350,86623,44735
16350,86835,44447
16350,86605,44346
16350,87100,44378
16350,87382,44747
16350,87577,44640
16350,87375,44289
16350,86923,44516
16350,87416,44604
16350,87398,44887
16350,86715,44412

Median Slopes Analysis
========

Model:
Time ~=    30.35
    + b    0.003
              µs

Min Squares Analysis
========

Data points distribution:
    b   mean µs  sigma µs       %
    0     29.87      0.21    0.7%
  327     31.18     0.068    0.2%
  654     33.27     0.033    0.0%
  981     33.52     0.155    0.4%
 1308     34.59     0.106    0.3%
 1635     36.28     0.112    0.3%
 1962     37.57      0.09    0.2%
 2289     38.99     0.142    0.3%
 2616     39.96     0.072    0.1%
 2943     40.98     0.116    0.2%
 3270      41.3     0.082    0.1%
 3597     42.81     0.076    0.1%
 3924     43.74     0.073    0.1%
 4251     44.78     0.081    0.1%
 4578     45.72     0.061    0.1%
 4905     46.74     0.104    0.2%
 5232     47.64     0.066    0.1%
 5559     49.52     0.059    0.1%
 5886     50.55     0.121    0.2%
 6213     52.52     0.093    0.1%
 6540     52.57     0.088    0.1%
 6867     54.18     0.088    0.1%
 7194     54.77     0.086    0.1%
 7521     55.91      0.11    0.1%
 7848     57.97     0.145    0.2%
 8175     58.87     0.124    0.2%
 8502     59.16     0.101    0.1%
 8829     60.84     0.098    0.1%
 9156     61.53     0.067    0.1%
 9483     63.59     0.062    0.0%
 9810     63.67     0.079    0.1%
10137     65.48     0.058    0.0%
10464      67.4     0.073    0.1%
10791     67.47     0.058    0.0%
11118     68.14     0.086    0.1%
11445     70.03     0.059    0.0%
11772     70.81     0.114    0.1%
12099     72.42     0.084    0.1%
12426     72.94     0.129    0.1%
12753     74.47     0.045    0.0%
13080     75.37     0.096    0.1%
13407     76.93      0.12    0.1%
13734     77.31     0.101    0.1%
14061     78.57     0.079    0.1%
14388     80.33     0.096    0.1%
14715     81.14     0.129    0.1%
15042     82.26     0.104    0.1%
15369     83.29     0.116    0.1%
15696     84.33     0.086    0.1%
16023     85.84     0.115    0.1%
16350     87.08     0.178    0.2%

Quality and confidence:
param     error
b             0

Model:
Time ~=    30.35
    + b    0.003
              µs

