Pallet: "democracy", Extrinsic: "note_preimage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
11118,82217,52708
11118,82455,52251
11118,82012,52234
11118,82373,52197
11118,82075,52474
11118,82772,52323
11118,82072,52133
11118,82151,51999
11118,82530,52291
11445,84146,58118
11445,83811,56558
11445,83716,56652
11445,83491,56121
11445,83700,59181
11445,83967,56585
11445,83725,56254
11445,83528,56516
11445,83552,55926
11445,83348,56447
11445,83458,56532
11445,83216,56200
11445,83832,56269
11445,84000,56135
11445,83667,56430
11445,83689,56226
11445,84005,56084
11445,83656,56517
11445,83797,56613
11445,84166,56362
11772,84660,56687
11772,84923,56580
11772,84947,60156
11772,85065,56668
11772,85097,56609
11772,84749,56298
11772,84651,56629
11772,84771,56952
11772,84782,56704
11772,84865,56250
11772,84709,56834
11772,84709,56739
11772,84799,56438
11772,85014,56592
11772,84914,56260
11772,85002,56759
11772,84713,56892
11772,84877,56510
11772,84509,56431
11772,84968,56507
12099,89432,55427
12099,86183,55344
12099,86035,54560
12099,86241,54781
12099,86339,55383
12099,85838,55094
12099,86191,54917
12099,86382,54964
12099,86084,55139
12099,86475,56021
12099,86252,55169
12099,86453,55231
12099,85978,55152
12099,86003,55075
12099,86133,55049
12099,86018,54979
12099,85751,54661
12099,85938,54800
12099,86418,55254
12099,85960,54733
12426,91835,54843
12426,86701,53420
12426,86859,54032
12426,86559,53553
12426,86519,53249
12426,87402,53430
12426,86741,53561
12426,86979,53518
12426,86345,53654
12426,87039,53414
12426,86636,53375
12426,86663,53579
12426,86596,53643
12426,87036,53468
12426,86627,53644
12426,86769,56669
12426,86822,53916
12426,86664,53586
12426,86906,53382
12426,86531,53734
12753,88382,59420
12753,88303,57706
12753,87925,57515
12753,88077,57547
12753,88466,57897
12753,88506,57792
12753,88247,57277
12753,88368,57510
12753,87848,57564
12753,87909,57874
12753,87742,57666
12753,88419,58075
12753,87908,57828
12753,88824,57964
12753,88047,57735
12753,87930,57961
12753,88386,57643
12753,87944,57994
12753,88450,58224
12753,88142,57947
13080,89657,57595
13080,89441,57885
13080,89334,58276
13080,89535,58076
13080,89229,57981
13080,89266,57914
13080,89637,58102
13080,89636,57969
13080,89356,58026
13080,89127,57806
13080,95243,58999
13080,89650,58307
13080,89561,58718
13080,89755,57973
13080,89322,57748
13080,89199,58563
13080,89107,58495
13080,89376,58039
13080,89040,57800
13080,89461,58340
13407,90590,58663
13407,90500,58414
13407,90578,58204
13407,90465,58173
13407,90649,58631
13407,90591,58189
13407,90761,58491
13407,94210,59063
13407,90623,58688
13407,90460,58388
13407,90573,58276
