Pallet: "identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
37,100,100,923253,717138
37,100,100,849903,628175
37,100,100,870594,637117
37,100,100,838422,672013
37,100,100,896807,627208
37,100,100,1220535,702594
37,100,100,888260,628016
37,100,100,996647,616682
37,100,100,852104,612807
39,100,100,856151,630656
39,100,100,852638,621067
39,100,100,876693,633847
39,100,100,860918,635842
39,100,100,863386,638197
39,100,100,880762,630444
39,100,100,860147,645306
39,100,100,863070,612295
39,100,100,864473,615690
39,100,100,873759,639982
39,100,100,852787,647939
39,100,100,865813,632147
39,100,100,907856,654772
39,100,100,866581,628918
39,100,100,862434,630033
39,100,100,875069,644255
39,100,100,913618,760493
39,100,100,1182123,647307
39,100,100,858528,649765
39,100,100,903163,661812
41,100,100,884550,630872
41,100,100,912303,974307
41,100,100,931282,630756
41,100,100,864479,643666
41,100,100,873771,641955
41,100,100,878928,646589
41,100,100,874489,643541
41,100,100,873795,657669
41,100,100,881088,639786
41,100,100,871690,615782
41,100,100,885219,657397
41,100,100,858353,623427
41,100,100,895560,652650
41,100,100,864156,636625
41,100,100,858583,717964
41,100,100,865654,633776
41,100,100,869425,643517
41,100,100,1082689,637245
41,100,100,860029,644800
41,100,100,1083534,676666
43,100,100,862026,628147
43,100,100,940704,704827
43,100,100,886515,768727
43,100,100,862794,662605
43,100,100,863325,659644
43,100,100,855009,621437
43,100,100,850393,627615
43,100,100,853841,620269
43,100,100,854066,621530
43,100,100,872267,637954
43,100,100,934800,651593
43,100,100,851788,638248
43,100,100,858867,660431
43,100,100,877066,650592
43,100,100,856465,648371
43,100,100,1199415,673999
43,100,100,854391,647943
43,100,100,852912,676102
43,100,100,858646,648315
43,100,100,879181,684646
45,100,100,872887,678527
45,100,100,945731,698132
45,100,100,862792,626040
45,100,100,857652,633683
45,100,100,873455,742501
45,100,100,883275,658284
45,100,100,939238,659230
45,100,100,891422,670047
45,100,100,945847,646035
45,100,100,915398,712498
45,100,100,895286,737746
45,100,100,870162,691506
45,100,100,849442,616804
45,100,100,859090,626842
45,100,100,875974,639889
45,100,100,904063,635118
45,100,100,885304,677060
45,100,100,1019365,652548
45,100,100,867603,660093
45,100,100,856929,635152
47,100,100,873240,623482
47,100,100,861531,657808
47,100,100,913298,691622
47,100,100,861446,620613
47,100,100,885424,623855
47,100,100,882462,618860
47,100,100,907010,620471
47,100,100,1249909,712354
47,100,100,860404,638733
47,100,100,859775,627095
47,100,100,867274,640912
47,100,100,862589,619754
47,100,100,892202,644076
47,100,100,906636,630321
47,100,100,936608,636716
47,100,100,853483,646482
47,100,100,860877,646612
47,100,100,857468,696169
47,100,100,918831,648113
47,100,100,872800,641637
49,100,100,859705,652238
49,100,100,858440,642607
49,100,100,870344,687288
49,100,100,857683,655001
49,100,100,881357,641714
49,100,100,884933,657163
49,100,100,874244,622745
49,100,100,871614,643737
49,100,100,883813,655952
49,100,100,883971,641756
49,100,100,875873,658814
49,100,100,851071,631668
49,100,100,900847,617113
49,100,100,940350,684864
49,100,100,852864,660207
49,100,100,894710,620863
49,100,100,860224,744151
49,100,100,854944,645304
49,100,100,943650,689831
49,100,100,872475,662274
50,1,100,352520,113741
50,1,100,354103,114217
50,1,100,345159,114799
50,1,100,361202,112060
50,1,100,348792,110901
50,1,100,346998,112963
50,1,100,389257,113286
50,1,100,354591,115174
50,1,100,347077,112785
50,1,100,357925,112627
50,1,100,344623,122201
50,1,100,403401,136490
50,1,100,350048,111449
50,1,100,364536,112283
50,1,100,345732,108957
50,1,100,372520,112461
50,1,100,345409,111325
50,1,100,341373,123888
50,1,100,349277,126651
50,1,100,355555,111894
50,5,100,362455,128102
50,5,100,367500,131775
50,5,100,369633,131016
50,5,100,424423,129418
50,5,100,360281,129622
50,5,100,373613,133543
50,5,100,370243,134764
50,5,100,365642,129693
50,5,100,368859,149532
50,5,100,375432,132998
50,5,100,372595,135480
50,5,100,376968,160932
50,5,100,364469,131005
50,5,100,366977,134366
50,5,100,370719,132088
50,5,100,382759,135269
50,5,100,370998,148919
50,5,100,360712,129547
50,5,100,359762,153437
50,5,100,372904,134805
50,9,100,419966,168607
50,9,100,394164,162174
50,9,100,406313,186157
50,9,100,391686,158706
50,9,100,386131,157936
50,9,100,396709,159065
50,9,100,418396,164242
50,9,100,397465,247126
50,9,100,402548,197595
50,9,100,447325,164587
50,9,100,396595,163955
50,9,100,399272,163846
50,9,100,395011,161416
50,9,100,403754,176634
50,9,100,386229,159665
50,9,100,402759,165313
50,9,100,409438,166058
50,9,100,389154,160679
50,9,100,392779,158291
50,9,100,430676,164919
50,13,100,421492,177327
50,13,100,442201,177864
50,13,100,648401,262848
50,13,100,444473,180109
50,13,100,415871,180082
50,13,100,450149,185904
50,13,100,439155,182972
50,13,100,457066,175601
50,13,100,418152,181083
50,13,100,473845,175730
50,13,100,444060,177191
50,13,100,404615,178956
50,13,100,757764,290821
50,13,100,408871,174307
50,13,100,496576,204348
50,13,100,420417,173712
50,13,100,430174,185601
50,13,100,419072,178537
50,13,100,419481,191939
50,13,100,413520,179860
50,17,100,441538,272159
50,17,100,445579,192998
50,17,100,456152,197346
50,17,100,433757,191577
50,17,100,435169,192587
50,17,100,431671,192723
50,17,100,441875,233275
50,17,100,466876,195231
50,17,100,436175,201427
50,17,100,431791,223206
50,17,100,434278,188895
50,17,100,429476,190372
50,17,100,445633,198561
50,17,100,453675,214285
50,17,100,438120,196595
50,17,100,452111,193995
50,17,100,477874,192910
50,17,100,438809,225365
50,17,100,473672,192979
50,17,100,432092,191215
50,21,100,466651,215448
50,21,100,460052,219301
50,21,100,529625,225568
50,21,100,478314,233027
50,21,100,459709,220867
50,21,100,480754,225358
50,21,100,481023,233131
50,21,100,571206,226958
50,21,100,484846,241830
50,21,100,509754,257237
50,21,100,463890,249788
50,21,100,477908,223760
