Pallet: "collective", Extrinsic: "execute", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,b,extrinsic_time,storage_root_time
400,1024,69630,16852
400,1024,69717,17156
400,1024,69774,17013
400,1024,69824,16820
400,1024,69742,17037
400,1024,69818,16998
400,1024,69888,17271
400,1024,69696,16831
419,1024,71639,17361
419,1024,71217,16755
419,1024,71419,17079
419,1024,71079,16735
419,1024,69203,16829
419,1024,70899,16928
419,1024,71019,17026
419,1024,71032,16720
419,1024,70847,16797
419,1024,70944,16873
419,1024,71220,16882
419,1024,70705,17033
419,1024,70976,16905
419,1024,70963,16852
419,1024,70998,16812
419,1024,69465,16978
419,1024,70859,16582
419,1024,70922,16883
419,1024,71810,16943
419,1024,71063,16904
438,1024,73748,16908
438,1024,73343,16876
438,1024,73386,16855
438,1024,73538,16886
438,1024,73563,17051
438,1024,73720,16990
438,1024,73773,17076
438,1024,73399,16955
438,1024,73602,16863
438,1024,73473,16903
438,1024,72034,16915
438,1024,73482,16996
438,1024,73758,17094
438,1024,73514,16934
438,1024,72291,17097
438,1024,71920,16856
438,1024,73388,17098
438,1024,73960,17300
438,1024,91773,30246
438,1024,73590,17077
457,1024,78527,17288
457,1024,75849,16997
457,1024,75627,17209
457,1024,76101,17307
457,1024,76182,17063
457,1024,75800,17341
457,1024,75629,17148
457,1024,75728,17316
457,1024,75635,16971
457,1024,75783,17110
457,1024,75822,16944
457,1024,74147,17309
457,1024,75569,16855
457,1024,75854,16989
457,1024,75644,16849
457,1024,76084,16952
457,1024,75607,17110
457,1024,75870,16909
457,1024,75966,16855
457,1024,75551,16951
476,1024,77777,16999
476,1024,77803,17157
476,1024,77933,17130
476,1024,77615,17139
476,1024,77625,17260
476,1024,77971,17247
476,1024,77607,16975
476,1024,77667,17136
476,1024,77521,16992
476,1024,77920,17121
476,1024,77753,17132
476,1024,77904,17047
476,1024,77817,17212
476,1024,77576,16944
476,1024,78005,16884
476,1024,78254,16947
476,1024,78133,17190
476,1024,77897,16987
476,1024,77709,17179
476,1024,76364,17315
495,1024,81407,17404
495,1024,79618,17931
495,1024,79569,17464
495,1024,79764,17127
495,1024,79601,17010
495,1024,79461,17193
495,1024,79574,16844
495,1024,79713,16753
495,1024,79808,17293
495,1024,79619,17108
495,1024,79871,16846
495,1024,79828,17127
495,1024,79631,17031
495,1024,79692,17078
495,1024,80014,17243
495,1024,79499,16949
