Pallet: "staking", Extrinsic: "rebond", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
495,61452,28250
495,61079,28036
495,61280,28076
495,61078,28119
495,61130,28021
495,60983,28054
495,60605,27828
495,61225,27983
495,61237,28166
495,61069,28274
514,62121,28274
514,61916,28305
514,62062,28163
514,61598,28216
514,61845,28162
514,61648,28015
514,62214,28352
514,62385,28182
514,62138,28135
514,61857,28474
514,62004,28441
514,62050,28376
514,61985,27963
514,62069,28181
514,61822,28194
514,62093,28506
514,61557,28251
514,62016,28219
514,61852,28328
514,61924,28060
533,63236,28038
533,62693,28104
533,62713,27840
533,62718,28265
533,62788,28063
533,63136,28268
533,62742,27976
533,62833,28347
533,62765,28196
533,62625,28046
533,62958,28077
533,62709,27951
533,62617,28446
533,62876,28246
533,62916,28322
533,62759,27954
533,62840,27873
533,62693,28209
533,62822,27901
533,62838,28446
552,63695,28023
552,63341,28514
552,63558,28118
552,63414,28241
552,64219,28499
552,63399,28382
552,63860,28369
552,63557,27971
552,63649,28381
552,63546,28173
552,63492,28020
552,63743,28436
552,64003,28222
552,63577,28196
552,63622,28174
552,63673,28418
552,63337,28090
552,63241,27923
552,66771,28524
552,63586,28192
571,64703,28418
571,64128,28203
571,64283,28189
571,64141,28506
571,64783,28111
571,64720,28248
571,64539,28375
571,64866,28295
571,64198,27969
571,63949,28099
571,64167,28166
571,64614,28191
571,64347,28260
571,64180,28131
571,64539,28099
571,64437,28252
571,64056,28319
571,64145,28043
571,63878,28085
571,64469,28468
590,64975,28212
590,65454,28378
590,65104,28116
590,65344,28020
590,65484,28446
590,65253,28254
590,65474,28142
590,64950,28181
590,65470,28163
590,65335,28238
590,65006,27966
590,65134,28017
590,65043,28229
590,65104,28205
590,64890,28117
590,65954,28203
590,64949,28131
590,65423,27850
590,65471,28356
590,65303,28233
609,66485,28614
609,65996,28259
609,66138,28700
609,66182,28310
609,65867,28135
609,66257,28368
609,66111,28280
609,65884,28189
609,65910,28138
609,68578,29041
609,65848,28446
609,66120,28355
609,65964,28359
609,65953,28112
609,66231,28204
609,65501,28020
609,65240,28324
609,65772,28365
609,65940,28438
609,65867,28240
628,66789,27844
628,67027,28024
628,67183,28332
628,66710,28399
628,67217,28684
628,66643,28251
628,66749,28264
628,67063,28370
628,67286,28336
628,66879,28134
628,66639,27984
628,67129,28031
628,67178,27832
628,67223,28248
628,67084,28038
628,66984,28508
628,67062,28368
628,66563,28430
628,66799,28408
628,66458,28182
647,67645,28129
647,67437,28224
647,67733,28185
647,67388,27998
