Pallet: "staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
e,extrinsic_time,storage_root_time
93,14127182,3185317
93,14176379,3160527
93,14347524,3542270
93,14006032,3134764
93,14165409,3175619
93,14320511,3107050
97,14602990,3401193
97,14954894,3284834
97,14983769,3337332
97,15063939,3428101
97,14862030,3335938
97,14789722,3285267
97,14917417,3409973
97,14750469,3270255
97,14768109,3444363
97,14775639,3239657
97,14951968,3370271
97,14865219,3303216
97,15108929,3484626
97,16011101,4279429
97,16537292,3454792
97,14710818,4567586
97,14534120,3232285
97,14659472,3270553
97,16256447,3398981
97,15142819,3304432

Median Slopes Analysis
========

Model:
Time ~=        0
    + e    151.5
              µs

Min Squares Analysis
========

Data points distribution:
    e   mean µs  sigma µs       %
    1     169.4     2.448    1.4%
    5     657.2      11.2    1.7%
    9      1146     23.68    2.0%
   13      1661     21.21    1.2%
   17      2238     26.77    1.1%
   21      2705     22.35    0.8%
   25      3298     21.42    0.6%
   29      3898     39.85    1.0%
   33      4469     32.55    0.7%
   37      5040     42.08    0.8%
   41      5557     61.51    1.1%
   45      6231     38.56    0.6%
   49      6862     59.97    0.8%
   53      7415     44.64    0.6%
   57      8136     96.52    1.1%
   61      8632     33.26    0.3%
   65      9356     49.28    0.5%
   69     10000     102.7    1.0%
   73     10650     77.86    0.7%
   77     11310     109.9    0.9%
   81     11860     89.67    0.7%
   85     12590     81.87    0.6%
   89     13400     61.67    0.4%
   93     14140     99.54    0.7%
   97     14890     93.34    0.6%

Quality and confidence:
param     error
e         0.508

Model:
Time ~=        0
    + e    152.8
              µs

