Pallet: "collective", Extrinsic: "propose_else_branch", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,p,extrinsic_time,storage_root_time
1000,49,289389,116611
1000,49,235083,113953
1000,49,218365,130423
1000,49,246651,113666
1000,49,235128,139458
1000,49,217848,119063
1000,49,249062,117946
1000,49,220714,110754
1000,49,217523,112330
1000,49,231001,114268
1000,49,228026,120643
1000,49,232756,112712
1000,49,216874,113510
1000,49,221468,111759
1000,49,213387,112712
1000,53,225902,116934
1000,53,230260,137186
1000,53,215508,122106
1000,53,223904,122840
1000,53,234592,114596
1000,53,241660,118421
1000,53,225146,117548
1000,53,229040,116124
1000,53,239116,119351
1000,53,227829,119657
1000,53,223487,116467
1000,53,221448,112717
1000,53,221780,112676
1000,53,217318,111057
1000,53,231763,116384
1000,53,229413,117714
1000,53,227034,116170
1000,53,267876,121240
1000,53,224606,116613
1000,53,230686,124080
1000,57,271080,142988
1000,57,222053,112422
1000,57,229849,115221
1000,57,230562,121501
1000,57,230755,116772
1000,57,224521,112745
1000,57,221440,114697
1000,57,226632,115101
1000,57,232783,118328
1000,57,221861,112573
1000,57,222789,112398
1000,57,237666,123252
1000,57,225257,114017
1000,57,239577,118840
1000,57,231343,121869
1000,57,224063,114670
1000,57,250853,124337
1000,57,254777,114193
1000,57,264821,116277
1000,57,250179,115993
1000,61,239350,116365
1000,61,241489,117003
1000,61,231807,124032
1000,61,263046,131717
1000,61,236344,119905
1000,61,345713,125207
1000,61,235938,117789
1000,61,241109,120705
1000,61,240653,128373
1000,61,234081,115355
1000,61,234204,113978
1000,61,252525,121443
1000,61,264799,147218
1000,61,239039,134844
1000,61,233122,117203
1000,61,243126,115896
1000,61,231932,113765
1000,61,237625,118588
1000,61,243048,114024
1000,61,240506,118484
1000,65,235847,114909
1000,65,240563,118711
1000,65,233238,119031
1000,65,240790,124315
1000,65,242775,117033
1000,65,231126,114208
1000,65,279706,121079
1000,65,233910,117542
1000,65,241843,119439
1000,65,240299,120401
1000,65,236804,113776
1000,65,256477,120252
1000,65,274131,121456
1000,65,283102,123907
1000,65,234034,116840
1000,65,242669,129079
1000,65,236776,116479
1000,65,255900,117077
1000,65,236372,114526
1000,65,244403,117396
1000,69,244122,117483
1000,69,249794,110862
1000,69,278248,121667
1000,69,246221,141472
1000,69,239609,147011
1000,69,240421,117772
1000,69,234008,115157
1000,69,240520,114621
1000,69,237620,115918
1000,69,234795,114845
1000,69,247550,111674
1000,69,233022,114353
1000,69,234004,115980
1000,69,246150,117857
1000,69,240153,118540
1000,69,267833,129904
1000,69,235267,117431
1000,69,253982,129873
1000,69,249825,115984
1000,69,234669,114314
1000,73,243738,119579
1000,73,277709,120464
1000,73,244966,130632
1000,73,259411,126827
1000,73,233443,117757
1000,73,234124,127436
1000,73,270058,127006
1000,73,240211,117228
1000,73,264317,146207
1000,73,251057,117396
1000,73,244928,118731
1000,73,249305,142674
1000,73,242565,115476
1000,73,245721,123108
1000,73,252356,121929
1000,73,231409,114786
1000,73,239377,116546
1000,73,244430,121552
1000,73,239721,119352
1000,73,236024,118245
1000,77,247719,121072
1000,77,248168,120287
1000,77,253227,131022
1000,77,261989,118618
1000,77,253842,120480
1000,77,242809,138053
1000,77,241971,119665
1000,77,245751,118737
1000,77,250391,118111
1000,77,256076,121436
1000,77,246671,119706
1000,77,284117,119966
