Pallet: "collective", Extrinsic: "vote_insert", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
534,100,1024,228271,55057
534,100,1024,225388,54353
534,100,1024,225822,54370
534,100,1024,226009,54773
534,100,1024,226325,54671
534,100,1024,225599,54839
534,100,1024,227960,54468
534,100,1024,225899,55120
534,100,1024,227040,55008
534,100,1024,225724,54414
553,100,1024,231511,55260
553,100,1024,229194,55365
553,100,1024,229259,57855
553,100,1024,230899,55012
553,100,1024,231008,54987
553,100,1024,230621,55373
553,100,1024,230440,55112
553,100,1024,231303,54648
553,100,1024,231431,55587
553,100,1024,231914,55017
553,100,1024,230515,54880
553,100,1024,231382,57437
553,100,1024,230369,54864
553,100,1024,231274,55784
553,100,1024,230653,55287
553,100,1024,230986,55063
553,100,1024,234062,55552
553,100,1024,230824,55609
553,100,1024,230997,55108
553,100,1024,231406,55532
572,100,1024,237568,56168
572,100,1024,237990,55643
572,100,1024,240819,56352
572,100,1024,237658,56075
572,100,1024,237861,55912
572,100,1024,237998,55747
572,100,1024,239435,56481
572,100,1024,237363,56066
572,100,1024,237916,55834
572,100,1024,237771,55650
572,100,1024,237736,56101
572,100,1024,239053,56598
572,100,1024,238564,55749
572,100,1024,238017,55696
572,100,1024,238494,56530
572,100,1024,236787,56645
572,100,1024,238673,56630
572,100,1024,237579,55823
572,100,1024,237968,56058
572,100,1024,239657,55961
591,100,1024,241835,56790
591,100,1024,244734,58527
591,100,1024,242907,56772
591,100,1024,243132,56412
591,100,1024,243024,56490
591,100,1024,245254,56201
591,100,1024,240674,56172
591,100,1024,242342,56316
591,100,1024,243465,56236
591,100,1024,242979,56355
591,100,1024,242542,56211
591,100,1024,243155,56832
591,100,1024,244246,58012
591,100,1024,243096,57196
591,100,1024,245440,57216
591,100,1024,243727,56706
591,100,1024,242954,56757
591,100,1024,243355,56671
591,100,1024,243284,59469
591,100,1024,242731,56904
610,100,1024,247627,63328
610,100,1024,248307,56736
610,100,1024,250125,57361
610,100,1024,249749,57057
610,100,1024,246171,57959
610,100,1024,249106,57059
610,100,1024,249822,57509
610,100,1024,249743,57215
610,100,1024,249245,57230
610,100,1024,248671,59735
610,100,1024,248904,57222
610,100,1024,248792,56892
610,100,1024,248481,57167
610,100,1024,248789,57401
610,100,1024,248850,57144
610,100,1024,249945,57159
610,100,1024,248498,57234
610,100,1024,249486,56485
610,100,1024,250472,58907
610,100,1024,249205,57405
629,100,1024,254016,58371
629,100,1024,253986,58271
629,100,1024,255999,57960
629,100,1024,255934,58198
629,100,1024,256649,57839
629,100,1024,255364,57588
629,100,1024,257348,59981
629,100,1024,255801,58203
629,100,1024,256977,59423
629,100,1024,259136,59026
629,100,1024,256791,58493
629,100,1024,256412,58552
629,100,1024,260628,58255
629,100,1024,255117,57756
629,100,1024,255514,57840
629,100,1024,256083,57357
629,100,1024,255975,57923
629,100,1024,255115,57788
629,100,1024,256067,58364
629,100,1024,256112,57725
648,100,1024,262356,62070
648,100,1024,262326,58767
648,100,1024,263261,59116
648,100,1024,262089,59185
648,100,1024,262905,59067
648,100,1024,261980,59292
648,100,1024,261957,58850
648,100,1024,261591,58566
648,100,1024,263184,58614
648,100,1024,262099,57801
648,100,1024,262673,58597
648,100,1024,260724,58825
648,100,1024,263130,58630
648,100,1024,262900,59018
648,100,1024,259477,58434
648,100,1024,262561,58736
648,100,1024,261604,59413
648,100,1024,263055,62005
648,100,1024,261912,58986
648,100,1024,290062,59483
667,100,1024,269029,59931
667,100,1024,266234,60354
667,100,1024,269172,59798
667,100,1024,268181,59693
667,100,1024,268289,59508
667,100,1024,269168,59955
667,100,1024,269057,60276
667,100,1024,268439,62262
667,100,1024,266415,59905
667,100,1024,267910,59675
667,100,1024,265005,59622
667,100,1024,269067,59703
667,100,1024,269062,59548
667,100,1024,268954,59923
667,100,1024,267738,59036
667,100,1024,268926,59938
667,100,1024,268741,59825
667,100,1024,267978,62626
667,100,1024,268400,59263
667,100,1024,268847,59967
686,100,1024,292098,61156
686,100,1024,291323,60013
686,100,1024,292192,60515
686,100,1024,291515,61168
686,100,1024,292820,63596
686,100,1024,329780,61565
686,100,1024,291370,60259
686,100,1024,291007,60236
686,100,1024,290469,60339
686,100,1024,291462,59915
686,100,1024,291427,60569
686,100,1024,291951,59808
686,100,1024,291410,60339
686,100,1024,295150,60759
686,100,1024,291235,60431
686,100,1024,290999,60246
686,100,1024,292418,60269
686,100,1024,292950,63340
686,100,1024,290908,61336
686,100,1024,291121,60079
705,100,1024,296273,61344
705,100,1024,297161,60958
705,100,1024,296596,60260
705,100,1024,296741,60565
705,100,1024,294763,60982
705,100,1024,296987,60789
705,100,1024,296614,60418
705,100,1024,297195,60929
705,100,1024,296374,60698
705,100,1024,297078,60498
705,100,1024,297345,61099
705,100,1024,297184,61143
705,100,1024,296544,61243
705,100,1024,297680,61131
705,100,1024,295852,61023
705,100,1024,296306,61008
705,100,1024,297766,61706
705,100,1024,296320,61057
705,100,1024,296382,60735
705,100,1024,296590,60367
724,100,1024,302991,61386
724,100,1024,303264,61405
724,100,1024,304238,61892
724,100,1024,303458,62606
724,100,1024,303647,61353
724,100,1024,303432,61575
724,100,1024,303282,62037
724,100,1024,300334,62168
724,100,1024,304010,62152
724,100,1024,302529,92559
724,100,1024,307329,62058
724,100,1024,304024,62251
724,100,1024,304040,61777
724,100,1024,305133,62414
724,100,1024,305203,62199
724,100,1024,300786,61751
724,100,1024,302990,61778
724,100,1024,303659,62325
724,100,1024,303091,61640
724,100,1024,303567,61498
743,100,1024,312523,62639
743,100,1024,305894,62493
743,100,1024,306251,62469
743,100,1024,309214,62196
743,100,1024,310389,62576
743,100,1024,309542,62668
743,100,1024,307173,62687
743,100,1024,306674,62333
743,100,1024,309057,62058
743,100,1024,309332,62725
743,100,1024,310441,62602
743,100,1024,310080,61991
743,100,1024,310172,62787
743,100,1024,309621,62180
743,100,1024,306683,62628
743,100,1024,310164,62222
743,100,1024,310196,62454
743,100,1024,309734,62344
743,100,1024,310034,62674
743,100,1024,310389,62678
762,100,1024,313900,62555
762,100,1024,314524,63370
762,100,1024,314605,63347
762,100,1024,314182,62790
762,100,1024,316720,62982
762,100,1024,313841,62726
762,100,1024,314595,62982
762,100,1024,311835,63064
762,100,1024,312196,62907
