Pallet: "staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,9,348397328,186444
10,9,348576620,189212
10,9,348791111,186936
10,9,348450177,184315
10,9,348672671,183889
10,10,357897809,186174
10,10,356802030,186708
10,10,356188148,185133
10,10,355993426,184241
10,10,356294818,205918
10,10,355825467,188194
10,10,355462335,189988
10,10,357114341,185122
10,10,356291007,187350
10,10,357873071,185030
10,10,357089269,185255
10,10,356772752,185907
10,10,356366633,185471
10,10,356797085,186890
10,10,356303113,187608
10,10,355856798,189549
10,10,357585963,195470
10,10,356516585,186838
10,10,357263765,188579
10,10,357583579,191963
10,11,346086863,188068
10,11,347489890,188514
10,11,345513592,188647
10,11,356279534,190513
10,11,348011391,188318
10,11,347888256,196300
10,11,348154450,188365
10,11,346901076,186636
10,11,347382988,193415
10,11,347837406,187945
10,11,346374697,186307
10,11,347437789,185741
10,11,346427020,185917
10,11,348624733,213982
10,11,347792669,189406
10,11,356195076,186211
10,11,348620308,187841
10,11,347611420,189483
10,11,346466763,189895
10,11,348363787,188842
10,12,353811736,191925
10,12,355151957,191036
10,12,353398847,188114
10,12,354578799,186077
10,12,354988582,190687
10,12,354550408,188454
10,12,363467480,189899
10,12,355073536,185944
10,12,355981304,186391
10,12,353741034,185507
10,12,354940491,187397
10,12,353542306,187883
10,12,353893268,188294
10,12,354012697,188550
10,12,353977830,186928
10,12,362826483,186096
10,12,355013504,189038
10,12,356696015,186483
10,12,352740562,187588
10,12,354739717,186559
10,13,354341717,188403
10,13,354967993,187543
10,13,355573095,189448
10,13,354334162,188439
10,13,355364400,189069
10,13,354930718,188709
10,13,355646008,190275
10,13,354844517,191417
10,13,354193801,190461
10,13,355228918,189966
10,13,354961043,191308
10,13,355579098,190643
10,13,355352410,190938
10,13,365812687,191308
10,13,364583013,186299
10,13,364266570,190087
10,13,363736113,189588
10,13,354261223,187878
10,13,355761038,189156
10,13,355030812,187520
10,14,350372732,188800
10,14,350144779,188257
10,14,352355453,190498
10,14,349493968,192536
10,14,350869861,188548
10,14,351648470,188058
10,14,351055903,187354
10,14,353093051,188094
10,14,351462279,191745
10,14,351080351,187393
10,14,350144492,187713
10,14,351577517,187652
10,14,349729376,187243
10,14,350737140,188361
10,14,352355336,188292
10,14,351639684,187872
10,14,350724239,187774
10,14,349652879,188257
10,14,350003664,188611
10,14,352216502,189406
10,15,360811419,189471
10,15,360125107,189176
10,15,360111315,190794
10,15,361432910,187554
10,15,359757633,189944
10,15,360875103,189205
10,15,360702301,188857
10,15,361516427,189174
10,15,362196397,185435
10,15,361473763,188888
10,15,361741091,188306
10,15,360739458,189799
10,15,360793710,191557
10,15,361341075,189238
10,15,360740045,187983
10,15,360785024,190984
10,15,361947119,189569
10,15,360928346,189222
10,15,360032104,189544
10,15,360979122,188801
10,16,351333667,191624
10,16,350255029,196231
10,16,350149692,191595
10,16,350522917,191303
10,16,350652086,192381
10,16,351247358,190477
10,16,351315518,192451
10,16,352169915,190872
10,16,349963804,194196
10,16,350695195,193366
10,16,350515911,189244
10,16,350086358,191502
10,16,350259622,192199
10,16,350982366,191764
10,16,350288180,192735
10,16,351197491,193445
10,16,350540830,192293
10,16,350334189,192501
10,16,350403602,191062
10,16,350296885,191974
10,17,355565060,191533
10,17,355202077,189230
10,17,356851943,190476
10,17,356895278,197128
10,17,355454367,191696
10,17,355574124,189732
10,17,355059032,190907
10,17,356365085,191511
10,17,355266000,191706
10,17,355899721,192328
10,17,355158128,191070
10,17,354965701,189810
10,17,355735536,189126
10,17,355904238,191502
10,17,354726380,190947
10,17,355583381,193394
10,17,356403609,193230
10,17,355931651,192214
10,17,355036112,193199
10,17,355206174,187833
10,18,352856913,190456
10,18,353246550,190535
10,18,355230941,190189
10,18,365001951,192413
10,18,355570434,192318
10,18,354600977,189371
10,18,354099811,189666
10,18,355815686,192398
10,18,363161605,190787
10,18,355456467,189855
10,18,354231039,190332
10,18,354157686,191273
10,18,354004373,188619
10,18,364877953,189538
10,18,355473679,190674
10,18,354228752,191235
10,18,352710077,190737
10,18,354010369,190714
10,18,363867778,192484
10,18,353999626,189940
10,19,365263818,193796
10,19,357268973,192949
10,19,355883321,192698
10,19,354813051,191109
10,19,355667546,194231
10,19,355843372,192034
10,19,355035294,192451
10,19,365712204,194758
10,19,355929338,192219
10,19,356713030,189644
10,19,355402752,192827
10,19,357173315,194459
10,19,355582827,190828
10,19,356811233,192964
10,19,355987550,191273
10,19,355698127,191230
10,19,355248682,189920
10,19,355936402,191511
10,19,366229658,191299
10,19,355454287,190737
10,20,353020008,192780
10,20,354177085,196913
10,20,354670196,191402
10,20,353093836,191091
10,20,354477819,191525
10,20,354248166,189460
10,20,354982745,191777
10,20,354903463,190911
10,20,354622036,190615
10,20,353508443,191620
10,20,353906355,187632
10,20,354984644,193391
10,20,353598166,191365
10,20,354841170,190756
10,20,354845332,192582
10,20,354028902,192532
10,20,354792763,192198
10,20,353949233,190930
10,20,353719923,192228
10,20,353854610,189861
10,21,349858165,190240
