Pallet: "treasury", Extrinsic: "tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
38,49727,10877
38,50009,10556
38,49224,10424
38,49824,10538
38,49198,10490
38,49108,10827
38,49088,10342
38,49427,10678
38,49823,10558
38,49546,10559
38,49456,10606
38,49309,10509
38,48784,10499
38,49413,10437
38,49469,10482
39,50569,10687
39,49492,10474
39,50291,10399
39,50236,10529
39,50073,10543
39,50206,10387
39,49438,10359
39,50534,10553
39,67826,23329
39,49677,10375
39,50124,10349
39,50156,10363
39,50038,10447
39,50275,10369
39,49655,10522
39,49584,10564
39,49761,10292
39,50377,10378
39,49634,10419
39,49171,10477
40,51092,10888
40,50586,11143
40,50948,11458
40,51294,11331
40,50654,11314
40,51407,11503
40,51405,11705
40,51038,11402
40,50899,11558
40,51016,11450
40,51097,11263
40,50827,10707
40,51361,10696
40,51289,10726
40,51408,10774
40,50948,10618
40,51136,10703
40,51040,10440
40,50741,10560
40,51297,10773
41,51470,10758
41,51126,10792
41,51609,10936
41,51581,10781
41,51824,10725
41,51407,10697
41,51005,10624
41,51188,10839
41,81808,10943
41,50984,11361
41,51655,11471
41,51354,11237
41,51264,11198
41,51437,11496
41,51025,11113
41,51015,11419
41,51542,11419
41,51220,11333
41,51773,11200
41,51222,11309
42,53835,12590
42,53953,11746
42,53830,10859
42,54323,11117
42,53885,11740
42,54378,11624
42,54309,11806
42,54403,11075
42,53703,11129
42,54326,10975
42,54020,11066
42,54105,11130
42,53786,10963
42,54550,11166
42,53838,10867
42,53897,11086
42,53930,11691
42,54254,11504
42,54307,11702
42,53670,11041
43,55029,11692
43,54776,11585
43,53810,11664
43,54448,11522
43,54026,11729
43,54168,11468
43,54523,11625
43,54227,11547
43,54752,11357
43,54332,11565
43,54771,10562
43,53942,10557
43,54441,11240
43,54727,11616
43,54549,11438
43,54075,11563
43,54450,11503
43,54454,11412
43,54282,11296
43,54512,11313
44,55505,12354
44,55613,12265
44,55468,12289
44,55402,12466
44,55660,12392
44,58128,12420
44,55263,12296
44,55707,12332
44,55505,12347
44,55352,12319
44,56018,11332
44,55409,11444
44,55625,11336
44,55072,12145
44,55424,12457
44,55583,12286
44,58726,12458
44,54866,12214
44,56371,12312
44,55526,12268
45,55159,11711
45,55206,11477
45,55654,11420
45,55763,11923
45,55300,11450
45,55886,11488
45,55619,11558
45,55335,11513
45,55644,11372
45,55811,11522
45,55349,11677
45,55517,11456
45,55152,11530
45,55386,11422
45,55147,11573
45,56075,11317
45,55479,11554
45,55957,11618
45,55352,11502
45,55101,11631
46,56574,12681
46,56839,12361
46,57415,12529
46,56848,12596
46,56977,12321
46,56910,12229
46,56682,12527
46,56536,12296
46,56785,12512
46,60591,12870
46,56379,12221
46,56991,12470
46,56946,12247
46,56534,12073
46,56275,12236
46,56855,12315
46,56609,12354
46,56883,12198
46,56546,12118
46,57451,12313
47,56841,11586
47,56834,11397
47,56232,11573
47,56650,11718
47,56303,11538
47,56341,11433
47,56739,11413
47,56389,11420
47,57014,11560
47,56589,11342
47,56597,11467
47,56442,11475
47,57165,11731
47,56573,11515
47,57145,11616
47,56559,11483
47,56909,11519
47,56202,11495
47,56337,11666
47,56897,11528
48,57434,11643
48,57067,11219
48,57428,11691
48,56718,11484
48,59985,11607
48,57068,11496
48,57372,11402
48,57256,11405
48,57051,11577
48,56884,11567
48,57692,11613
48,57443,11623
48,57081,11425
48,57327,11586
48,57134,11521
48,57242,11752
48,56534,11295
48,56523,11511
48,57213,11638
48,56955,11374
49,58099,10895
49,57280,10777
49,57819,10967
49,58146,10700
49,57235,10799
49,57360,10859
49,56890,10973
49,57717,10863
49,57534,10799
49,57504,11147
49,56807,10697
49,56999,10772
49,58103,10795
49,57709,10940
49,57054,10704
49,57314,10667
49,84882,10965
49,57837,10803
49,57021,10994
49,57470,10857
50,58338,11470
50,58310,11330
50,59188,11377
50,58227,11502
50,58613,11678
50,58270,11418
50,58093,11406
50,58217,11290
50,58355,11566
50,58558,11583
50,58016,11496
50,58471,11542
50,58410,11468
50,57938,11376
50,58192,11415
50,58321,11454
50,58466,11571
50,59018,11684
50,58687,11294
50,61607,13744
51,59567,11045
51,59756,10783
51,59722,10815
51,58940,10820
51,59557,11692
51,59601,11296
51,59726,10901
51,59609,10849
51,59391,10687
51,59636,10829
51,59722,10841
51,58988,10868
51,59177,10779
51,59775,10822
51,62327,10995
51,59065,10767
51,59396,11572
51,59796,11528
51,59677,10988
51,59306,10648
52,60090,11093
52,59762,10704
52,59160,10868
52,59214,10808
52,59655,10529
52,60166,10616
52,59592,10491
52,59114,10691
52,59165,10797
52,58783,10713
52,59446,10691
52,59308,10755
52,59656,10887
52,59738,10776
52,60018,10283
52,60086,10293
52,59657,10216
52,59193,10739
52,59674,10925
52,59853,10717
53,60699,11451
53,61191,10885
53,60424,10801
53,60807,11087
53,60442,11139
53,60486,10916
53,60904,11238
53,61282,10825
53,59904,12668
53,60988,11972
53,61184,10905
53,59691,11643
53,60824,11666
53,60787,10564
53,60333,11345
53,60723,10817
53,61133,10733
53,60095,10884
53,60739,10824
