Pallet: "elections", Extrinsic: "report_defunct_voter_incorrect", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,c,extrinsic_time,storage_root_time
20,10,81795,61554
20,10,82626,61459
20,10,82572,60772
20,10,82391,61072
20,10,82882,61492
20,10,82411,61557
20,10,82065,61505
20,10,81991,60785
20,10,83395,61627
20,10,82648,61459
20,11,82413,61692
20,11,82718,61607
20,11,83190,61921
20,11,83658,60776
20,11,83475,61113
20,11,82609,61562
20,11,82242,64986
20,11,82749,61197
20,11,83278,61844
20,11,83472,62393
20,11,82835,61727
20,11,83031,61371
20,11,83424,61647
20,11,82559,62629
20,11,82045,62026
20,11,83171,61124
20,11,82672,61656
20,11,82950,62026
20,11,82509,62198
20,11,82845,61444
20,12,83285,61864
20,12,83569,61561
20,12,83306,61877
20,12,82923,61109
20,12,83973,62006
20,12,84348,61093
20,12,82665,62051
20,12,83204,61559
20,12,83238,61577
20,12,83080,61626
20,12,83541,61771
20,12,82634,61383
20,12,83275,61074
20,12,82426,61510
20,12,82373,61436
20,12,83501,61659
20,12,83355,61558
20,12,81779,61865
20,12,82996,61009
20,12,82651,61823
20,13,83946,61399
20,13,83947,61601
20,13,83041,61629
20,13,83218,61562
20,13,82748,61391
20,13,83097,61850
20,13,83926,61681
20,13,83883,61587
20,13,83556,61691
20,13,84441,62054
20,13,86926,62310
20,13,82705,61601
20,13,84297,61150
20,13,83625,61919
20,13,85108,62231
20,13,83743,61489
20,13,83110,62118
20,13,82834,61765
20,13,83774,61366
20,13,84319,61831
20,14,83124,61998
20,14,83489,61916
20,14,83229,61642
20,14,83590,61475
20,14,83646,61475
20,14,83736,61185
20,14,83766,61913
20,14,83783,61710
20,14,83083,61427
20,14,83284,61928
20,14,83216,61855
20,14,82427,62160
20,14,83540,61498
20,14,83319,62266
20,14,83703,62212
20,14,83892,61592
20,14,83424,79888
20,14,83936,61804
20,14,83520,61892
20,14,83676,61838
20,15,83355,61574
20,15,83386,61942
20,15,83403,62102
20,15,83581,61747
20,15,84575,62419
20,15,92794,62546
20,15,84139,62118
20,15,83525,62046
20,15,84526,61863
20,15,83959,62106
20,15,83163,62200
20,15,83373,61538
20,15,83568,61624
20,15,83134,61376
20,15,84409,62267
20,15,83439,61970
20,15,83556,61791
20,15,83380,61583
20,15,83780,61762
20,15,83830,61493
20,16,84125,62045
20,16,84091,62383
20,16,83998,62106
20,16,82928,61458
20,16,84206,62135
20,16,83210,62064
20,16,84637,61829
20,16,84109,61366
20,16,84848,61761
20,16,83710,61779
20,16,83853,61570
20,16,83516,61641
20,16,84245,62008
20,16,84051,61634
20,16,83943,61965
20,16,83467,61845
20,16,83670,61858
20,16,83605,61691
20,16,85111,61393
20,16,83716,62126

Median Slopes Analysis
========

Model:
Time ~=    73.53
    + m    0.328
    + c    0.257
              µs

Min Squares Analysis
========

Data points distribution:
    m     c   mean µs  sigma µs       %
    0    16     77.28     0.111    0.1%
