Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
29,16,247800,67595
29,16,247594,68121
29,16,247450,68557
29,16,247842,67910
29,16,249028,67283
29,16,248215,66979
29,16,247887,68944
29,16,247993,68311
29,16,248536,67764
29,16,248687,67581
29,16,248290,68535
29,16,247969,68979
29,16,247208,68238
29,16,247304,68639
30,16,250645,68821
30,16,247883,68664
30,16,249798,68345
30,16,248813,69640
30,16,249464,68333
30,16,249701,68851
30,16,248597,68973
30,16,249238,68702
30,16,249027,69840
30,16,248537,69306
30,16,248091,69376
30,16,252192,69225
30,16,248541,68958
30,16,249745,66621
30,16,249363,68755
30,16,249344,68584
30,16,251238,62463
30,16,248524,68692
30,16,249281,68677
30,16,249189,68880
31,16,251986,67407
31,16,251497,66707
31,16,251293,69785
31,16,251148,68133
31,16,252902,62427
31,16,251464,66889
31,16,252329,67513
31,16,250352,68646
31,16,251238,68662
31,16,253244,63044
31,16,252836,67024
31,16,251749,67401
31,16,252461,67404
31,16,254354,66692
31,16,251457,67036
31,16,251259,69002
31,16,250375,69151
31,16,252675,67079
31,16,250497,68670
31,16,252472,66852
32,16,259776,63089
32,16,256624,63172
32,16,256637,62699
32,16,256129,62795
32,16,257510,62285
32,16,256721,62459
32,16,257348,63419
32,16,257867,62647
32,16,257354,62503
32,16,257324,63308
32,16,258155,62304
32,16,256845,62765
32,16,257421,63078
32,16,257111,63165
32,16,257852,63158
32,16,257009,63017
32,16,257718,62939
32,16,260467,63004
32,16,257741,63445
32,16,258343,63183
33,16,262062,62196
33,16,262338,62653
33,16,260857,62801
33,16,261889,63236
33,16,263313,62705
33,16,262231,62538
33,16,261952,62979
33,16,261286,62981
33,16,260737,62496
33,16,260557,63081
33,16,261628,63198
33,16,261297,63308
33,16,261762,63286
33,16,265841,62521
33,16,262181,63223
33,16,260970,62878
33,16,265079,62882
33,16,262540,63081
33,16,261091,62854
33,16,262620,63108
34,16,263312,62547
34,16,263443,62942
34,16,263316,62398
34,16,262987,62679
34,16,264544,62899
34,16,264265,62996
34,16,263740,62763
34,16,262745,62974
34,16,263783,62944
34,16,264001,62960
34,16,263587,63525
34,16,264269,62666
34,16,263631,62854
34,16,264791,62696
34,16,264118,62720
34,16,263111,62747
34,16,263784,63194
34,16,264329,62759
34,16,263581,62656
34,16,262904,62497
35,16,264435,62191
35,16,264660,62324
35,16,264695,63080
35,16,269429,63761
35,16,264719,63053
35,16,264805,62827
35,16,274115,63450
35,16,263422,62560
35,16,264746,62293
35,16,265641,62946
35,16,265143,62889
35,16,264849,62306
35,16,264832,62791
35,16,263949,63419
35,16,264028,62232
35,16,264241,63062
35,16,263253,62518
35,16,264935,62984
35,16,266260,63575
35,16,265051,62923
36,16,266691,63250
36,16,267618,62536
36,16,266765,62838
36,16,267489,65834
36,16,268808,62422
36,16,269414,63221
36,16,270204,63220
36,16,267429,63427
36,16,267550,62931
36,16,267102,62558
36,16,267300,63124
36,16,267668,62812
36,16,266123,63278
36,16,266492,62601
36,16,267547,62390
36,16,266536,62563
36,16,267665,63011
36,16,271019,63133
36,16,266335,63452
36,16,267480,63061
37,16,270065,63316
37,16,267499,62664
37,16,267061,62754
37,16,268967,62075
37,16,268161,63617
37,16,268310,66218
37,16,267530,63180
37,16,268866,62944
37,16,269963,63360
37,16,268499,63147
37,16,268670,63199
37,16,267880,62526
37,16,268619,62837
37,16,268902,66423
37,16,268435,62111
37,16,267555,63058
37,16,268936,62777
37,16,268489,62733
37,16,268115,62552
37,16,269169,62471
38,16,270674,62829
38,16,275661,62941
38,16,271372,63190
38,16,272223,63230
38,16,270827,63481
38,16,271164,63551
38,16,269708,63046
38,16,270646,63098
38,16,271543,63312
38,16,271819,62502
38,16,270753,63465
38,16,271825,62023
38,16,272100,62430
38,16,270218,62782
38,16,273180,63529
38,16,271603,62838
38,16,272324,62994
38,16,272196,62719
38,16,270777,62747
38,16,273649,62356
39,16,273457,63233
39,16,268954,62897
39,16,271424,62936
39,16,272367,62654
39,16,275032,63453
39,16,272679,63169
39,16,298972,62906
39,16,272029,62500
39,16,272649,62804
39,16,272735,63720
39,16,272372,62534
39,16,272662,62985
39,16,271933,63423
39,16,272558,63101
39,16,271646,63369
39,16,271875,62631
39,16,271150,63553
39,16,272033,63038
39,16,271254,62583
39,16,271966,63537
40,16,270863,63600
40,16,270213,63570
40,16,269650,62664
40,16,269499,62969
40,16,270249,63085
40,16,270570,63037
