Pallet: "balances", Extrinsic: "transfer", Steps: 100, Repeat: 10
E,U,time
785,500,600000
785,500,621000
785,500,597000
785,500,657000
785,500,601000
785,500,604000
785,500,615000
785,500,587000
785,500,609000
794,500,656000
794,500,585000
794,500,608000
794,500,602000
794,500,614000
794,500,637000
794,500,610000
794,500,930000
794,500,721000
794,500,646000
803,500,602000
803,500,577000
803,500,613000
803,500,783000
803,500,598000
803,500,579000
803,500,586000
803,500,593000
803,500,610000
803,500,583000
812,500,590000
812,500,582000
812,500,597000
812,500,603000
812,500,597000
812,500,599000
812,500,627000
812,500,609000
812,500,595000
812,500,591000
821,500,603000
821,500,613000
821,500,608000
821,500,604000
821,500,617000
821,500,599000
821,500,591000
821,500,662000
821,500,589000
821,500,622000
830,500,597000
830,500,604000
830,500,618000
830,500,616000
830,500,605000
830,500,632000
830,500,591000
830,500,645000
830,500,617000
830,500,609000
839,500,591000
839,500,640000
839,500,692000
839,500,836000
839,500,678000
839,500,585000
839,500,586000
839,500,605000
839,500,657000
839,500,749000
848,500,736000
848,500,727000
848,500,612000
848,500,615000
848,500,612000
848,500,664000
848,500,633000
848,500,604000
848,500,619000
848,500,609000
857,500,598000
857,500,642000
857,500,601000
857,500,599000
857,500,586000
857,500,606000
857,500,599000
857,500,606000
857,500,598000
857,500,603000
866,500,628000
866,500,652000
866,500,665000
866,500,615000
866,500,627000
866,500,626000
866,500,613000
866,500,622000
866,500,639000
866,500,670000
875,500,599000
875,500,607000
875,500,616000
875,500,603000
875,500,606000
875,500,619000
875,500,617000
875,500,607000
875,500,584000
875,500,761000
884,500,606000
884,500,826000
884,500,598000
884,500,784000
884,500,610000
884,500,607000
884,500,699000
884,500,618000
884,500,660000
884,500,606000
893,500,623000
893,500,881000
893,500,633000
893,500,651000
893,500,629000
893,500,608000
893,500,656000
893,500,627000
893,500,646000
893,500,748000
902,500,640000
902,500,620000
902,500,628000
902,500,619000
902,500,611000
902,500,613000
902,500,600000
902,500,606000
902,500,607000
902,500,614000
911,500,647000
911,500,603000
911,500,603000
911,500,612000
911,500,610000
911,500,621000
911,500,622000
911,500,610000
911,500,606000
911,500,685000
920,500,577000
920,500,608000
920,500,618000
920,500,610000
920,500,600000
920,500,602000
920,500,610000
920,500,615000
920,500,606000
920,500,615000
929,500,604000
929,500,600000
929,500,627000
929,500,665000
929,500,602000
929,500,655000
929,500,660000
929,500,611000
929,500,599000
929,500,635000
938,500,605000
938,500,599000
938,500,801000
938,500,600000
938,500,560000
938,500,593000
938,500,609000
938,500,656000
938,500,594000
938,500,597000
947,500,710000
947,500,650000
947,500,587000
947,500,736000
947,500,601000
947,500,588000
947,500,608000
947,500,673000
947,500,605000
947,500,621000
956,500,612000
956,500,697000
956,500,615000
956,500,655000
956,500,640000
956,500,636000
956,500,618000
956,500,599000
956,500,622000
956,500,608000
965,500,620000
965,500,621000
965,500,587000
965,500,611000
965,500,553000
965,500,599000
965,500,585000
965,500,604000
965,500,597000
965,500,602000
974,500,600000
974,500,578000
974,500,649000
974,500,594000
974,500,599000
974,500,598000
974,500,633000
974,500,592000
974,500,597000
974,500,605000
983,500,619000
983,500,629000
983,500,614000
983,500,626000
983,500,601000
983,500,615000
983,500,675000
983,500,588000
983,500,618000
983,500,666000
501,1,603000
501,1,588000
501,1,594000
501,1,607000
501,1,605000
501,1,607000
501,1,619000
501,1,608000
501,1,584000
501,1,605000
501,10,616000
501,10,582000
501,10,609000
501,10,600000
501,10,598000
501,10,624000
501,10,609000
501,10,578000
501,10,590000
501,10,595000
501,19,615000
501,19,637000
501,19,594000
501,19,623000
501,19,628000
501,19,615000
501,19,644000
501,19,844000
501,19,646000
501,19,614000
501,28,587000
501,28,613000
501,28,625000
501,28,604000
501,28,570000
501,28,706000
501,28,582000
501,28,657000
501,28,600000
501,28,626000
501,37,620000
501,37,627000
501,37,613000
501,37,654000
501,37,618000
501,37,607000
501,37,619000
501,37,623000
501,37,647000
501,37,617000
501,46,591000
501,46,667000
501,46,596000
501,46,579000
501,46,597000
501,46,803000
501,46,587000
501,46,604000
501,46,602000
501,46,592000
501,55,612000
501,55,654000
501,55,559000
501,55,640000
501,55,584000
501,55,586000
501,55,597000
501,55,604000
501,55,586000
501,55,594000
501,64,596000
501,64,594000
501,64,593000
501,64,590000
501,64,606000
501,64,608000
501,64,618000
501,64,602000
501,64,587000
501,64,654000
501,73,615000
501,73,619000
501,73,591000
501,73,598000
501,73,573000
501,73,609000
501,73,613000
501,73,591000
501,73,586000
501,73,580000
501,82,611000
501,82,593000
501,82,632000
501,82,609000
501,82,646000
501,82,587000
501,82,610000
501,82,700000
501,82,587000
501,82,591000
501,91,601000
501,91,607000
501,91,592000
501,91,610000
501,91,587000
501,91,621000
501,91,605000
501,91,604000
501,91,618000
501,91,632000
501,100,615000
501,100,613000
501,100,592000
501,100,597000
501,100,596000
501,100,620000
501,100,627000
501,100,663000
501,100,580000
501,100,600000
501,109,628000
501,109,593000
501,109,783000
501,109,639000
501,109,622000
501,109,565000
501,109,974000
501,109,597000
501,109,608000
501,109,825000
501,118,622000
501,118,596000
501,118,704000
501,118,693000
501,118,616000
501,118,598000
501,118,594000
501,118,594000
501,118,592000
501,118,637000
501,127,1096000
501,127,618000
501,127,634000
501,127,614000
501,127,651000
501,127,586000
501,127,659000
501,127,686000
501,127,608000
501,127,664000
501,136,615000
501,136,611000
501,136,613000
501,136,607000
501,136,611000
501,136,605000
501,136,601000
501,136,613000
501,136,604000
501,136,604000
501,145,675000
501,145,696000
501,145,624000
501,145,620000
501,145,935000
501,145,773000
501,145,613000
501,145,722000
501,145,599000
501,145,810000
501,154,801000
501,154,670000
501,154,622000
501,154,676000
501,154,593000
501,154,602000
501,154,649000
501,154,594000
501,154,629000
501,154,603000
501,163,651000
501,163,771000
501,163,585000
501,163,606000
501,163,590000
501,163,584000
501,163,635000
501,163,639000
501,163,595000
501,163,617000
501,172,596000
501,172,585000
501,172,602000
501,172,580000
501,172,744000
501,172,600000
501,172,596000
501,172,599000
501,172,602000
501,172,596000
501,181,669000
501,181,604000
501,181,612000
501,181,585000
501,181,618000
501,181,606000
501,181,597000
501,181,598000
501,181,605000
501,181,587000
501,190,590000
501,190,593000
501,190,600000
501,190,607000
501,190,603000
501,190,667000
501,190,601000
501,190,599000
501,190,582000
501,190,620000
501,199,582000
501,199,606000
501,199,569000
501,199,614000
501,199,602000
501,199,581000
501,199,615000
501,199,588000
501,199,600000
501,199,725000
501,208,617000
501,208,624000
501,208,661000
501,208,649000
501,208,611000
501,208,582000
501,208,594000
501,208,589000
501,208,614000
501,208,594000
501,217,596000
501,217,601000
501,217,594000
501,217,653000
501,217,589000
501,217,620000
501,217,620000
501,217,602000
501,217,598000
501,217,602000
501,226,609000
501,226,602000
501,226,594000
501,226,614000
501,226,599000
501,226,594000
501,226,612000
501,226,637000
501,226,590000
501,226,603000
501,235,604000
501,235,613000
501,235,601000
501,235,611000
501,235,608000
501,235,602000
501,235,678000
501,235,601000
501,235,598000
501,235,588000
501,244,602000
501,244,584000
501,244,608000
501,244,608000
501,244,601000
501,244,603000
