Pallet: "pallet-identity", Extrinsic: "cancel_request", Steps: 10, Repeat: 100
R,X,time
8,50,489000
8,50,489000
8,50,478000
8,50,489000
8,50,484000
8,50,534000
8,50,485000
8,50,487000
8,50,532000
8,50,471000
8,50,475000
8,50,467000
8,50,480000
8,50,491000
8,50,524000
8,50,479000
8,50,485000
8,50,485000
8,50,479000
8,50,478000
8,50,490000
8,50,576000
8,50,481000
8,50,529000
8,50,484000
8,50,484000
8,50,499000
8,50,477000
8,50,520000
8,50,498000
8,50,528000
8,50,483000
8,50,491000
8,50,527000
8,50,477000
8,50,492000
8,50,483000
8,50,497000
9,50,490000
9,50,487000
9,50,482000
9,50,487000
9,50,484000
9,50,484000
9,50,569000
9,50,489000
9,50,484000
9,50,461000
9,50,478000
9,50,505000
9,50,483000
9,50,528000
9,50,551000
9,50,488000
9,50,504000
9,50,482000
9,50,485000
9,50,483000
9,50,526000
9,50,482000
9,50,534000
9,50,517000
9,50,474000
9,50,473000
9,50,521000
9,50,487000
9,50,539000
9,50,498000
9,50,493000
9,50,474000
9,50,509000
9,50,491000
9,50,539000
9,50,481000
9,50,483000
9,50,483000
9,50,486000
9,50,492000
9,50,486000
9,50,529000
9,50,487000
9,50,496000
9,50,621000
9,50,492000
9,50,555000
9,50,490000
9,50,478000
9,50,484000
9,50,480000
9,50,486000
9,50,487000
9,50,480000
9,50,485000
9,50,536000
9,50,485000
9,50,474000
9,50,537000
9,50,482000
9,50,522000
9,50,472000
9,50,494000
9,50,485000
9,50,507000
9,50,542000
9,50,515000
9,50,556000
9,50,479000
9,50,480000
9,50,497000
9,50,476000
9,50,472000
9,50,480000
9,50,489000
9,50,598000
9,50,474000
9,50,485000
9,50,486000
9,50,490000
9,50,478000
9,50,498000
9,50,496000
9,50,480000
9,50,546000
9,50,478000
9,50,477000
9,50,496000
9,50,478000
9,50,480000
9,50,485000
9,50,490000
9,50,520000
9,50,479000
9,50,510000
9,50,479000
9,50,470000
9,50,483000
9,50,486000
9,50,491000
10,50,480000
10,50,503000
10,50,478000
10,50,489000
10,50,475000
10,50,520000
10,50,880000
10,50,477000
10,50,854000
10,50,498000
10,50,511000
10,50,486000
10,50,547000
10,50,487000
10,50,510000
10,50,534000
10,50,485000
10,50,490000
10,50,532000
10,50,664000
10,50,512000
10,50,490000
10,50,496000
10,50,510000
10,50,484000
10,50,495000
10,50,483000
10,50,488000
10,50,482000
10,50,487000
10,50,502000
10,50,500000
10,50,495000
10,50,604000
10,50,541000
10,50,487000
10,50,485000
10,50,511000
10,50,490000
10,50,491000
10,50,497000
10,50,539000
10,50,487000
10,50,542000
10,50,481000
10,50,493000
10,50,551000
10,50,478000
10,50,479000
10,50,494000
10,50,472000
10,50,532000
10,50,550000
10,50,492000
10,50,615000
10,50,471000
10,50,491000
10,50,523000
10,50,507000
10,50,484000
10,50,504000
10,50,478000
10,50,507000
10,50,465000
10,50,512000
10,50,486000
10,50,512000
10,50,499000
10,50,505000
10,50,464000
10,50,505000
10,50,521000
10,50,506000
10,50,473000
10,50,494000
10,50,548000
10,50,499000
10,50,536000
10,50,507000
10,50,532000
10,50,486000
10,50,534000
10,50,501000
10,50,503000
10,50,502000
10,50,501000
10,50,491000
10,50,474000
10,50,488000
10,50,506000
10,50,566000
10,50,487000
10,50,532000
10,50,677000
10,50,524000
10,50,488000
10,50,497000
10,50,475000
10,50,490000
10,50,535000
11,50,570000
11,50,481000
11,50,481000
11,50,602000
11,50,538000
11,50,476000
11,50,486000
11,50,482000
11,50,477000
11,50,570000
11,50,487000
11,50,497000
11,50,529000
11,50,538000
