Pallet: "pallet-identity", Extrinsic: "request_judgement", Steps: 10, Repeat: 100
R,X,time
9,50,545000
9,50,540000
9,50,537000
9,50,586000
9,50,550000
9,50,537000
9,50,533000
9,50,589000
9,50,538000
9,50,581000
9,50,536000
9,50,548000
9,50,561000
9,50,550000
9,50,597000
9,50,550000
9,50,568000
9,50,538000
9,50,609000
9,50,643000
9,50,647000
9,50,547000
9,50,554000
9,50,535000
9,50,541000
9,50,541000
9,50,549000
9,50,601000
9,50,594000
9,50,522000
9,50,644000
9,50,531000
10,50,587000
10,50,540000
10,50,549000
10,50,540000
10,50,573000
10,50,540000
10,50,559000
10,50,546000
10,50,562000
10,50,537000
10,50,537000
10,50,519000
10,50,581000
10,50,538000
10,50,640000
10,50,540000
10,50,549000
10,50,604000
10,50,559000
10,50,563000
10,50,543000
10,50,537000
10,50,627000
10,50,536000
10,50,542000
10,50,579000
10,50,554000
10,50,548000
10,50,598000
10,50,547000
10,50,534000
10,50,535000
10,50,567000
10,50,539000
10,50,541000
10,50,545000
10,50,558000
10,50,581000
10,50,651000
10,50,547000
10,50,586000
10,50,536000
10,50,543000
10,50,533000
10,50,600000
10,50,587000
10,50,543000
10,50,570000
10,50,541000
10,50,678000
10,50,568000
10,50,564000
10,50,548000
10,50,552000
10,50,540000
10,50,604000
10,50,540000
10,50,560000
10,50,610000
10,50,550000
10,50,564000
10,50,609000
10,50,650000
10,50,533000
10,50,628000
10,50,550000
10,50,611000
10,50,549000
10,50,596000
10,50,552000
10,50,553000
10,50,629000
10,50,539000
10,50,637000
10,50,543000
10,50,545000
10,50,543000
10,50,538000
10,50,548000
10,50,511000
10,50,533000
10,50,593000
10,50,625000
10,50,531000
10,50,549000
10,50,546000
10,50,526000
10,50,573000
10,50,546000
10,50,541000
10,50,600000
10,50,587000
10,50,555000
10,50,616000
10,50,533000
10,50,547000
10,50,604000
10,50,559000
10,50,556000
10,50,586000
11,50,628000
11,50,536000
11,50,556000
11,50,550000
11,50,552000
11,50,537000
11,50,524000
11,50,601000
11,50,562000
11,50,541000
11,50,545000
11,50,550000
11,50,545000
11,50,626000
11,50,558000
11,50,545000
11,50,542000
11,50,580000
11,50,542000
11,50,627000
11,50,541000
11,50,548000
11,50,605000
11,50,541000
11,50,546000
11,50,542000
11,50,597000
11,50,542000
11,50,545000
11,50,544000
11,50,723000
11,50,584000
11,50,617000
11,50,604000
11,50,562000
11,50,548000
11,50,557000
11,50,619000
11,50,751000
11,50,590000
11,50,525000
11,50,588000
11,50,563000
11,50,557000
11,50,561000
11,50,600000
11,50,716000
11,50,551000
11,50,603000
11,50,560000
11,50,549000
11,50,548000
11,50,548000
11,50,547000
11,50,561000
11,50,563000
11,50,551000
11,50,544000
11,50,550000
11,50,562000
11,50,574000
11,50,554000
11,50,525000
11,50,563000
11,50,600000
11,50,552000
11,50,610000
11,50,544000
11,50,610000
11,50,551000
11,50,541000
11,50,543000
11,50,558000
11,50,567000
11,50,548000
11,50,562000
11,50,564000
11,50,537000
11,50,551000
11,50,551000
11,50,698000
11,50,547000
11,50,619000
11,50,567000
11,50,542000
11,50,530000
11,50,601000
11,50,554000
11,50,554000
11,50,531000
11,50,581000
11,50,558000
11,50,554000
11,50,617000
11,50,691000
11,50,570000
11,50,601000
11,50,704000
11,50,687000
11,50,610000
12,50,568000
12,50,554000
12,50,561000
12,50,703000
12,50,554000
12,50,619000
12,50,593000
12,50,549000
12,50,565000
12,50,588000
12,50,575000
12,50,662000
12,50,612000
12,50,611000
12,50,567000
12,50,557000
12,50,555000
12,50,568000
12,50,548000
12,50,558000
12,50,634000
12,50,561000
12,50,669000
12,50,546000
12,50,560000
12,50,549000
12,50,548000
12,50,528000
12,50,554000
12,50,624000
12,50,690000
12,50,615000
12,50,540000
12,50,617000
12,50,607000
12,50,600000
12,50,548000
12,50,539000
12,50,596000
12,50,549000
12,50,547000
12,50,533000
12,50,545000
12,50,559000
12,50,537000
12,50,578000
12,50,561000
12,50,610000
12,50,616000
12,50,609000
12,50,609000
12,50,608000
12,50,556000
12,50,653000
12,50,563000
12,50,686000
