Pallet: "pallet-identity", Extrinsic: "provide_judgement", Steps: 10, Repeat: 100
R,X,time
37,50,518000
37,50,520000
37,50,519000
37,50,520000
37,50,522000
37,50,522000
37,50,540000
37,50,518000
37,50,522000
37,50,521000
37,50,514000
37,50,510000
37,50,520000
37,50,525000
37,50,541000
37,50,498000
37,50,506000
37,50,564000
37,50,507000
37,50,523000
37,50,504000
37,50,516000
37,50,568000
37,50,521000
37,50,516000
37,50,512000
37,50,495000
37,50,531000
37,50,523000
37,50,525000
37,50,522000
37,50,522000
41,50,529000
41,50,547000
41,50,530000
41,50,535000
41,50,528000
41,50,554000
41,50,529000
41,50,540000
41,50,519000
41,50,538000
41,50,532000
41,50,528000
41,50,526000
41,50,540000
41,50,520000
41,50,536000
41,50,533000
41,50,535000
41,50,532000
41,50,513000
41,50,538000
41,50,535000
41,50,570000
41,50,538000
41,50,536000
41,50,531000
41,50,576000
41,50,547000
41,50,520000
41,50,544000
41,50,534000
41,50,533000
41,50,539000
41,50,582000
41,50,541000
41,50,536000
41,50,541000
41,50,538000
41,50,533000
41,50,530000
41,50,536000
41,50,540000
41,50,537000
41,50,779000
41,50,537000
41,50,541000
41,50,522000
41,50,587000
41,50,540000
41,50,537000
41,50,547000
41,50,533000
41,50,540000
41,50,535000
41,50,523000
41,50,539000
41,50,536000
41,50,517000
41,50,541000
41,50,514000
41,50,509000
41,50,531000
41,50,534000
41,50,529000
41,50,521000
41,50,679000
41,50,536000
41,50,536000
41,50,543000
41,50,540000
41,50,551000
41,50,539000
41,50,538000
41,50,544000
41,50,540000
41,50,534000
41,50,534000
41,50,541000
41,50,538000
41,50,534000
41,50,531000
41,50,539000
41,50,537000
41,50,538000
41,50,584000
41,50,537000
41,50,538000
41,50,530000
41,50,543000
41,50,537000
41,50,540000
41,50,516000
41,50,539000
41,50,538000
41,50,545000
41,50,545000
41,50,779000
41,50,537000
41,50,531000
41,50,545000
45,50,524000
45,50,527000
45,50,533000
45,50,540000
45,50,530000
45,50,533000
45,50,536000
45,50,530000
45,50,533000
45,50,515000
45,50,517000
45,50,688000
45,50,536000
45,50,528000
45,50,522000
45,50,510000
45,50,529000
45,50,531000
45,50,535000
45,50,533000
45,50,529000
45,50,530000
45,50,525000
45,50,534000
45,50,544000
45,50,535000
45,50,542000
45,50,586000
45,50,529000
45,50,511000
45,50,529000
45,50,528000
45,50,528000
45,50,530000
45,50,531000
45,50,536000
45,50,524000
45,50,530000
45,50,530000
45,50,528000
45,50,527000
45,50,531000
45,50,529000
45,50,526000
45,50,538000
45,50,537000
45,50,523000
45,50,534000
45,50,530000
45,50,516000
45,50,532000
45,50,532000
45,50,534000
45,50,530000
45,50,535000
45,50,528000
45,50,540000
45,50,576000
45,50,530000
45,50,531000
45,50,527000
45,50,535000
45,50,524000
45,50,520000
45,50,532000
45,50,525000
45,50,522000
45,50,534000
45,50,516000
45,50,520000
45,50,572000
45,50,602000
45,50,524000
45,50,530000
45,50,525000
45,50,522000
45,50,520000
45,50,525000
45,50,524000
45,50,544000
45,50,545000
45,50,525000
45,50,530000
45,50,532000
45,50,522000
45,50,522000
45,50,523000
45,50,527000
45,50,516000
45,50,527000
45,50,526000
45,50,525000
45,50,517000
45,50,503000
45,50,521000
45,50,531000
45,50,522000
45,50,524000
45,50,526000
45,50,520000
25,1,380000
25,1,383000
25,1,375000
25,1,374000
25,1,372000
25,1,378000
25,1,373000
25,1,378000
25,1,375000
25,1,381000
25,1,377000
25,1,381000
25,1,377000
25,1,372000
25,1,366000
25,1,382000
25,1,374000
25,1,453000
25,1,374000
25,1,380000
25,1,376000
25,1,385000
25,1,390000
25,1,378000
25,1,384000
25,1,377000
25,1,376000
25,1,375000
25,1,385000
25,1,384000
25,1,373000
25,1,381000
25,1,378000
25,1,384000
25,1,364000
25,1,377000
25,1,381000
25,1,380000
25,1,379000
25,1,375000
25,1,387000
25,1,449000
25,1,383000
25,1,366000
25,1,388000
25,1,364000
25,1,378000
25,1,435000
25,1,406000
25,1,379000
25,1,378000
25,1,381000
25,1,377000
25,1,378000
25,1,379000
25,1,378000
25,1,403000
25,1,373000
25,1,375000
25,1,368000
25,1,373000
25,1,386000
25,1,385000
25,1,381000
25,1,379000
25,1,380000
25,1,375000
25,1,384000
25,1,381000
25,1,364000
25,1,386000
25,1,378000
25,1,379000
25,1,388000
25,1,382000
25,1,428000
25,1,423000
25,1,391000
25,1,385000
25,1,352000
25,1,390000
25,1,371000
25,1,404000
25,1,366000
25,1,359000
25,1,381000
25,1,388000
25,1,391000
25,1,381000
25,1,382000
25,1,386000
25,1,381000
25,1,392000
25,1,370000
25,1,376000
25,1,404000
25,1,380000
25,1,393000
25,1,378000
25,1,366000
25,10,399000
25,10,400000
25,10,397000
25,10,401000
25,10,404000
25,10,400000
25,10,416000
25,10,381000
25,10,410000
25,10,406000
25,10,366000
25,10,422000
25,10,399000
25,10,400000
25,10,390000
25,10,400000
25,10,397000
25,10,406000
25,10,403000
25,10,408000
25,10,384000
25,10,399000
25,10,393000
25,10,405000
25,10,398000
25,10,391000
25,10,399000
25,10,408000
25,10,396000
25,10,409000
25,10,402000
25,10,405000
25,10,399000
25,10,422000
25,10,382000
25,10,410000
25,10,402000
25,10,389000
25,10,404000
25,10,403000
25,10,387000
25,10,408000
25,10,406000
25,10,394000
25,10,421000
25,10,378000
25,10,386000
25,10,415000
25,10,404000
25,10,397000
25,10,394000
25,10,409000
25,10,404000
25,10,405000
25,10,400000
25,10,405000
25,10,403000
