Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
7,50,50,705000
7,50,50,680000
7,50,50,640000
7,50,50,670000
7,50,50,678000
7,50,50,879000
7,50,50,677000
7,50,50,660000
7,50,50,686000
7,50,50,672000
7,50,50,652000
7,50,50,657000
7,50,50,683000
7,50,50,710000
7,50,50,659000
7,50,50,687000
7,50,50,648000
7,50,50,676000
7,50,50,672000
7,50,50,658000
7,50,50,694000
7,50,50,668000
7,50,50,664000
7,50,50,683000
7,50,50,679000
7,50,50,663000
7,50,50,639000
7,50,50,664000
7,50,50,660000
7,50,50,671000
7,50,50,664000
7,50,50,662000
7,50,50,685000
7,50,50,656000
7,50,50,676000
7,50,50,656000
7,50,50,665000
7,50,50,667000
7,50,50,669000
7,50,50,678000
7,50,50,666000
7,50,50,661000
7,50,50,689000
7,50,50,662000
7,50,50,682000
7,50,50,661000
7,50,50,662000
7,50,50,685000
7,50,50,657000
7,50,50,731000
7,50,50,671000
7,50,50,686000
7,50,50,667000
7,50,50,658000
7,50,50,667000
7,50,50,666000
7,50,50,665000
7,50,50,674000
7,50,50,681000
7,50,50,660000
7,50,50,662000
7,50,50,652000
7,50,50,664000
7,50,50,665000
7,50,50,683000
7,50,50,691000
7,50,50,659000
8,50,50,663000
8,50,50,699000
8,50,50,723000
8,50,50,662000
8,50,50,799000
8,50,50,675000
8,50,50,646000
8,50,50,667000
8,50,50,660000
8,50,50,668000
8,50,50,675000
8,50,50,670000
8,50,50,639000
8,50,50,667000
8,50,50,653000
8,50,50,656000
8,50,50,683000
8,50,50,661000
8,50,50,655000
8,50,50,661000
8,50,50,680000
8,50,50,673000
8,50,50,663000
8,50,50,669000
8,50,50,656000
8,50,50,662000
8,50,50,655000
8,50,50,661000
8,50,50,663000
8,50,50,650000
8,50,50,669000
8,50,50,662000
8,50,50,658000
8,50,50,664000
8,50,50,873000
8,50,50,658000
8,50,50,673000
8,50,50,663000
8,50,50,652000
8,50,50,674000
8,50,50,658000
8,50,50,674000
8,50,50,700000
8,50,50,660000
8,50,50,669000
8,50,50,658000
8,50,50,666000
8,50,50,736000
8,50,50,680000
8,50,50,689000
8,50,50,680000
8,50,50,717000
8,50,50,664000
8,50,50,663000
8,50,50,674000
8,50,50,662000
8,50,50,666000
8,50,50,673000
8,50,50,655000
8,50,50,659000
8,50,50,665000
8,50,50,730000
8,50,50,657000
8,50,50,660000
8,50,50,666000
8,50,50,670000
8,50,50,661000
8,50,50,663000
8,50,50,665000
8,50,50,674000
8,50,50,664000
8,50,50,664000
8,50,50,650000
8,50,50,664000
8,50,50,667000
8,50,50,666000
8,50,50,670000
8,50,50,640000
8,50,50,665000
8,50,50,667000
8,50,50,748000
8,50,50,659000
8,50,50,680000
8,50,50,686000
8,50,50,665000
8,50,50,665000
8,50,50,667000
8,50,50,646000
8,50,50,671000
8,50,50,643000
8,50,50,665000
8,50,50,754000
8,50,50,674000
8,50,50,661000
8,50,50,643000
8,50,50,665000
8,50,50,665000
8,50,50,673000
8,50,50,666000
8,50,50,662000
9,50,50,674000
9,50,50,676000
9,50,50,670000
9,50,50,677000
9,50,50,670000
9,50,50,665000
9,50,50,668000
9,50,50,671000
9,50,50,655000
9,50,50,674000
9,50,50,655000
9,50,50,668000
9,50,50,677000
9,50,50,657000
9,50,50,687000
9,50,50,689000
9,50,50,683000
9,50,50,670000
9,50,50,679000
9,50,50,671000
9,50,50,660000
9,50,50,670000
9,50,50,686000
9,50,50,677000
9,50,50,658000
9,50,50,674000
9,50,50,655000
9,50,50,659000
9,50,50,670000
9,50,50,677000
9,50,50,670000
9,50,50,663000
9,50,50,671000
9,50,50,671000
9,50,50,649000
9,50,50,663000
9,50,50,642000
9,50,50,664000
9,50,50,668000
9,50,50,669000
9,50,50,665000
9,50,50,667000
9,50,50,667000
9,50,50,679000
9,50,50,751000
9,50,50,678000
9,50,50,665000
9,50,50,675000
9,50,50,678000
9,50,50,677000
9,50,50,709000
9,50,50,672000
9,50,50,669000
9,50,50,683000
9,50,50,667000
9,50,50,669000
9,50,50,662000
9,50,50,678000
9,50,50,723000
9,50,50,674000
9,50,50,673000
9,50,50,671000
9,50,50,677000
9,50,50,688000
9,50,50,714000
9,50,50,668000
9,50,50,679000
9,50,50,665000
9,50,50,678000
9,50,50,714000
9,50,50,711000
9,50,50,682000
9,50,50,681000
9,50,50,737000
9,50,50,667000
9,50,50,651000
9,50,50,682000
9,50,50,668000
9,50,50,669000
9,50,50,669000
9,50,50,674000
9,50,50,663000
9,50,50,671000
9,50,50,674000
9,50,50,673000
9,50,50,671000
9,50,50,667000
9,50,50,672000
9,50,50,677000
9,50,50,661000
9,50,50,670000
9,50,50,686000
9,50,50,666000
9,50,50,674000
9,50,50,659000
9,50,50,661000
9,50,50,688000
9,50,50,644000
9,50,50,673000
9,50,50,694000
10,50,50,673000
10,50,50,686000
10,50,50,666000
10,50,50,658000
10,50,50,670000
10,50,50,664000
10,50,50,672000
10,50,50,663000
10,50,50,654000
10,50,50,678000
10,50,50,676000
10,50,50,688000
10,50,50,668000
10,50,50,627000
10,50,50,662000
10,50,50,694000
10,50,50,672000
10,50,50,753000
10,50,50,665000
10,50,50,666000
10,50,50,640000
10,50,50,669000
10,50,50,915000
10,50,50,664000
10,50,50,691000
10,50,50,661000
10,50,50,674000
10,50,50,663000
10,50,50,676000
10,50,50,674000
10,50,50,662000
10,50,50,661000
10,50,50,667000
10,50,50,654000
10,50,50,673000
10,50,50,667000
10,50,50,697000
10,50,50,666000
10,50,50,671000
10,50,50,663000
10,50,50,660000
10,50,50,677000
10,50,50,654000
10,50,50,667000
10,50,50,663000
10,50,50,742000
10,50,50,665000
10,50,50,669000
10,50,50,660000
10,50,50,663000
10,50,50,669000
10,50,50,673000
10,50,50,662000
10,50,50,665000
10,50,50,671000
10,50,50,691000
10,50,50,688000
10,50,50,673000
10,50,50,668000
10,50,50,686000
10,50,50,688000
10,50,50,664000
10,50,50,660000
10,50,50,685000
10,50,50,672000
10,50,50,651000
10,50,50,668000
10,50,50,655000
10,50,50,679000
10,50,50,664000
10,50,50,662000
10,50,50,667000
10,50,50,660000
